company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 15:57:38+00:00,-143000000.0,139000000.0,495000000.0,562000000.0,84000000.0,28000000.0,-282000000.0,,1223000000.0,-271000000.0,-227000000.0,517000000.0,-271000000.0,-227000000.0,517000000.0,47000000.0,-489000000.0,-475000000.0,-14000000.0,712000000.0,-173000000.0,21000000.0,,,-50000000.0,-139000000.0,-1321000000.0,,
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2010.0,Q4,2010-10-01,2010-12-31,,-55000000.0,-218000000.0,-923000000.0,139000000.0,-6000000.0,-4000000.0,-2000000.0,,1065000000.0,-123000000.0,-124000000.0,249000000.0,-123000000.0,-124000000.0,249000000.0,-2000000.0,4000000.0,5000000.0,-1000000.0,107000000.0,-90000000.0,2000000.0,,-2000000.0,-12000000.0,-53000000.0,-1096000000.0,,
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 07:09:14+00:00,-156000000.0,-129000000.0,-531000000.0,558000000.0,17000000.0,-8000000.0,-148000000.0,,1065000000.0,-263000000.0,-365000000.0,543000000.0,-263000000.0,-365000000.0,543000000.0,-93000000.0,132000000.0,137000000.0,-5000000.0,-4000000.0,-94000000.0,7000000.0,,-2000000.0,-55000000.0,-178000000.0,-1232000000.0,,
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2010.0,Q3,2010-07-01,2010-09-30,,-41000000.0,25000000.0,143000000.0,142000000.0,-2000000.0,17000000.0,-6000000.0,,-4000000.0,-43000000.0,-87000000.0,165000000.0,-43000000.0,-87000000.0,165000000.0,52000000.0,11000000.0,12000000.0,-1000000.0,17000000.0,-4000000.0,,,,-5000000.0,-39000000.0,-35000000.0,,
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-10-27 09:38:30+00:00,-101000000.0,89000000.0,392000000.0,419000000.0,23000000.0,-4000000.0,-146000000.0,0.0,0.0,-140000000.0,-241000000.0,294000000.0,-140000000.0,-241000000.0,294000000.0,-91000000.0,128000000.0,132000000.0,-4000000.0,-111000000.0,-4000000.0,5000000.0,,,-43000000.0,-125000000.0,-136000000.0,,
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-07-28 07:42:05+00:00,-60000000.0,64000000.0,249000000.0,277000000.0,25000000.0,-21000000.0,-140000000.0,0.0,4000000.0,-97000000.0,-154000000.0,129000000.0,-97000000.0,-154000000.0,129000000.0,-143000000.0,117000000.0,120000000.0,-3000000.0,-128000000.0,,5000000.0,,,-38000000.0,-86000000.0,-101000000.0,,
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2011.0,Q4,2011-10-01,2011-12-31,,-61000000.0,-40000000.0,-134000000.0,133000000.0,5000000.0,-4000000.0,84000000.0,8000000.0,,-223000000.0,-160000000.0,302000000.0,-223000000.0,-160000000.0,302000000.0,-85000000.0,96000000.0,95000000.0,1000000.0,-10000000.0,213000000.0,-2000000.0,,,-9000000.0,-93000000.0,-444000000.0,,
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2011.0,FY,2011-01-01,2011-12-31,2014-02-21 07:05:10+00:00,-190000000.0,-132000000.0,-446000000.0,529000000.0,5000000.0,-7000000.0,-221000000.0,1809000000.0,277000000.0,-250000000.0,-486000000.0,641000000.0,-250000000.0,-486000000.0,641000000.0,-102000000.0,87000000.0,86000000.0,1000000.0,247000000.0,,-1000000.0,,,-123000000.0,-177000000.0,-2336000000.0,,
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2011.0,Q3TTM,2010-10-01,2011-09-30,,-184000000.0,-310000000.0,-1235000000.0,535000000.0,-6000000.0,-7000000.0,-307000000.0,1801000000.0,1342000000.0,-150000000.0,-450000000.0,588000000.0,-150000000.0,-450000000.0,588000000.0,-19000000.0,-5000000.0,-4000000.0,-1000000.0,364000000.0,-303000000.0,3000000.0,,-2000000.0,-126000000.0,-137000000.0,-2988000000.0,,
Nielsen Holdings PLC,NLSN,54930062JS29A5N4GO82,1492633,2011.0,Q3,2011-07-01,2011-09-30,,-53000000.0,-155000000.0,-541000000.0,125000000.0,-3000000.0,-23000000.0,24000000.0,,-12000000.0,-124000000.0,-92000000.0,269000000.0,-124000000.0,-92000000.0,269000000.0,30000000.0,103000000.0,103000000.0,,17000000.0,2000000.0,,,,-18000000.0,-18000000.0,-114000000.0,,
