company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
Vornado Realty Trust,VNO,,899689,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 08:44:20+00:00,,7670000.0,36489000.0,653811000.0,545885000.0,,-223325000.0,0.0,2954497000.0,,1291657000.0,-3067704000.0,697325000.0,1291657000.0,-3067704000.0,697325000.0,-1078722000.0,607833000.0,607833000.0,-240738000.0,35083000.0,36193000.0,,-605784000.0,,-3490896000.0,-525067000.0,-991507000.0,-43396000.0,-57236000.0,912066000.0
Vornado Realty Trust,VNO,,899689,2008.0,Q4,2008-10-01,2008-12-31,,10616000.0,-28328000.0,15852000.0,194918000.0,139771000.0,,62600000.0,,297516000.0,,142306000.0,-314668000.0,170571000.0,142306000.0,-314668000.0,170203000.0,-2159000.0,-227667000.0,-227667000.0,224195000.0,7396000.0,70955000.0,,-223418000.0,,-203904000.0,-234192000.0,49169000.0,-31198000.0,42841000.0,41857000.0
Vornado Realty Trust,VNO,,899689,2008.0,FY,2008-01-01,2008-12-31,2011-02-23 08:46:57+00:00,,0.0,22005000.0,658376000.0,577338000.0,,16545000.0,0.0,1721974000.0,,7677000.0,-453231000.0,818180000.0,7677000.0,-453231000.0,817812000.0,372258000.0,411445000.0,411445000.0,-187148000.0,29377000.0,230371000.0,,-704512000.0,,-371152000.0,-806573000.0,-1007964000.0,-31198000.0,0.0,494123000.0
Vornado Realty Trust,VNO,,899689,2008.0,Q3,2008-07-01,2008-09-30,,-1431000.0,28328000.0,2075000.0,146816000.0,145878000.0,,-19235000.0,,208958000.0,,-203387000.0,-173726000.0,194093000.0,-203387000.0,-173726000.0,194093000.0,-183020000.0,43547000.0,43547000.0,-4425000.0,9841000.0,35687000.0,,-157533000.0,,-28950000.0,-221418000.0,-250379000.0,,-14274000.0,42386000.0
Vornado Realty Trust,VNO,,899689,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-03 08:35:40+00:00,-10616000.0,28328000.0,6153000.0,463458000.0,437567000.0,,-46055000.0,0.0,1424458000.0,,-134629000.0,-138563000.0,647609000.0,-134629000.0,-138563000.0,647609000.0,374417000.0,639112000.0,639112000.0,-411343000.0,21981000.0,159416000.0,,-481094000.0,,-167248000.0,-572381000.0,-1057133000.0,,-42841000.0,452266000.0
Vornado Realty Trust,VNO,,899689,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-21 17:11:23+00:00,-9185000.0,0.0,4078000.0,316642000.0,291689000.0,,-26820000.0,0.0,1215500000.0,,68758000.0,35163000.0,453516000.0,68758000.0,35163000.0,453516000.0,557437000.0,595565000.0,595565000.0,-406918000.0,12140000.0,123729000.0,,-323561000.0,,-138298000.0,-350963000.0,-806754000.0,,-28567000.0,409880000.0
Vornado Realty Trust,VNO,,899689,2009.0,FY,2009-01-01,2009-12-31,2011-02-23 08:46:57+00:00,,32588000.0,21775000.0,648829000.0,559053000.0,,99578000.0,710226000.0,2648175000.0,,-1382752000.0,-242201000.0,633579000.0,-1382752000.0,-242201000.0,633579000.0,-991374000.0,128450000.0,128450000.0,-186090000.0,3930000.0,128578000.0,,-361924000.0,,-183355000.0,-681874000.0,-4326626000.0,-32203000.0,-24330000.0,494450000.0
Vornado Realty Trust,VNO,,899689,2009.0,Q4,2009-10-01,2009-12-31,,,-29106000.0,14895000.0,187027000.0,145356000.0,-1000000.0,255553000.0,-22000.0,1439971000.0,,-2004223000.0,-164401000.0,144092000.0,-2004223000.0,-164401000.0,144092000.0,-2024532000.0,-143450000.0,-143450000.0,-84261000.0,3930000.0,34271000.0,,-94737000.0,,-143020000.0,-151238000.0,-3321162000.0,-32203000.0,,96586000.0
Vornado Realty Trust,VNO,,899689,2009.0,Q3TTM,2008-10-01,2009-09-30,,10616000.0,33366000.0,22732000.0,656720000.0,553468000.0,1000000.0,-93375000.0,710248000.0,1505720000.0,,763777000.0,-392468000.0,660058000.0,763777000.0,-392468000.0,659690000.0,1030999000.0,44233000.0,44233000.0,122366000.0,7396000.0,165262000.0,,-490605000.0,,-244239000.0,-764828000.0,-956295000.0,-31198000.0,18511000.0,439721000.0
Vornado Realty Trust,VNO,,899689,2009.0,Q3,2009-07-01,2009-09-30,,,29106000.0,3040000.0,140737000.0,135891000.0,9000.0,-98384000.0,22000.0,688067000.0,,239955000.0,141510000.0,110048000.0,239955000.0,141510000.0,110048000.0,491513000.0,155844000.0,155844000.0,-112409000.0,,23885000.0,,-91542000.0,,-3026000.0,-178762000.0,-357115000.0,522000.0,1000.0,299404000.0
