company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commonequity,currentdeferredtaxassets,employeebenefitassets,grossppe,longtermdebt,netinventory,netppe,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities
J C Penney Company Inc,JCP,,1166126,2008.0,FY,,2009-01-31,2010-03-30 16:21:58+00:00,1194000000.0,,1600000000.0,-1414000000.0,2352000000.0,3610000000.0,352000000.0,,,3505000000.0,3259000000.0,5367000000.0,599000000.0,257000000.0,,424000000.0,958000000.0,1959000000.0,0.0,12011000000.0,4155000000.0,6220000000.0,2794000000.0,4155000000.0,4155000000.0,7856000000.0,12011000000.0,424000000.0,5062000000.0
J C Penney Company Inc,JCP,,1166126,2008.0,Q3,,2008-11-01,2009-12-09 17:11:21+00:00,1915000000.0,,1500000000.0,-195000000.0,1624000000.0,3600000000.0,364000000.0,1615000000.0,,3505000000.0,4471000000.0,5254000000.0,1263000000.0,297000000.0,,473000000.0,718000000.0,1792000000.0,0.0,14098000000.0,5197000000.0,6756000000.0,3415000000.0,5197000000.0,5197000000.0,8901000000.0,14098000000.0,2088000000.0,5486000000.0
J C Penney Company Inc,JCP,,1166126,2008.0,Q2,,2008-08-02,2009-09-09 16:40:08+00:00,1477000000.0,,1469000000.0,-149000000.0,2243000000.0,3587000000.0,337000000.0,1582000000.0,,3505000000.0,3693000000.0,5161000000.0,1283000000.0,246000000.0,,534000000.0,710000000.0,1713000000.0,201000000.0,13796000000.0,5151000000.0,6519000000.0,3147000000.0,5151000000.0,5151000000.0,8645000000.0,13796000000.0,2116000000.0,5498000000.0
J C Penney Company Inc,JCP,,1166126,2009.0,FY,,2010-01-30,2011-03-29 17:04:09+00:00,1226000000.0,,1630000000.0,-1230000000.0,3011000000.0,3985000000.0,395000000.0,0.0,,2999000000.0,3024000000.0,5357000000.0,817000000.0,222000000.0,,572000000.0,738000000.0,2023000000.0,393000000.0,12581000000.0,4778000000.0,6652000000.0,3249000000.0,4778000000.0,4778000000.0,7803000000.0,12581000000.0,572000000.0,4554000000.0
J C Penney Company Inc,JCP,,1166126,2009.0,Q3,,2009-10-31,2009-12-09 17:11:21+00:00,1794000000.0,,1486000000.0,-1263000000.0,2129000000.0,3980000000.0,523000000.0,25000000.0,,2999000000.0,4018000000.0,5319000000.0,810000000.0,250000000.0,,534000000.0,728000000.0,1871000000.0,393000000.0,12798000000.0,4588000000.0,6920000000.0,3673000000.0,4588000000.0,4588000000.0,8210000000.0,12798000000.0,559000000.0,4537000000.0
J C Penney Company Inc,JCP,,1166126,2009.0,Q2,,2009-08-01,2009-09-09 16:40:08+00:00,1302000000.0,,1478000000.0,-1322000000.0,2312000000.0,3967000000.0,446000000.0,30000000.0,,2999000000.0,3258000000.0,5368000000.0,747000000.0,256000000.0,,499000000.0,714000000.0,1891000000.0,393000000.0,12169000000.0,4536000000.0,6272000000.0,3173000000.0,4536000000.0,4536000000.0,7633000000.0,12169000000.0,529000000.0,4460000000.0
J C Penney Company Inc,JCP,,1166126,2009.0,Q1,,2009-05-02,2010-06-09 16:22:09+00:00,1102000000.0,,1340000000.0,-1362000000.0,2138000000.0,3618000000.0,320000000.0,,,2999000000.0,3237000000.0,5335000000.0,608000000.0,234000000.0,,481000000.0,994000000.0,1940000000.0,506000000.0,11745000000.0,4196000000.0,5929000000.0,2948000000.0,4196000000.0,4196000000.0,7549000000.0,11745000000.0,481000000.0,4601000000.0
J C Penney Company Inc,JCP,,1166126,2010.0,FY,,2011-01-29,2012-03-27 19:58:29+00:00,1133000000.0,,1514000000.0,-805000000.0,2622000000.0,4043000000.0,334000000.0,763000000.0,,3099000000.0,3213000000.0,5231000000.0,1192000000.0,201000000.0,,704000000.0,670000000.0,2222000000.0,,13068000000.0,5460000000.0,6370000000.0,2647000000.0,5460000000.0,5460000000.0,7608000000.0,13068000000.0,1467000000.0,4961000000.0
J C Penney Company Inc,JCP,,1166126,2010.0,Q3,,2010-10-30,2010-12-08 16:44:48+00:00,1766000000.0,,1459000000.0,-1084000000.0,1666000000.0,4026000000.0,464000000.0,391000000.0,,3099000000.0,4267000000.0,5285000000.0,994000000.0,222000000.0,,657000000.0,693000000.0,1999000000.0,0.0,12952000000.0,4941000000.0,6619000000.0,3225000000.0,4941000000.0,4941000000.0,8011000000.0,12952000000.0,1048000000.0,4786000000.0
J C Penney Company Inc,JCP,,1166126,2010.0,Q2,,2010-07-31,2010-09-08 17:01:10+00:00,1410000000.0,,1422000000.0,-1130000000.0,2003000000.0,4014000000.0,499000000.0,387000000.0,,3099000000.0,3490000000.0,5298000000.0,982000000.0,205000000.0,,627000000.0,710000000.0,2002000000.0,0.0,12509000000.0,4886000000.0,6197000000.0,2832000000.0,4886000000.0,4886000000.0,7623000000.0,12509000000.0,1014000000.0,4791000000.0
