company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,cashinterestreceived,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
J C Penney Company Inc,JCP,,1166126,2007.0,FY,2007-02-04,2008-02-02,2010-03-30 16:21:58+00:00,,,,,426000000.0,-174000000.0,,980000000.0,-286000000.0,-1217000000.0,1255000000.0,,,,-286000000.0,-1217000000.0,1249000000.0,-271000000.0,1111000000.0,1105000000.0,6000000.0,-102000000.0,54000000.0,,-17000000.0,-174000000.0,,-1243000000.0,-746000000.0,-400000000.0,,26000000.0
J C Penney Company Inc,JCP,,1166126,2008.0,FY,2008-02-03,2009-01-31,2010-03-30 16:21:58+00:00,,,,,469000000.0,344000000.0,,0.0,-380000000.0,-956000000.0,1148000000.0,0.0,-1000000.0,2000000.0,-380000000.0,-956000000.0,1155000000.0,-180000000.0,572000000.0,567000000.0,5000000.0,-232000000.0,1000000.0,,1000000.0,-178000000.0,,-969000000.0,-203000000.0,0.0,,13000000.0
J C Penney Company Inc,JCP,,1166126,2008.0,Q4,2008-11-02,2009-01-31,,,,,,126000000.0,848000000.0,,,-44000000.0,-231000000.0,994000000.0,,-1000000.0,2000000.0,-44000000.0,-231000000.0,1001000000.0,728000000.0,211000000.0,208000000.0,3000000.0,-188000000.0,,,2000000.0,-44000000.0,,-231000000.0,,,,
J C Penney Company Inc,JCP,,1166126,2008.0,Q3,2008-08-03,2008-11-01,,,,,,118000000.0,-403000000.0,,,-201000000.0,-229000000.0,-189000000.0,,,,-201000000.0,-229000000.0,-189000000.0,-619000000.0,124000000.0,123000000.0,1000000.0,-27000000.0,,,,,,-242000000.0,-201000000.0,,,13000000.0
J C Penney Company Inc,JCP,,1166126,2008.0,Q3YTD,2008-02-03,2008-11-01,2009-12-09 17:11:21+00:00,,,,,343000000.0,-504000000.0,,0.0,-336000000.0,-725000000.0,154000000.0,,,,-336000000.0,-725000000.0,154000000.0,-908000000.0,361000000.0,359000000.0,2000000.0,-44000000.0,1000000.0,,-1000000.0,-134000000.0,,-738000000.0,-203000000.0,,,13000000.0
J C Penney Company Inc,JCP,,1166126,2008.0,Q2YTD,2008-02-03,2008-08-02,2009-09-09 16:40:08+00:00,,,,,225000000.0,-101000000.0,,0.0,-135000000.0,-496000000.0,343000000.0,,,,-135000000.0,-496000000.0,343000000.0,-289000000.0,237000000.0,236000000.0,1000000.0,-17000000.0,1000000.0,,-1000000.0,-134000000.0,,-496000000.0,-2000000.0,,,
J C Penney Company Inc,JCP,,1166126,2009.0,Q4,2009-11-01,2010-01-30,,,130000000.0,264000000.0,5000000.0,131000000.0,-808000000.0,,,-47000000.0,-175000000.0,1096000000.0,,,4000000.0,-47000000.0,-175000000.0,1100000000.0,882000000.0,200000000.0,198000000.0,2000000.0,1575000000.0,,,4000000.0,-47000000.0,,-176000000.0,,,,1000000.0
J C Penney Company Inc,JCP,,1166126,2009.0,FY,2009-02-01,2010-01-30,2012-03-27 19:58:29+00:00,,130000000.0,264000000.0,5000000.0,495000000.0,467000000.0,,,-327000000.0,-587000000.0,1573000000.0,,,,-327000000.0,-587000000.0,1573000000.0,659000000.0,251000000.0,249000000.0,2000000.0,362000000.0,1000000.0,,,-183000000.0,,-600000000.0,-145000000.0,,,13000000.0
J C Penney Company Inc,JCP,,1166126,2009.0,Q3YTD,2009-02-01,2009-10-31,2009-12-09 17:11:21+00:00,,,,,364000000.0,1275000000.0,,,-280000000.0,-412000000.0,477000000.0,0.0,0.0,-4000000.0,-280000000.0,-412000000.0,473000000.0,-223000000.0,51000000.0,51000000.0,0.0,-1213000000.0,1000000.0,,-4000000.0,-136000000.0,,-424000000.0,-145000000.0,,,12000000.0
J C Penney Company Inc,JCP,,1166126,2009.0,Q3TTM,2008-11-02,2009-10-31,,,,,,490000000.0,2123000000.0,,,-324000000.0,-643000000.0,1471000000.0,,-1000000.0,-2000000.0,-324000000.0,-643000000.0,1474000000.0,505000000.0,262000000.0,259000000.0,3000000.0,-1401000000.0,1000000.0,,-2000000.0,-180000000.0,,-655000000.0,-145000000.0,,,12000000.0
J C Penney Company Inc,JCP,,1166126,2009.0,Q3,2009-08-02,2009-10-31,,,,,,123000000.0,1226000000.0,,,-45000000.0,-108000000.0,-30000000.0,,,,-45000000.0,-108000000.0,-30000000.0,-183000000.0,27000000.0,27000000.0,,-1406000000.0,2000000.0,,,-47000000.0,,-120000000.0,,,,12000000.0
J C Penney Company Inc,JCP,,1166126,2009.0,Q2YTD,2009-02-01,2009-08-01,2009-09-09 16:40:08+00:00,,,,,241000000.0,49000000.0,,,-235000000.0,-304000000.0,507000000.0,0.0,0.0,-4000000.0,-235000000.0,-304000000.0,503000000.0,-40000000.0,24000000.0,24000000.0,0.0,193000000.0,-1000000.0,,-4000000.0,-89000000.0,,-304000000.0,-145000000.0,,,
J C Penney Company Inc,JCP,,1166126,2009.0,Q2TTM,2008-08-03,2009-08-01,,,,,,485000000.0,494000000.0,,,-480000000.0,-764000000.0,1312000000.0,,-1000000.0,-2000000.0,-480000000.0,-764000000.0,1315000000.0,69000000.0,359000000.0,355000000.0,4000000.0,-22000000.0,-1000000.0,,-2000000.0,-133000000.0,,-777000000.0,-346000000.0,,,13000000.0
J C Penney Company Inc,JCP,,1166126,2009.0,Q2,2009-05-03,2009-08-01,,,,,,121000000.0,226000000.0,,,-114000000.0,-148000000.0,441000000.0,,,-4000000.0,-114000000.0,-148000000.0,437000000.0,174000000.0,-1000000.0,-1000000.0,,95000000.0,1000000.0,,-1000000.0,,,-148000000.0,-115000000.0,,,
J C Penney Company Inc,JCP,,1166126,2009.0,Q1,2009-02-01,2009-05-02,2010-06-09 16:22:09+00:00,,,,,120000000.0,-177000000.0,,,-121000000.0,-156000000.0,66000000.0,,,,-121000000.0,-156000000.0,66000000.0,-214000000.0,25000000.0,25000000.0,,98000000.0,-2000000.0,,-3000000.0,-89000000.0,,-156000000.0,-30000000.0,,,0.0
J C Penney Company Inc,JCP,,1166126,2010.0,Q4,2010-10-31,2011-01-29,,,,,,132000000.0,638000000.0,,,-45000000.0,-109000000.0,1110000000.0,,,,-45000000.0,-109000000.0,1110000000.0,956000000.0,271000000.0,260000000.0,11000000.0,80000000.0,2000000.0,,,-47000000.0,,-119000000.0,,,,10000000.0
