company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,saleofinvestments
CenterPoint Energy Inc,CNP,21TPXMRRHFKOBHDC8J74,1130310,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 08:01:27+00:00,-39000000.0,69000000.0,205000000.0,572000000.0,631000000.0,,-354000000.0,22000000.0,1281000000.0,,528000000.0,-1300000000.0,774000000.0,528000000.0,-1300000000.0,774000000.0,2000000.0,395000000.0,395000000.0,33000000.0,,-147000000.0,-218000000.0,,-1114000000.0,-557000000.0,
CenterPoint Energy Inc,CNP,21TPXMRRHFKOBHDC8J74,1130310,2008.0,Q4,2008-10-01,2008-12-31,,1000000.0,8000000.0,-272000000.0,139000000.0,168000000.0,,414000000.0,35000000.0,373000000.0,,333000000.0,-377000000.0,127000000.0,333000000.0,-377000000.0,127000000.0,83000000.0,87000000.0,87000000.0,-550000000.0,,10000000.0,-63000000.0,,-388000000.0,-12000000.0,
CenterPoint Energy Inc,CNP,21TPXMRRHFKOBHDC8J74,1130310,2008.0,FY,2008-01-01,2008-12-31,2011-03-30 08:06:05+00:00,-206000000.0,29000000.0,-84000000.0,586000000.0,708000000.0,,60000000.0,80000000.0,2199000000.0,,555000000.0,-1368000000.0,851000000.0,555000000.0,-1368000000.0,851000000.0,38000000.0,446000000.0,446000000.0,-392000000.0,,-142000000.0,-246000000.0,,-1020000000.0,-1478000000.0,
CenterPoint Energy Inc,CNP,21TPXMRRHFKOBHDC8J74,1130310,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-28 08:00:56+00:00,-207000000.0,21000000.0,188000000.0,447000000.0,540000000.0,,-354000000.0,45000000.0,1826000000.0,,222000000.0,-991000000.0,724000000.0,222000000.0,-991000000.0,724000000.0,-45000000.0,359000000.0,359000000.0,158000000.0,,-152000000.0,-183000000.0,,-632000000.0,-1466000000.0,
CenterPoint Energy Inc,CNP,21TPXMRRHFKOBHDC8J74,1130310,2009.0,Q4,2009-10-01,2009-12-31,,-4000000.0,8000000.0,-66000000.0,117000000.0,181000000.0,,543000000.0,15000000.0,656000000.0,,589000000.0,-314000000.0,404000000.0,589000000.0,-314000000.0,404000000.0,679000000.0,105000000.0,105000000.0,-433000000.0,,41000000.0,-74000000.0,,-351000000.0,-8000000.0,
CenterPoint Energy Inc,CNP,21TPXMRRHFKOBHDC8J74,1130310,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 08:02:43+00:00,-115000000.0,37000000.0,-9000000.0,624000000.0,743000000.0,,342000000.0,504000000.0,1171000000.0,,-372000000.0,-896000000.0,1841000000.0,-372000000.0,-896000000.0,1841000000.0,573000000.0,372000000.0,372000000.0,347000000.0,,379000000.0,-276000000.0,,-1160000000.0,-1771000000.0,
CenterPoint Energy Inc,CNP,21TPXMRRHFKOBHDC8J74,1130310,2009.0,Q3TTM,2008-10-01,2009-09-30,,-110000000.0,37000000.0,-215000000.0,646000000.0,730000000.0,,213000000.0,524000000.0,888000000.0,,-628000000.0,-959000000.0,1564000000.0,-628000000.0,-959000000.0,1564000000.0,-23000000.0,354000000.0,354000000.0,230000000.0,,348000000.0,-265000000.0,,-1197000000.0,-1775000000.0,
CenterPoint Energy Inc,CNP,21TPXMRRHFKOBHDC8J74,1130310,2009.0,Q3,2009-07-01,2009-09-30,,-111000000.0,0.0,2000000.0,209000000.0,0.0,-1000000.0,0.0,301000000.0,14000000.0,,-393000000.0,-78000000.0,381000000.0,-393000000.0,-78000000.0,381000000.0,-90000000.0,114000000.0,267000000.0,114000000.0,,339000000.0,-69000000.0,,-305000000.0,-639000000.0,
CenterPoint Energy Inc,CNP,21TPXMRRHFKOBHDC8J74,1130310,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-28 08:00:44+00:00,-111000000.0,29000000.0,57000000.0,507000000.0,562000000.0,,-201000000.0,489000000.0,515000000.0,,-961000000.0,-582000000.0,1437000000.0,-961000000.0,-582000000.0,1437000000.0,-106000000.0,267000000.0,267000000.0,780000000.0,,338000000.0,-202000000.0,,-809000000.0,-1763000000.0,
CenterPoint Energy Inc,CNP,21TPXMRRHFKOBHDC8J74,1130310,2009.0,Q2,2009-04-01,2009-06-30,,,0.0,29000000.0,116000000.0,0.0,-1000000.0,0.0,158000000.0,-81000000.0,,-294000000.0,-243000000.0,623000000.0,-294000000.0,-243000000.0,623000000.0,86000000.0,86000000.0,-67000000.0,690000000.0,,2000000.0,-67000000.0,,-244000000.0,-304000000.0,
