company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accumulateddepreciation,aoci,assetretirementandlitigationobligation,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,customerdeposits,dividendspayable,goodwill,grossppe,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,noncurrentnotereceivables,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
CenterPoint Energy Inc,CNP,21TPXMRRHFKOBHDC8J74,1130310,2008.0,FY,,2008-12-31,2010-02-26 08:01:27+00:00,897000000.0,1550000000.0,,,821000000.0,167000000.0,,2022000000.0,,561000000.0,,,1696000000.0,,,10181000000.0,345000000.0,569000000.0,10296000000.0,2632000000.0,849000000.0,,531000000.0,591000000.0,,180000000.0,,4304000000.0,323000000.0,,,,,619000000.0,218000000.0,19676000000.0,2022000000.0,3035000000.0,2848000000.0,2022000000.0,2022000000.0,17654000000.0,19676000000.0,6345000000.0,14806000000.0,
CenterPoint Energy Inc,CNP,21TPXMRRHFKOBHDC8J74,1130310,2009.0,FY,,2009-12-31,2011-03-30 08:06:05+00:00,648000000.0,1275000000.0,,,921000000.0,740000000.0,,2639000000.0,0.0,554000000.0,,,1696000000.0,,,9119000000.0,463000000.0,327000000.0,10788000000.0,2792000000.0,861000000.0,,262000000.0,496000000.0,,181000000.0,,3922000000.0,403000000.0,,,,,1159000000.0,300000000.0,19773000000.0,2639000000.0,2904000000.0,3038000000.0,2639000000.0,2639000000.0,17134000000.0,19773000000.0,6081000000.0,14096000000.0,
CenterPoint Energy Inc,CNP,21TPXMRRHFKOBHDC8J74,1130310,2009.0,Q3,,2009-09-30,2009-10-28 08:00:56+00:00,351000000.0,770000000.0,3915000000.0,-122000000.0,916000000.0,61000000.0,,3654000000.0,108000000.0,563000000.0,,,1696000000.0,14463000000.0,,8827000000.0,471000000.0,373000000.0,10548000000.0,2775000000.0,851000000.0,,397000000.0,472000000.0,,139000000.0,,3943000000.0,384000000.0,,,,-944000000.0,787000000.0,286000000.0,18653000000.0,2588000000.0,1995000000.0,2312000000.0,2588000000.0,2588000000.0,16065000000.0,18653000000.0,6110000000.0,13753000000.0,
CenterPoint Energy Inc,CNP,21TPXMRRHFKOBHDC8J74,1130310,2010.0,FY,,2010-12-31,2012-02-29 08:02:43+00:00,667000000.0,1175000000.0,,,989000000.0,199000000.0,0.0,3198000000.0,138000000.0,563000000.0,,,1696000000.0,,,9001000000.0,468000000.0,375000000.0,11732000000.0,2934000000.0,906000000.0,,328000000.0,506000000.0,,171000000.0,,3633000000.0,463000000.0,,,,,713000000.0,367000000.0,20111000000.0,3198000000.0,2582000000.0,2620000000.0,3198000000.0,3198000000.0,16913000000.0,20111000000.0,5797000000.0,14293000000.0,
CenterPoint Energy Inc,CNP,21TPXMRRHFKOBHDC8J74,1130310,2010.0,Q3,,2010-09-30,2010-10-28 08:00:44+00:00,384000000.0,843000000.0,4215000000.0,-116000000.0,978000000.0,99000000.0,,4075000000.0,113000000.0,580000000.0,,,1696000000.0,15635000000.0,,8267000000.0,480000000.0,404000000.0,11420000000.0,2850000000.0,863000000.0,,349000000.0,533000000.0,,132000000.0,,3660000000.0,431000000.0,,,,-830000000.0,1252000000.0,335000000.0,19399000000.0,3129000000.0,2143000000.0,2881000000.0,3129000000.0,3129000000.0,16270000000.0,19399000000.0,5836000000.0,13389000000.0,
CenterPoint Energy Inc,CNP,21TPXMRRHFKOBHDC8J74,1130310,2010.0,Q2,,2010-06-30,2010-08-04 08:00:58+00:00,418000000.0,885000000.0,4165000000.0,-119000000.0,967000000.0,583000000.0,,4051000000.0,,513000000.0,,,1696000000.0,15382000000.0,,8410000000.0,479000000.0,303000000.0,11217000000.0,2786000000.0,861000000.0,,265000000.0,513000000.0,,193000000.0,,3777000000.0,404000000.0,,,,-871000000.0,1395000000.0,316000000.0,19521000000.0,3061000000.0,2352000000.0,3032000000.0,3061000000.0,3061000000.0,16460000000.0,19521000000.0,5952000000.0,13428000000.0,
CenterPoint Energy Inc,CNP,21TPXMRRHFKOBHDC8J74,1130310,2010.0,Q1,,2010-03-31,2010-05-05 08:01:15+00:00,522000000.0,1229000000.0,4073000000.0,-121000000.0,946000000.0,329000000.0,,3705000000.0,,580000000.0,,,1696000000.0,15001000000.0,,8410000000.0,478000000.0,166000000.0,10928000000.0,2814000000.0,863000000.0,,322000000.0,550000000.0,,148000000.0,,3865000000.0,407000000.0,,,,-875000000.0,1402000000.0,338000000.0,19351000000.0,2709000000.0,2384000000.0,3202000000.0,2709000000.0,2709000000.0,16642000000.0,19351000000.0,6039000000.0,13440000000.0,
CenterPoint Energy Inc,CNP,21TPXMRRHFKOBHDC8J74,1130310,2011.0,FY,,2011-12-31,2013-02-27 08:17:23+00:00,560000000.0,1099000000.0,,,1039000000.0,220000000.0,0.0,4222000000.0,0.0,714000000.0,,,1696000000.0,,,8641000000.0,472000000.0,353000000.0,12402000000.0,3832000000.0,1065000000.0,,279000000.0,412000000.0,,164000000.0,,4796000000.0,311000000.0,,,,,743000000.0,386000000.0,21703000000.0,4222000000.0,2337000000.0,2593000000.0,4222000000.0,4222000000.0,17481000000.0,21703000000.0,6964000000.0,14888000000.0,
CenterPoint Energy Inc,CNP,21TPXMRRHFKOBHDC8J74,1130310,2011.0,Q3,,2011-09-30,2011-11-02 08:00:25+00:00,417000000.0,882000000.0,4433000000.0,-110000000.0,1033000000.0,103000000.0,0.0,4118000000.0,0.0,678000000.0,,,1696000000.0,16591000000.0,,8497000000.0,474000000.0,418000000.0,12158000000.0,3814000000.0,842000000.0,,52000000.0,372000000.0,,118000000.0,,4641000000.0,239000000.0,,,190000000.0,199000000.0,734000000.0,337000000.0,20951000000.0,4207000000.0,1982000000.0,2319000000.0,4207000000.0,4207000000.0,16744000000.0,20951000000.0,6811000000.0,14425000000.0,
CenterPoint Energy Inc,CNP,21TPXMRRHFKOBHDC8J74,1130310,2011.0,Q2,,2011-06-30,2011-08-04 08:00:58+00:00,394000000.0,906000000.0,4445000000.0,-112000000.0,1031000000.0,190000000.0,,4115000000.0,0.0,593000000.0,,,1696000000.0,16426000000.0,,8510000000.0,474000000.0,309000000.0,11981000000.0,3148000000.0,903000000.0,,220000000.0,368000000.0,,174000000.0,,3484000000.0,411000000.0,,,,-690000000.0,832000000.0,417000000.0,19677000000.0,3313000000.0,2042000000.0,2361000000.0,3313000000.0,3313000000.0,16364000000.0,19677000000.0,5654000000.0,14003000000.0,
