company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationofdeferredpolicyacquisitioncosts,basicdilutedeps,basiceps,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,netrealizedcapitalgains,otheradjustmentstoconsolidatednetincome,otheroperatingexpenses,otherservicechargeincome,preferreddividends,premiumsearned,propertyliabilityinsuranceclaims,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Brighthouse Financial Inc,BHF,,1685040,2015.0,FY,2015-01-01,2015-12-31,2018-03-15 21:37:04+00:00,781000000.0,9.34,9.34,9.34,,343000000.0,1119000000.0,1119000000.0,1119000000.0,,2780000000.0,,2120000000.0,4432000000.0,,1679000000.0,4528000000.0,7429000000.0,8891000000.0,1462000000.0,8891000000.0,119800000.0,119800000.0,119800000.0
Brighthouse Financial Inc,BHF,,1685040,2016.0,FY,2016-01-01,2016-12-31,2018-03-15 21:37:04+00:00,371000000.0,,-24.54,,,-1766000000.0,-2939000000.0,-2939000000.0,-2939000000.0,,-2722000000.0,,2284000000.0,4518000000.0,,1222000000.0,5068000000.0,7723000000.0,3018000000.0,-4705000000.0,3018000000.0,,119800000.0,
Brighthouse Financial Inc,BHF,,1685040,2016.0,Q3,2016-07-01,2016-09-30,2017-11-09 17:23:36+00:00,-10000000.0,-1.32,-1.32,-1.32,161000000.0,-94000000.0,-158000000.0,-158000000.0,-158000000.0,,394000000.0,,519000000.0,1025000000.0,,347000000.0,1348000000.0,2018000000.0,1766000000.0,-252000000.0,1766000000.0,119700000.0,119700000.0,119700000.0
Brighthouse Financial Inc,BHF,,1685040,2016.0,Q2,2016-04-01,2016-06-30,2017-08-15 07:21:47+00:00,-281000000.0,-11.88,-11.88,-11.88,,-817000000.0,-1423000000.0,-1423000000.0,-1423000000.0,,-2148000000.0,,493000000.0,1283000000.0,,281000000.0,1444000000.0,1656000000.0,-584000000.0,-2240000000.0,-584000000.0,119800000.0,119800000.0,119800000.0
Brighthouse Financial Inc,BHF,,1685040,2017.0,FY,2017-01-01,2017-12-31,2020-02-26 17:24:17+00:00,227000000.0,-3.16,-3.16,-3.16,,-237000000.0,-378000000.0,-378000000.0,-378000000.0,0.0,1430000000.0,,2483000000.0,4549000000.0,0.0,863000000.0,4747000000.0,7457000000.0,6842000000.0,-615000000.0,6842000000.0,119600000.0,119600000.0,119600000.0
Brighthouse Financial Inc,BHF,,1685040,2017.0,Q4,2017-10-01,2017-12-31,,231000000.0,4.71,2.66,4.71,,-890000000.0,668000000.0,668000000.0,668000000.0,,362000000.0,,694000000.0,1285000000.0,,233000000.0,1177000000.0,2102000000.0,1880000000.0,-222000000.0,1880000000.0,119600000.0,119600000.0,119600000.0
Brighthouse Financial Inc,BHF,,1685040,2017.0,Q3,2017-07-01,2017-09-30,2017-11-09 17:23:36+00:00,123000000.0,-7.87,-7.87,-7.87,0.0,819000000.0,-943000000.0,-943000000.0,-943000000.0,,618000000.0,,611000000.0,1118000000.0,,236000000.0,1362000000.0,2096000000.0,1972000000.0,-124000000.0,1972000000.0,119800000.0,119800000.0,119800000.0
Brighthouse Financial Inc,BHF,,1685040,2017.0,Q3YTD,2017-01-01,2017-09-30,,-4000000.0,-7.87,-5.82,-7.87,,653000000.0,-1046000000.0,-1046000000.0,-1046000000.0,,1068000000.0,,1789000000.0,3264000000.0,,630000000.0,3570000000.0,5355000000.0,4962000000.0,-393000000.0,4962000000.0,119800000.0,119800000.0,119800000.0
Brighthouse Financial Inc,BHF,,1685040,2017.0,Q2,2017-04-01,2017-06-30,2017-08-15 07:21:47+00:00,21000000.0,,2.05,,,75000000.0,246000000.0,246000000.0,246000000.0,,688000000.0,,614000000.0,1119000000.0,,218000000.0,1069000000.0,1704000000.0,2025000000.0,321000000.0,2025000000.0,,120000000.0,
Brighthouse Financial Inc,BHF,,1685040,2017.0,Q2YTD,2017-01-01,2017-06-30,,-127000000.0,,2.05,,,-166000000.0,-103000000.0,-103000000.0,-103000000.0,,450000000.0,,1178000000.0,2146000000.0,,394000000.0,2208000000.0,3259000000.0,2990000000.0,-269000000.0,2990000000.0,,120000000.0,
