company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinvestmentincome,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,deferredacquisitioncost,futurepolicybenefits,longtermdebt,mortgageservicingrights,noncontrollinginterests,otherassets,otherequity,otherlongtermliabilities,participatingpolicyholderequity,retainedearnings,separateaccountbusinessassets,separateaccountbusinessliabilities,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock,unearnedpremiumsdebit
Brighthouse Financial Inc,BHF,,1685040,2016.0,FY,,2016-12-31,2018-03-15 21:37:04+00:00,693000000.0,1265000000.0,5228000000.0,0.0,0.0,6293000000.0,33372000000.0,4707000000.0,9378000000.0,0.0,10960000000.0,13597000000.0,7985000000.0,40571000000.0,0.0,113043000000.0,113043000000.0,7390000000.0,221930000000.0,14862000000.0,14862000000.0,14862000000.0,207068000000.0,221930000000.0,,61688000000.0,,14647000000.0
Brighthouse Financial Inc,BHF,,1685040,2017.0,FY,,2017-12-31,2018-11-06 16:37:20+00:00,601000000.0,1676000000.0,1857000000.0,0.0,12433000000.0,6286000000.0,36616000000.0,3612000000.0,10742000000.0,65000000.0,7772000000.0,,6190000000.0,40768000000.0,406000000.0,118257000000.0,118257000000.0,4169000000.0,224192000000.0,14515000000.0,14515000000.0,14580000000.0,209612000000.0,224192000000.0,,65152000000.0,0.0,13525000000.0
Brighthouse Financial Inc,BHF,,1685040,2017.0,Q3,,2017-09-30,2017-11-09 17:23:36+00:00,641000000.0,1308000000.0,1698000000.0,0.0,12419000000.0,6414000000.0,36035000000.0,3615000000.0,10431000000.0,65000000.0,9817000000.0,0.0,11074000000.0,37298000000.0,39000000.0,116857000000.0,116857000000.0,4569000000.0,223279000000.0,13766000000.0,13766000000.0,13831000000.0,209448000000.0,223279000000.0,,63830000000.0,,13591000000.0
Brighthouse Financial Inc,BHF,,1685040,2017.0,Q2,,2017-06-30,2017-08-15 07:21:47+00:00,608000000.0,1894000000.0,4443000000.0,0.0,,6464000000.0,34352000000.0,3016000000.0,10263000000.0,50000000.0,9784000000.0,14521000000.0,10512000000.0,37296000000.0,,115566000000.0,115566000000.0,7121000000.0,224328000000.0,16415000000.0,16415000000.0,16465000000.0,207863000000.0,224328000000.0,,63785000000.0,,13415000000.0
Brighthouse Financial Inc,BHF,,1685040,2018.0,FY,,2018-12-31,2020-02-26 17:24:17+00:00,724000000.0,716000000.0,4145000000.0,0.0,12474000000.0,5717000000.0,36209000000.0,3963000000.0,13694000000.0,65000000.0,7313000000.0,,10329000000.0,43054000000.0,1346000000.0,98256000000.0,98256000000.0,,206294000000.0,14418000000.0,14418000000.0,14483000000.0,191811000000.0,206294000000.0,0.0,62748000000.0,-118000000.0,13697000000.0
Brighthouse Financial Inc,BHF,,1685040,2018.0,Q3,,2018-09-30,2018-11-06 16:37:20+00:00,675000000.0,552000000.0,2144000000.0,0.0,12470000000.0,6050000000.0,35748000000.0,3966000000.0,13033000000.0,65000000.0,7328000000.0,,6151000000.0,42353000000.0,-96000000.0,111736000000.0,111736000000.0,4043000000.0,216946000000.0,12884000000.0,12884000000.0,12949000000.0,203997000000.0,216946000000.0,,62429000000.0,-42000000.0,13551000000.0
Brighthouse Financial Inc,BHF,,1685040,2018.0,Q2,,2018-06-30,2018-08-07 17:24:20+00:00,607000000.0,815000000.0,2135000000.0,0.0,12445000000.0,5968000000.0,35816000000.0,3607000000.0,12337000000.0,65000000.0,7489000000.0,,6089000000.0,41348000000.0,175000000.0,111587000000.0,111587000000.0,4265000000.0,216212000000.0,13435000000.0,13435000000.0,13500000000.0,202712000000.0,216212000000.0,,62496000000.0,,13593000000.0
Brighthouse Financial Inc,BHF,,1685040,2018.0,Q1,,2018-03-31,2018-05-09 17:30:10+00:00,640000000.0,801000000.0,1888000000.0,0.0,12433000000.0,6083000000.0,36223000000.0,3609000000.0,11308000000.0,65000000.0,7828000000.0,,5932000000.0,40931000000.0,374000000.0,114385000000.0,114385000000.0,4244000000.0,218997000000.0,13608000000.0,13608000000.0,13673000000.0,205324000000.0,218997000000.0,,63338000000.0,,13527000000.0
Brighthouse Financial Inc,BHF,,1685040,2019.0,FY,,2019-12-31,2020-05-11 16:20:52+00:00,684000000.0,3240000000.0,2877000000.0,0.0,12909000000.0,5448000000.0,39686000000.0,4365000000.0,15753000000.0,65000000.0,9447000000.0,,10982000000.0,48882000000.0,585000000.0,107107000000.0,107107000000.0,,227259000000.0,16172000000.0,16172000000.0,16237000000.0,211022000000.0,227259000000.0,0.0,71183000000.0,-562000000.0,14760000000.0
Brighthouse Financial Inc,BHF,,1685040,2019.0,Q3,,2019-09-30,2019-11-05 16:33:58+00:00,732000000.0,3567000000.0,4289000000.0,0.0,12898000000.0,5317000000.0,39846000000.0,4365000000.0,15359000000.0,65000000.0,10995000000.0,,11979000000.0,47998000000.0,1662000000.0,103928000000.0,103928000000.0,,225876000000.0,17695000000.0,17695000000.0,17760000000.0,208116000000.0,225876000000.0,0.0,70871000000.0,-432000000.0,14385000000.0
