company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2007.0,FY,2006-10-01,2007-09-30,2009-11-23 15:53:18+00:00,-40000000.0,22000000.0,96000000.0,14000000.0,6000000.0,-144000000.0,0.0,-373000000.0,-153000000.0,607000000.0,-373000000.0,-153000000.0,607000000.0,87000000.0,585000000.0,585000000.0,,48000000.0,94000000.0,-2000000.0,,-107000000.0,,-125000000.0,-27000000.0,-333000000.0,,0.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2008.0,Q4,2008-07-01,2008-09-30,,,5000000.0,30000000.0,,-2000000.0,84000000.0,-142000000.0,-262000000.0,-58000000.0,310000000.0,-262000000.0,-58000000.0,310000000.0,-12000000.0,182000000.0,182000000.0,,9000000.0,2000000.0,-2000000.0,,-38000000.0,,-57000000.0,,-84000000.0,,1000000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2008.0,FY,2007-10-01,2008-09-30,2010-11-23 15:28:14+00:00,-113000000.0,23000000.0,106000000.0,,1000000.0,-204000000.0,287000000.0,-393000000.0,-284000000.0,620000000.0,-393000000.0,-284000000.0,620000000.0,-56000000.0,678000000.0,678000000.0,,17000000.0,25000000.0,-1000000.0,,-129000000.0,0.0,-171000000.0,,-576000000.0,,1000000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2008.0,Q3YTD,2007-10-01,2008-06-30,2009-08-14 17:56:07+00:00,-113000000.0,18000000.0,76000000.0,,3000000.0,-288000000.0,429000000.0,-131000000.0,-226000000.0,310000000.0,-131000000.0,-226000000.0,310000000.0,-44000000.0,496000000.0,496000000.0,,8000000.0,23000000.0,1000000.0,,-91000000.0,,-114000000.0,,-492000000.0,,
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2009.0,Q4,2009-07-01,2009-09-30,,-1000000.0,10000000.0,30000000.0,,5000000.0,56000000.0,,-203000000.0,-37000000.0,252000000.0,-203000000.0,-37000000.0,252000000.0,17000000.0,134000000.0,134000000.0,,22000000.0,10000000.0,,,-38000000.0,,-36000000.0,-117000000.0,-58000000.0,,
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2009.0,FY,2008-10-01,2009-09-30,2011-11-15 15:03:55+00:00,-148000000.0,30000000.0,114000000.0,0.0,4000000.0,-205000000.0,296000000.0,-275000000.0,-302000000.0,633000000.0,-275000000.0,-302000000.0,633000000.0,60000000.0,594000000.0,594000000.0,,100000000.0,21000000.0,-1000000.0,,-152000000.0,0.0,-153000000.0,-287000000.0,-153000000.0,0.0,
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2009.0,Q3TTM,2008-07-01,2009-06-30,,-147000000.0,25000000.0,114000000.0,,-3000000.0,-177000000.0,154000000.0,-334000000.0,-323000000.0,691000000.0,-334000000.0,-323000000.0,691000000.0,31000000.0,642000000.0,642000000.0,,87000000.0,13000000.0,-3000000.0,,-152000000.0,,-174000000.0,-170000000.0,-179000000.0,,1000000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2009.0,Q3,2009-04-01,2009-06-30,,-119000000.0,8000000.0,30000000.0,,-1000000.0,64000000.0,198000000.0,-53000000.0,-162000000.0,244000000.0,-53000000.0,-162000000.0,244000000.0,28000000.0,145000000.0,145000000.0,,-3000000.0,9000000.0,,,-38000000.0,,-43000000.0,-170000000.0,-52000000.0,,
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2009.0,Q3YTD,2008-10-01,2009-06-30,2010-08-25 12:25:26+00:00,-147000000.0,20000000.0,84000000.0,,-1000000.0,-261000000.0,296000000.0,-72000000.0,-265000000.0,381000000.0,-72000000.0,-265000000.0,381000000.0,43000000.0,460000000.0,460000000.0,,78000000.0,11000000.0,-1000000.0,,-114000000.0,,-117000000.0,-170000000.0,-95000000.0,,
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2009.0,Q2,2009-01-01,2009-03-31,,,6000000.0,28000000.0,,-1000000.0,-55000000.0,-56000000.0,-95000000.0,-30000000.0,116000000.0,-95000000.0,-30000000.0,116000000.0,-10000000.0,164000000.0,164000000.0,,-27000000.0,1000000.0,-1000000.0,,-38000000.0,,-29000000.0,,-2000000.0,,
