company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2008.0,FY,,2008-09-30,2009-11-23 15:53:18+00:00,419000000.0,950000000.0,,-578000000.0,175000000.0,1380000000.0,308000000.0,139000000.0,,295000000.0,609000000.0,198000000.0,228000000.0,970000000.0,680000000.0,,144000000.0,,600000000.0,104000000.0,431000000.0,,,175000000.0,168000000.0,2058000000.0,287000000.0,4144000000.0,1408000000.0,2338000000.0,1740000000.0,1408000000.0,1408000000.0,2736000000.0,4144000000.0,1126000000.0,996000000.0,-1452000000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2009.0,FY,,2009-09-30,2010-11-23 15:28:14+00:00,366000000.0,913000000.0,217000000.0,-1080000000.0,235000000.0,1397000000.0,349000000.0,154000000.0,,199000000.0,695000000.0,269000000.0,532000000.0,943000000.0,719000000.0,3000000.0,371000000.0,,1254000000.0,117000000.0,228000000.0,,,229000000.0,205000000.0,2444000000.0,0.0,4645000000.0,1292000000.0,2362000000.0,1359000000.0,1292000000.0,1295000000.0,3350000000.0,4645000000.0,1564000000.0,1991000000.0,-1469000000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2009.0,Q3,,2009-06-30,2009-08-14 17:56:07+00:00,350000000.0,907000000.0,,-572000000.0,218000000.0,1393000000.0,331000000.0,151000000.0,,174000000.0,688000000.0,259000000.0,530000000.0,998000000.0,714000000.0,,,,490000000.0,118000000.0,455000000.0,,,319000000.0,191000000.0,2359000000.0,117000000.0,4372000000.0,1734000000.0,2392000000.0,1427000000.0,1734000000.0,1734000000.0,2638000000.0,4372000000.0,1266000000.0,1211000000.0,-1446000000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2010.0,FY,,2010-09-30,2011-11-15 15:03:55+00:00,420000000.0,1024000000.0,183000000.0,-1259000000.0,435000000.0,1422000000.0,324000000.0,129000000.0,,259000000.0,766000000.0,306000000.0,525000000.0,1004000000.0,707000000.0,4000000.0,389000000.0,,1420000000.0,97000000.0,242000000.0,,,207000000.0,181000000.0,2816000000.0,24000000.0,5064000000.0,1482000000.0,2689000000.0,1452000000.0,1482000000.0,1486000000.0,3578000000.0,5064000000.0,1668000000.0,2126000000.0,-1497000000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2010.0,Q3,,2010-06-30,2010-08-25 12:25:26+00:00,388000000.0,917000000.0,192000000.0,-1084000000.0,303000000.0,1411000000.0,332000000.0,136000000.0,,211000000.0,756000000.0,308000000.0,516000000.0,980000000.0,709000000.0,4000000.0,304000000.0,,1102000000.0,90000000.0,221000000.0,,,233000000.0,171000000.0,2715000000.0,22000000.0,4736000000.0,1577000000.0,2426000000.0,1366000000.0,1577000000.0,1581000000.0,3155000000.0,4736000000.0,1601000000.0,1789000000.0,-1465000000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2010.0,Q2,,2010-03-31,2010-04-23 15:22:09+00:00,360000000.0,842000000.0,,-1076000000.0,246000000.0,1400000000.0,340000000.0,144000000.0,,215000000.0,753000000.0,310000000.0,527000000.0,1011000000.0,718000000.0,3000000.0,334000000.0,,1121000000.0,89000000.0,431000000.0,,,218000000.0,175000000.0,2622000000.0,,4665000000.0,1493000000.0,2332000000.0,1346000000.0,1493000000.0,1496000000.0,3169000000.0,4665000000.0,1615000000.0,1823000000.0,-1453000000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2010.0,Q1,,2009-12-31,2010-01-28 15:00:56+00:00,339000000.0,825000000.0,,-1075000000.0,206000000.0,1391000000.0,342000000.0,155000000.0,,185000000.0,761000000.0,307000000.0,529000000.0,1022000000.0,714000000.0,3000000.0,350000000.0,,1141000000.0,96000000.0,451000000.0,,,213000000.0,216000000.0,2524000000.0,62000000.0,4649000000.0,1381000000.0,2304000000.0,1379000000.0,1381000000.0,1384000000.0,3265000000.0,4649000000.0,1631000000.0,1886000000.0,-1459000000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2011.0,FY,,2011-09-30,2012-11-13 15:04:40+00:00,485000000.0,969000000.0,148000000.0,-1497000000.0,530000000.0,1439000000.0,269000000.0,106000000.0,,324000000.0,780000000.0,308000000.0,528000000.0,1195000000.0,754000000.0,5000000.0,448000000.0,,1633000000.0,89000000.0,269000000.0,,,210000000.0,205000000.0,3288000000.0,,5389000000.0,1523000000.0,2889000000.0,1495000000.0,1523000000.0,1528000000.0,3861000000.0,5389000000.0,1746000000.0,2366000000.0,-1707000000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2011.0,Q3,,2011-06-30,2011-07-25 10:16:24+00:00,421000000.0,1029000000.0,155000000.0,-1239000000.0,268000000.0,1432000000.0,275000000.0,116000000.0,,267000000.0,787000000.0,314000000.0,514000000.0,1212000000.0,729000000.0,4000000.0,334000000.0,,1280000000.0,129000000.0,252000000.0,,,195000000.0,208000000.0,3153000000.0,70000000.0,5113000000.0,1667000000.0,2754000000.0,1440000000.0,1667000000.0,1671000000.0,3442000000.0,5113000000.0,1630000000.0,2002000000.0,-1679000000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2011.0,Q2,,2011-03-31,2011-04-29 11:56:25+00:00,453000000.0,1021000000.0,167000000.0,-1240000000.0,236000000.0,1423000000.0,281000000.0,126000000.0,,263000000.0,786000000.0,316000000.0,509000000.0,1172000000.0,718000000.0,4000000.0,350000000.0,,1293000000.0,97000000.0,248000000.0,,,198000000.0,201000000.0,3041000000.0,28000000.0,5020000000.0,1573000000.0,2652000000.0,1440000000.0,1573000000.0,1577000000.0,3443000000.0,5020000000.0,1650000000.0,2003000000.0,-1651000000.0
