company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2007.0,FY,2006-10-01,2007-09-30,2009-11-23 15:53:18+00:00,3.5,3.5,0.64,3.45,258000000.0,585000000.0,585000000.0,,585000000.0,3092000000.0,4415000000.0,,-15000000.0,,482000000.0,3092000000.0,1323000000.0,13000000.0,467000000.0,856000000.0,-13000000.0,843000000.0,4415000000.0,167100000.0,167100000.0,169700000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2008.0,FY,2007-10-01,2008-09-30,2010-11-23 15:28:14+00:00,4.22,4.22,0.8,4.16,275000000.0,678000000.0,678000000.0,,678000000.0,3334000000.0,4769000000.0,24000000.0,,,485000000.0,3334000000.0,1435000000.0,21000000.0,485000000.0,950000000.0,3000000.0,953000000.0,4769000000.0,160700000.0,160800000.0,162900000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2008.0,Q3,2008-04-01,2008-06-30,2009-08-14 17:56:07+00:00,1.09,1.09,0.24,1.07,74000000.0,174000000.0,174000000.0,,174000000.0,827000000.0,1194000000.0,,-5000000.0,,119000000.0,827000000.0,367000000.0,5000000.0,114000000.0,253000000.0,-5000000.0,248000000.0,1194000000.0,159600000.0,160300000.0,162400000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2009.0,Q4,2009-07-01,2009-09-30,,0.84,0.84,0.24,0.84,52000000.0,134000000.0,129000000.0,5000000.0,134000000.0,842000000.0,1148000000.0,20000000.0,13000000.0,,126000000.0,842000000.0,306000000.0,6000000.0,139000000.0,167000000.0,14000000.0,181000000.0,1148000000.0,158000000.0,157800000.0,159400000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2009.0,FY,2008-10-01,2009-09-30,2011-11-15 15:03:55+00:00,3.76,3.76,0.96,3.73,269000000.0,594000000.0,589000000.0,5000000.0,594000000.0,3118000000.0,4428000000.0,23000000.0,,,457000000.0,3118000000.0,1310000000.0,18000000.0,457000000.0,853000000.0,5000000.0,858000000.0,4428000000.0,158000000.0,157800000.0,159400000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2009.0,Q3YTD,2008-10-01,2009-06-30,,2.92,2.92,0.72,2.89,217000000.0,460000000.0,460000000.0,,460000000.0,2276000000.0,3280000000.0,3000000.0,-13000000.0,,331000000.0,2276000000.0,1004000000.0,12000000.0,318000000.0,686000000.0,-9000000.0,677000000.0,3280000000.0,157600000.0,158000000.0,159700000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2009.0,Q3,2009-04-01,2009-06-30,2010-08-25 12:25:26+00:00,0.92,0.92,0.24,0.91,70000000.0,145000000.0,145000000.0,,145000000.0,759000000.0,1084000000.0,3000000.0,,,108000000.0,759000000.0,325000000.0,5000000.0,108000000.0,217000000.0,-2000000.0,215000000.0,1084000000.0,157600000.0,158000000.0,159700000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2009.0,Q2YTD,2008-10-01,2009-03-31,,2.0,2.0,0.48,1.98,147000000.0,315000000.0,315000000.0,,315000000.0,1517000000.0,2196000000.0,,-13000000.0,,223000000.0,1517000000.0,679000000.0,7000000.0,210000000.0,469000000.0,-7000000.0,462000000.0,2196000000.0,157700000.0,158100000.0,159300000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2009.0,Q2,2009-01-01,2009-03-31,2010-04-23 15:22:09+00:00,1.04,1.04,0.24,1.03,76000000.0,164000000.0,164000000.0,,164000000.0,785000000.0,1138000000.0,,-8000000.0,,118000000.0,785000000.0,353000000.0,3000000.0,110000000.0,243000000.0,-3000000.0,240000000.0,1138000000.0,157700000.0,158100000.0,159300000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2009.0,Q1,2008-10-01,2008-12-31,2010-01-28 15:00:56+00:00,0.96,0.96,0.24,0.95,71000000.0,151000000.0,151000000.0,,151000000.0,732000000.0,1058000000.0,,-5000000.0,,105000000.0,732000000.0,326000000.0,4000000.0,100000000.0,226000000.0,-4000000.0,222000000.0,1058000000.0,157300000.0,158100000.0,159200000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2010.0,FY,2009-10-01,2010-09-30,2012-11-13 15:04:40+00:00,3.57,3.57,0.96,3.52,239000000.0,561000000.0,557000000.0,4000000.0,561000000.0,3353000000.0,4631000000.0,14000000.0,,,476000000.0,3353000000.0,1278000000.0,20000000.0,476000000.0,802000000.0,-6000000.0,796000000.0,4631000000.0,157100000.0,157100000.0,159200000.0
Rockwell Collins Inc,COL,XO75O7GICH1NPWLBRL05,1137411,2010.0,Q4,2010-07-01,2010-09-30,,0.96,0.96,0.24,0.94,69000000.0,150000000.0,146000000.0,4000000.0,150000000.0,906000000.0,1254000000.0,1000000.0,,,129000000.0,906000000.0,348000000.0,5000000.0,129000000.0,219000000.0,-4000000.0,215000000.0,1254000000.0,157100000.0,157100000.0,159200000.0
