company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,otheroperatingexpenses,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
LKQ Corp,LKQ,DS830JTTZQN6GK0I2E41,1065696,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 17:19:04+00:00,0.73,1.44,30204000.0,1.4,,62041000.0,99899000.0,97092000.0,2807000.0,99899000.0,,1064706000.0,1908532000.0,,1375000.0,361727000.0,8589000.0,250026000.0,1064706000.0,843826000.0,37830000.0,2308000.0,650546000.0,193280000.0,-34147000.0,159133000.0,1908532000.0,136800000.0,69400000.0,71400000.0
LKQ Corp,LKQ,DS830JTTZQN6GK0I2E41,1065696,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 17:15:56+00:00,0.91,1.81,34113000.0,1.77,,78180000.0,127521000.0,127137000.0,384000.0,127521000.0,,1120129000.0,2047942000.0,,4768000.0,382975000.0,2554000.0,276723000.0,1120129000.0,927813000.0,32252000.0,1353000.0,696365000.0,231448000.0,-26131000.0,205317000.0,2047942000.0,140100000.0,70500000.0,72000000.0
LKQ Corp,LKQ,DS830JTTZQN6GK0I2E41,1065696,2009.0,Q3,2009-07-01,2009-09-30,2010-10-29 14:56:56+00:00,0.21,0.42,8373000.0,0.41,,18147000.0,29155000.0,30141000.0,-986000.0,29155000.0,,269708000.0,494812000.0,,23000.0,93941000.0,852000.0,65893000.0,269708000.0,225104000.0,7780000.0,,169059000.0,56045000.0,-7757000.0,48288000.0,494812000.0,138800000.0,140746000.0,144047000.0
LKQ Corp,LKQ,DS830JTTZQN6GK0I2E41,1065696,2009.0,Q2,2009-04-01,2009-06-30,2010-07-30 15:54:52+00:00,0.21,0.41,8246000.0,0.2,,18684000.0,28857000.0,28455000.0,402000.0,28857000.0,,266107000.0,486355000.0,,106000.0,90567000.0,255000.0,66423000.0,266107000.0,220248000.0,7724000.0,,165491000.0,54757000.0,-7618000.0,47139000.0,486355000.0,137400000.0,140223000.0,143500000.0
LKQ Corp,LKQ,DS830JTTZQN6GK0I2E41,1065696,2010.0,Q4,2010-10-01,2010-12-31,,0.14,0.14,10056000.0,0.14,,25096000.0,41328000.0,41328000.0,,41328000.0,,386563000.0,674063000.0,,1440000.0,122446000.0,75000.0,81791000.0,386563000.0,287500000.0,8148000.0,,214368000.0,73132000.0,-6708000.0,66424000.0,674063000.0,286600000.0,286600000.0,291500000.0
LKQ Corp,LKQ,DS830JTTZQN6GK0I2E41,1065696,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 15:52:13+00:00,0.59,0.59,37996000.0,0.58,,103007000.0,169071000.0,167118000.0,1953000.0,169071000.0,,1376401000.0,2469881000.0,,2013000.0,446711000.0,668000.0,310228000.0,1376401000.0,1093480000.0,29765000.0,,795603000.0,297877000.0,-27752000.0,270125000.0,2469881000.0,286600000.0,286600000.0,291500000.0
LKQ Corp,LKQ,DS830JTTZQN6GK0I2E41,1065696,2010.0,Q3YTD,2010-01-01,2010-09-30,,0.89,0.89,27940000.0,0.89,,77911000.0,127743000.0,125790000.0,1953000.0,127743000.0,,989838000.0,1795818000.0,,573000.0,324265000.0,593000.0,228437000.0,989838000.0,805980000.0,21617000.0,,581235000.0,224745000.0,-21044000.0,203701000.0,1795818000.0,143600000.0,143258000.0,145798000.0
LKQ Corp,LKQ,DS830JTTZQN6GK0I2E41,1065696,2010.0,Q3,2010-07-01,2010-09-30,2011-10-28 16:22:47+00:00,0.25,0.5,9549000.0,0.5,,22394000.0,35901000.0,35901000.0,0.0,35901000.0,,346197000.0,607621000.0,,274000.0,108774000.0,223000.0,77671000.0,346197000.0,261424000.0,7186000.0,,196217000.0,65207000.0,-6912000.0,58295000.0,607621000.0,143600000.0,143258000.0,145798000.0
LKQ Corp,LKQ,DS830JTTZQN6GK0I2E41,1065696,2010.0,Q2YTD,2010-01-01,2010-06-30,,0.64,0.64,18391000.0,0.64,,55517000.0,91842000.0,89889000.0,1953000.0,91842000.0,,643641000.0,1188197000.0,,299000.0,215491000.0,370000.0,150766000.0,643641000.0,544556000.0,14431000.0,,385018000.0,159538000.0,-14132000.0,145406000.0,1188197000.0,140400000.0,142842000.0,145496000.0
LKQ Corp,LKQ,DS830JTTZQN6GK0I2E41,1065696,2010.0,Q2,2010-04-01,2010-06-30,2011-07-29 16:44:57+00:00,0.27,0.54,9162000.0,0.52,,24686000.0,37906000.0,37906000.0,0.0,37906000.0,,323415000.0,584681000.0,,138000.0,106526000.0,290000.0,75679000.0,323415000.0,261266000.0,7155000.0,,191657000.0,69609000.0,-7017000.0,62592000.0,584681000.0,140400000.0,142842000.0,145496000.0
LKQ Corp,LKQ,DS830JTTZQN6GK0I2E41,1065696,2010.0,Q1,2010-01-01,2010-03-31,2011-04-29 14:01:03+00:00,0.38,0.75,9229000.0,0.73,,30831000.0,53936000.0,51983000.0,1953000.0,53936000.0,,320226000.0,603516000.0,,161000.0,108965000.0,80000.0,75087000.0,320226000.0,283290000.0,7276000.0,,193361000.0,89929000.0,-7115000.0,82814000.0,603516000.0,141900000.0,142194000.0,145124000.0
LKQ Corp,LKQ,DS830JTTZQN6GK0I2E41,1065696,2011.0,FY,2011-01-01,2011-12-31,2014-03-03 16:40:29+00:00,,0.72,49929000.0,0.71,,125507000.0,210264000.0,210264000.0,,210264000.0,,1877869000.0,3269862000.0,,3940000.0,581049000.0,7590000.0,391942000.0,1877869000.0,1391993000.0,29652000.0,,1030510000.0,361483000.0,-25712000.0,335771000.0,3269862000.0,,292000000.0,296100000.0
LKQ Corp,LKQ,DS830JTTZQN6GK0I2E41,1065696,2011.0,Q4,2011-10-01,2011-12-31,,0.19,0.19,15029000.0,0.19,,28073000.0,56145000.0,56145000.0,,56145000.0,,547843000.0,939632000.0,,2460000.0,166565000.0,2257000.0,117800000.0,547843000.0,391789000.0,8380000.0,,301651000.0,90138000.0,-5920000.0,84218000.0,939632000.0,,292000000.0,296100000.0
LKQ Corp,LKQ,DS830JTTZQN6GK0I2E41,1065696,2011.0,Q3,2011-07-01,2011-09-30,2012-10-26 17:22:02+00:00,0.17,0.17,12314000.0,0.17,,30787000.0,49231000.0,49231000.0,,49231000.0,,449576000.0,783898000.0,,-623000.0,140624000.0,2910000.0,92986000.0,449576000.0,334322000.0,4847000.0,,248834000.0,85488000.0,-5470000.0,80018000.0,783898000.0,289600000.0,289600000.0,289600000.0
