company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,allowanceforloanandleaselosses,aoci,bankersacceptances,cashandequivalents,commonequity,customerandotherreceivables,fedfundssold,interestbearingdeposits,interestbearingdepositsatotherbanks,loansandleases,longtermdebt,netloansandleases,netpremisesandequipment,noninterestbearingdeposits,otherassets,otherlongtermliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
Comerica Inc,CMA,I9Q57JVPWHHZ3ZGBW498,28412,2009.0,FY,,2009-12-31,2011-02-28 16:05:03+00:00,985000000.0,-336000000.0,11000000.0,774000000.0,1634000000.0,11000000.0,,23794000000.0,4843000000.0,42161000000.0,11060000000.0,41176000000.0,644000000.0,15871000000.0,4385000000.0,1022000000.0,5161000000.0,462000000.0,59249000000.0,4878000000.0,7029000000.0,7029000000.0,52220000000.0,59249000000.0,2151000000.0,7416000000.0,-1581000000.0
Comerica Inc,CMA,I9Q57JVPWHHZ3ZGBW498,28412,2009.0,Q3,,2009-09-30,2010-10-29 16:16:11+00:00,953000000.0,-361000000.0,12000000.0,799000000.0,1632000000.0,12000000.0,,25726000000.0,2219000000.0,43571000000.0,11252000000.0,42618000000.0,657000000.0,13888000000.0,4403000000.0,1252000000.0,5205000000.0,425000000.0,59590000000.0,4890000000.0,7035000000.0,7035000000.0,52555000000.0,59590000000.0,2145000000.0,8882000000.0,-1586000000.0
Comerica Inc,CMA,I9Q57JVPWHHZ3ZGBW498,28412,2009.0,Q2,,2009-06-30,2010-07-30 16:17:59+00:00,880000000.0,-342000000.0,7000000.0,948000000.0,1625000000.0,7000000.0,650000000.0,27433000000.0,3542000000.0,46552000000.0,13571000000.0,45672000000.0,667000000.0,13558000000.0,4387000000.0,1478000000.0,5257000000.0,490000000.0,63630000000.0,4953000000.0,7093000000.0,7093000000.0,56537000000.0,63630000000.0,2140000000.0,7757000000.0,-1587000000.0
Comerica Inc,CMA,I9Q57JVPWHHZ3ZGBW498,28412,2010.0,FY,,2010-12-31,2012-02-21 16:49:43+00:00,901000000.0,-389000000.0,,668000000.0,2500000000.0,,,24933000000.0,1415000000.0,40236000000.0,6138000000.0,39335000000.0,630000000.0,15538000000.0,4059000000.0,1135000000.0,5247000000.0,130000000.0,53667000000.0,5793000000.0,5793000000.0,5793000000.0,47874000000.0,53667000000.0,,7560000000.0,-1565000000.0
Comerica Inc,CMA,I9Q57JVPWHHZ3ZGBW498,28412,2010.0,Q3,,2010-09-30,2010-10-29 16:16:11+00:00,957000000.0,-238000000.0,13000000.0,863000000.0,2492000000.0,13000000.0,,24868000000.0,3031000000.0,40280000000.0,7239000000.0,39323000000.0,639000000.0,15763000000.0,4219000000.0,1085000000.0,5171000000.0,179000000.0,55004000000.0,5857000000.0,5857000000.0,5857000000.0,49147000000.0,55004000000.0,,6816000000.0,-1568000000.0
Comerica Inc,CMA,I9Q57JVPWHHZ3ZGBW498,28412,2010.0,Q2,,2010-06-30,2010-07-30 16:17:59+00:00,967000000.0,-240000000.0,24000000.0,816000000.0,2486000000.0,24000000.0,,24011000000.0,3409000000.0,40602000000.0,9041000000.0,39635000000.0,634000000.0,15769000000.0,4179000000.0,1048000000.0,5124000000.0,200000000.0,55885000000.0,5792000000.0,5792000000.0,5792000000.0,50093000000.0,55885000000.0,0.0,7188000000.0,-1578000000.0
Comerica Inc,CMA,I9Q57JVPWHHZ3ZGBW498,28412,2010.0,Q1,,2010-03-31,2011-05-02 16:29:24+00:00,987000000.0,-303000000.0,21000000.0,769000000.0,2487000000.0,21000000.0,,24676000000.0,3860000000.0,40845000000.0,9915000000.0,39858000000.0,637000000.0,15290000000.0,4615000000.0,1047000000.0,5064000000.0,489000000.0,57106000000.0,5668000000.0,5668000000.0,5668000000.0,51438000000.0,57106000000.0,,7346000000.0,-1580000000.0
Comerica Inc,CMA,I9Q57JVPWHHZ3ZGBW498,28412,2011.0,FY,,2011-12-31,2013-02-19 16:41:23+00:00,726000000.0,-356000000.0,,982000000.0,3311000000.0,,0.0,27991000000.0,2574000000.0,42679000000.0,4944000000.0,41953000000.0,675000000.0,19764000000.0,4720000000.0,1371000000.0,5546000000.0,70000000.0,61008000000.0,6868000000.0,6868000000.0,6868000000.0,54140000000.0,61008000000.0,,10104000000.0,-1633000000.0
Comerica Inc,CMA,I9Q57JVPWHHZ3ZGBW498,28412,2011.0,Q3,,2011-09-30,2011-11-01 16:17:32+00:00,767000000.0,-230000000.0,8000000.0,981000000.0,3303000000.0,8000000.0,,28291000000.0,4217000000.0,41225000000.0,5009000000.0,40458000000.0,685000000.0,19116000000.0,4807000000.0,1304000000.0,5471000000.0,164000000.0,60888000000.0,6951000000.0,6951000000.0,6951000000.0,53937000000.0,60888000000.0,,9732000000.0,-1593000000.0
Comerica Inc,CMA,I9Q57JVPWHHZ3ZGBW498,28412,2011.0,Q2,,2011-06-30,2011-08-02 07:58:31+00:00,806000000.0,-308000000.0,10000000.0,987000000.0,2491000000.0,10000000.0,,25414000000.0,2479000000.0,39193000000.0,5206000000.0,38387000000.0,641000000.0,16344000000.0,4100000000.0,1062000000.0,5395000000.0,67000000.0,54141000000.0,6038000000.0,6038000000.0,6038000000.0,48103000000.0,54141000000.0,,7537000000.0,-1540000000.0
