company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Conagra Brands Inc,CAG,54930035UDEIH090K650,23217,2008.0,FY,2007-05-28,2008-05-25,2010-07-22 11:36:17+00:00,-255200000.0,287200000.0,,9400000.0,-561800000.0,,576600000.0,-21300000.0,-655800000.0,329600000.0,-500000.0,12000000.0,-236900000.0,-21800000.0,-643800000.0,92700000.0,-563500000.0,930600000.0,491100000.0,439500000.0,113100000.0,37500000.0,1500000.0,,-362300000.0,-1351000000.0,-468200000.0,-85100000.0,-188000000.0,1352000000.0,65100000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,23217,2009.0,FY,2008-05-26,2009-05-31,2010-07-22 11:36:17+00:00,-80300000.0,307600000.0,,-16700000.0,-5000000.0,,,-1827100000.0,-460600000.0,986600000.0,100000.0,2251800000.0,-862600000.0,-1827000000.0,1791200000.0,124000000.0,71500000.0,979000000.0,617800000.0,361200000.0,66200000.0,1016200000.0,31600000.0,,-348200000.0,,-429600000.0,-1595100000.0,-900000000.0,,17700000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,23217,2009.0,Q4,2009-02-23,2009-05-31,,,70900000.0,-29700000.0,4300000.0,246000000.0,,-41600000.0,-233700000.0,-109200000.0,554400000.0,100000.0,-6800000.0,-54100000.0,-233600000.0,-116000000.0,500300000.0,155000000.0,174900000.0,146300000.0,28600000.0,91200000.0,1010100000.0,30400000.0,,-65000000.0,,-108500000.0,-1137200000.0,,,-1400000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,23217,2009.0,Q3,2008-11-24,2009-02-22,,-4000000.0,81800000.0,-100000.0,100000.0,15600000.0,,21600000.0,-189600000.0,-99600000.0,318200000.0,,5800000.0,-78800000.0,-189600000.0,-93800000.0,239400000.0,-43900000.0,193200000.0,191800000.0,1400000.0,29000000.0,,200000.0,,-105000000.0,,-100000000.0,-106200000.0,,,4300000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,23217,2009.0,Q3YTD,2008-05-26,2009-02-22,2010-04-02 12:38:48+00:00,-80300000.0,236700000.0,29700000.0,-21000000.0,-251000000.0,,41600000.0,-1593400000.0,-351400000.0,432200000.0,0.0,2258600000.0,-808500000.0,-1593400000.0,1907200000.0,-376300000.0,-83500000.0,804100000.0,471500000.0,332600000.0,-25000000.0,6100000.0,1200000.0,,-283200000.0,,-321100000.0,-457900000.0,-900000000.0,,19100000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,23217,2009.0,Q2,2008-08-25,2008-11-23,,-45900000.0,78700000.0,400000.0,-17200000.0,-314400000.0,,20000000.0,189700000.0,-158200000.0,-84200000.0,,-400000.0,-94000000.0,189700000.0,-158600000.0,-178200000.0,-164300000.0,168500000.0,172100000.0,-3600000.0,-20600000.0,300000.0,100000.0,,-86100000.0,,-114800000.0,255500000.0,,,2000000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,23217,2009.0,Q2YTD,2008-05-26,2008-11-23,2010-01-05 16:24:44+00:00,-76300000.0,154900000.0,29800000.0,-21100000.0,-266600000.0,,20000000.0,-1403800000.0,-251800000.0,114000000.0,0.0,2252800000.0,-729700000.0,-1403800000.0,2001000000.0,-615700000.0,-39600000.0,610900000.0,279700000.0,331200000.0,-54000000.0,6100000.0,1000000.0,,-178200000.0,,-221100000.0,-351700000.0,-900000000.0,,14800000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,23217,2009.0,Q1,2008-05-26,2008-08-24,2009-10-07 12:36:57+00:00,-30400000.0,76200000.0,29400000.0,-3900000.0,47800000.0,,,-1593500000.0,-93600000.0,198200000.0,0.0,2253200000.0,-635700000.0,-1593500000.0,2159600000.0,-437500000.0,124700000.0,442400000.0,107600000.0,334800000.0,-33400000.0,5800000.0,900000.0,,-92100000.0,,-106300000.0,-607200000.0,-900000000.0,,12800000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,23217,2010.0,Q4,2010-03-01,2010-05-30,,-103500000.0,74600000.0,,-5200000.0,-3000000.0,,1700000.0,-154000000.0,-29100000.0,326400000.0,-600000.0,-9700000.0,39800000.0,-154600000.0,-38800000.0,366200000.0,167600000.0,-22100000.0,-4000000.0,-18100000.0,258800000.0,36000000.0,17500000.0,,-88800000.0,,-119000000.0,-2900000.0,-100000000.0,91900000.0,84000000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,23217,2010.0,FY,2009-06-01,2010-05-30,2012-07-20 11:02:21+00:00,-106500000.0,324100000.0,21700000.0,-2900000.0,197300000.0,,3900000.0,-403900000.0,-352000000.0,1430000000.0,-600000.0,-3300000.0,42700000.0,-404500000.0,-355300000.0,1472700000.0,710000000.0,611000000.0,630300000.0,-19300000.0,278300000.0,54700000.0,34800000.0,,-346700000.0,,-482300000.0,-15800000.0,-100000000.0,91900000.0,88400000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,23217,2010.0,Q3YTD,2009-06-01,2010-02-28,2010-04-02 12:38:48+00:00,-3000000.0,249500000.0,21700000.0,2300000.0,200300000.0,,2200000.0,-249900000.0,-322900000.0,1103600000.0,0.0,6400000.0,2900000.0,-249900000.0,-316500000.0,1106500000.0,542400000.0,633100000.0,634300000.0,-1200000.0,19500000.0,18700000.0,17300000.0,,-257900000.0,,-363300000.0,-12900000.0,,,4400000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,23217,2010.0,Q3TTM,2009-02-23,2010-02-28,,-3000000.0,320400000.0,-8000000.0,6600000.0,446300000.0,,-39400000.0,-483600000.0,-432100000.0,1658000000.0,100000.0,-400000.0,-51200000.0,-483500000.0,-432500000.0,1606800000.0,697400000.0,808000000.0,780600000.0,27400000.0,110700000.0,1028800000.0,47700000.0,,-322900000.0,,-471800000.0,-1150100000.0,,,3000000.0
Conagra Brands Inc,CAG,54930035UDEIH090K650,23217,2010.0,Q3,2009-11-30,2010-02-28,,,90000000.0,21700000.0,-2000000.0,113300000.0,,800000.0,-61400000.0,-93000000.0,419100000.0,400000.0,2100000.0,30200000.0,-61000000.0,-90900000.0,449300000.0,295400000.0,228700000.0,233500000.0,-4800000.0,-17700000.0,30400000.0,6700000.0,,-88700000.0,,-123500000.0,-3900000.0,,,2100000.0
