company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,assetretirementandlitigationobligation,cashandequivalents,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,intangibleassets,longtermdebt,longterminvestments,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,noncurrentnotereceivables,notereceivable,othercurrentassets,othercurrentliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
United Parcel Service Inc,UPS,D01LMJZU09ULLNCY6Z23,1090727,2008.0,FY,,2008-12-31,2010-02-26 16:12:48+00:00,1855000000.0,5547000000.0,,-5642000000.0,1710000000.0,507000000.0,0.0,661000000.0,37000000.0,1436000000.0,1986000000.0,511000000.0,7797000000.0,,18265000000.0,0.0,,588000000.0,6323000000.0,476000000.0,480000000.0,1108000000.0,2415000000.0,121000000.0,1796000000.0,864000000.0,12412000000.0,2074000000.0,542000000.0,31879000000.0,6770000000.0,8845000000.0,7817000000.0,6780000000.0,6780000000.0,25099000000.0,31879000000.0,4769000000.0,17282000000.0,-121000000.0
United Parcel Service Inc,UPS,D01LMJZU09ULLNCY6Z23,1090727,2009.0,FY,,2009-12-31,2011-02-28 13:54:49+00:00,1766000000.0,5369000000.0,,-5127000000.0,1732000000.0,1542000000.0,2000000.0,851000000.0,,1416000000.0,2089000000.0,596000000.0,8668000000.0,533000000.0,17979000000.0,66000000.0,,1293000000.0,5457000000.0,337000000.0,287000000.0,668000000.0,2204000000.0,108000000.0,1074000000.0,798000000.0,12745000000.0,853000000.0,558000000.0,31883000000.0,7620000000.0,9275000000.0,6239000000.0,7630000000.0,7696000000.0,24187000000.0,31883000000.0,4629000000.0,17948000000.0,-108000000.0
United Parcel Service Inc,UPS,D01LMJZU09ULLNCY6Z23,1090727,2009.0,Q3,,2009-09-30,2009-11-06 16:17:47+00:00,1486000000.0,4851000000.0,,-5531000000.0,1620000000.0,2242000000.0,49000000.0,698000000.0,,1787000000.0,2111000000.0,509000000.0,8908000000.0,,18092000000.0,65000000.0,,927000000.0,6048000000.0,362000000.0,305000000.0,924000000.0,2104000000.0,108000000.0,1571000000.0,888000000.0,12453000000.0,1397000000.0,546000000.0,32211000000.0,6971000000.0,9566000000.0,6774000000.0,6981000000.0,7046000000.0,25165000000.0,32211000000.0,4553000000.0,18391000000.0,-108000000.0
United Parcel Service Inc,UPS,D01LMJZU09ULLNCY6Z23,1090727,2009.0,Q2,,2009-06-30,2009-08-07 16:06:06+00:00,1517000000.0,4569000000.0,,-5628000000.0,1697000000.0,2818000000.0,59000000.0,630000000.0,,1688000000.0,1991000000.0,497000000.0,8866000000.0,,17974000000.0,,,824000000.0,6465000000.0,379000000.0,325000000.0,1311000000.0,1935000000.0,107000000.0,1517000000.0,738000000.0,12352000000.0,2017000000.0,529000000.0,32540000000.0,6783000000.0,10182000000.0,7157000000.0,6793000000.0,6793000000.0,25747000000.0,32540000000.0,4384000000.0,18590000000.0,-107000000.0
United Parcel Service Inc,UPS,D01LMJZU09ULLNCY6Z23,1090727,2010.0,FY,,2010-12-31,2012-02-27 14:19:33+00:00,1974000000.0,5627000000.0,,-2635000000.0,1809000000.0,3370000000.0,0.0,659000000.0,,1505000000.0,2081000000.0,599000000.0,10491000000.0,458000000.0,17387000000.0,68000000.0,,1870000000.0,4663000000.0,,,1202000000.0,2068000000.0,103000000.0,1503000000.0,815000000.0,10604000000.0,355000000.0,711000000.0,33597000000.0,7969000000.0,11569000000.0,5902000000.0,7979000000.0,8047000000.0,25550000000.0,33597000000.0,4641000000.0,19648000000.0,-103000000.0
United Parcel Service Inc,UPS,D01LMJZU09ULLNCY6Z23,1090727,2010.0,Q3,,2010-09-30,2010-11-05 16:32:37+00:00,1840000000.0,5250000000.0,,-5153000000.0,1723000000.0,3020000000.0,,782000000.0,129000000.0,1799000000.0,2085000000.0,609000000.0,8648000000.0,,17471000000.0,66000000.0,,1497000000.0,4850000000.0,313000000.0,259000000.0,713000000.0,2039000000.0,101000000.0,1673000000.0,862000000.0,13603000000.0,994000000.0,732000000.0,32907000000.0,8450000000.0,10756000000.0,6801000000.0,8460000000.0,8526000000.0,24381000000.0,32907000000.0,4680000000.0,17580000000.0,-101000000.0
United Parcel Service Inc,UPS,D01LMJZU09ULLNCY6Z23,1090727,2010.0,Q2,,2010-06-30,2010-08-09 09:24:56+00:00,1708000000.0,5110000000.0,,-5217000000.0,1764000000.0,3252000000.0,5000000.0,836000000.0,291000000.0,1909000000.0,2050000000.0,628000000.0,8614000000.0,,17615000000.0,65000000.0,,1429000000.0,4947000000.0,312000000.0,266000000.0,805000000.0,2142000000.0,101000000.0,1640000000.0,898000000.0,13067000000.0,1637000000.0,755000000.0,33269000000.0,7855000000.0,11024000000.0,7687000000.0,7865000000.0,7930000000.0,25339000000.0,33269000000.0,4630000000.0,17652000000.0,-101000000.0
United Parcel Service Inc,UPS,D01LMJZU09ULLNCY6Z23,1090727,2010.0,Q1,,2010-03-31,2010-05-07 16:19:03+00:00,1788000000.0,5077000000.0,,-5155000000.0,1702000000.0,2544000000.0,,808000000.0,348000000.0,1788000000.0,2070000000.0,628000000.0,8548000000.0,,17758000000.0,66000000.0,,1494000000.0,4954000000.0,337000000.0,277000000.0,783000000.0,2036000000.0,99000000.0,1651000000.0,827000000.0,12692000000.0,1406000000.0,571000000.0,32504000000.0,7537000000.0,10060000000.0,7366000000.0,7547000000.0,7613000000.0,24891000000.0,32504000000.0,4686000000.0,17525000000.0,-99000000.0
United Parcel Service Inc,UPS,D01LMJZU09ULLNCY6Z23,1090727,2011.0,FY,,2011-12-31,2013-02-28 11:08:41+00:00,2300000000.0,6246000000.0,,-3103000000.0,1806000000.0,3034000000.0,0.0,611000000.0,,1843000000.0,2101000000.0,585000000.0,11095000000.0,303000000.0,17621000000.0,73000000.0,118000000.0,1900000000.0,5505000000.0,,,1152000000.0,2338000000.0,88000000.0,1689000000.0,773000000.0,10128000000.0,33000000.0,1241000000.0,34701000000.0,7025000000.0,12284000000.0,6514000000.0,7035000000.0,7108000000.0,27593000000.0,34701000000.0,4796000000.0,21079000000.0,-88000000.0
United Parcel Service Inc,UPS,D01LMJZU09ULLNCY6Z23,1090727,2011.0,Q3,,2011-09-30,2011-11-04 15:24:38+00:00,1974000000.0,5418000000.0,,-6040000000.0,1813000000.0,4133000000.0,0.0,634000000.0,,1873000000.0,2066000000.0,622000000.0,11092000000.0,303000000.0,17581000000.0,71000000.0,,2394000000.0,3744000000.0,231000000.0,166000000.0,957000000.0,2354000000.0,87000000.0,1807000000.0,815000000.0,13828000000.0,1310000000.0,1320000000.0,35238000000.0,7788000000.0,12628000000.0,7511000000.0,7798000000.0,7869000000.0,27369000000.0,35238000000.0,5029000000.0,19858000000.0,-87000000.0
