company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otherrevenue,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 12:39:46+00:00,1.22,1.22,0.74,1.21,,262800000.0,533300000.0,533300000.0,,530700000.0,2600000.0,3941200000.0,9845200000.0,-6600000.0,93500000.0,5124800000.0,3941200000.0,5997500000.0,112200000.0,42200000.0,5124800000.0,872700000.0,-76600000.0,796100000.0,9938700000.0,435000000.0,433470000.0,436020000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2008.0,FY,2008-01-01,2008-12-31,2010-02-25 12:39:46+00:00,2.04,2.04,0.8,2.03,,362700000.0,875600000.0,875600000.0,,875300000.0,300000.0,3949100000.0,10588900000.0,-37700000.0,101200000.0,5401700000.0,3949100000.0,6741000000.0,100400000.0,37100000.0,5401700000.0,1339300000.0,-101000000.0,1238300000.0,10690100000.0,429100000.0,426360000.0,428250000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2008.0,Q3,2008-07-01,2008-09-30,2009-10-29 07:04:33+00:00,0.52,0.52,0.2,0.52,,54500000.0,224700000.0,224700000.0,,222600000.0,2100000.0,975000000.0,2618700000.0,-3400000.0,26000000.0,1372600000.0,975000000.0,1669700000.0,24600000.0,10100000.0,1372600000.0,297100000.0,-17900000.0,279200000.0,2644700000.0,428100000.0,428100000.0,428100000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2008.0,Q2,2008-04-01,2008-06-30,2009-07-30 07:31:10+00:00,0.55,0.55,0.2,0.55,,107400000.0,237000000.0,237000000.0,,235600000.0,1400000.0,993400000.0,2711000000.0,-12000000.0,25100000.0,1368800000.0,993400000.0,1742700000.0,26100000.0,8600000.0,1368800000.0,373900000.0,-29500000.0,344400000.0,2736100000.0,428400000.0,428400000.0,428400000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2009.0,Q4,2009-10-01,2009-12-31,,0.9,0.63,0.21,0.63,,115900000.0,268500000.0,259500000.0,9000000.0,269400000.0,-900000.0,1125200000.0,2954400000.0,600000.0,42300000.0,1475700000.0,1125200000.0,1871500000.0,26000000.0,5000000.0,1475700000.0,395800000.0,-20400000.0,375400000.0,2996700000.0,431600000.0,426900000.0,428500000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 14:17:21+00:00,1.45,1.45,0.84,1.45,0.0,294500000.0,628200000.0,619200000.0,9000000.0,625800000.0,2400000.0,3825500000.0,10084800000.0,-7300000.0,120400000.0,5374100000.0,3825500000.0,6379700000.0,104800000.0,20200000.0,5374100000.0,1005600000.0,-91900000.0,913700000.0,10205200000.0,431600000.0,426900000.0,428500000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2009.0,Q3,2009-07-01,2009-09-30,2009-10-29 07:04:33+00:00,0.36,0.36,0.21,0.36,,74100000.0,157600000.0,157600000.0,,156200000.0,1400000.0,954800000.0,2527000000.0,-3900000.0,24300000.0,1338000000.0,954800000.0,1596500000.0,26100000.0,3200000.0,1338000000.0,258500000.0,-26800000.0,231700000.0,2551300000.0,433900000.0,433900000.0,433900000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2009.0,Q3YTD,2009-01-01,2009-09-30,,0.55,0.82,0.63,0.82,,178600000.0,359700000.0,359700000.0,,356400000.0,3300000.0,2700300000.0,7130400000.0,-7900000.0,78100000.0,3898400000.0,2700300000.0,4508200000.0,78800000.0,15200000.0,3898400000.0,609800000.0,-71500000.0,538300000.0,7208500000.0,433900000.0,433900000.0,433900000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2009.0,Q2,2009-04-01,2009-06-30,2009-07-30 07:31:10+00:00,0.19,0.19,0.21,0.19,,75300000.0,84600000.0,84600000.0,,82900000.0,1700000.0,934300000.0,2445700000.0,200000.0,24600000.0,1353100000.0,934300000.0,1536000000.0,27900000.0,4700000.0,1353100000.0,182900000.0,-23000000.0,159900000.0,2470300000.0,436300000.0,436300000.0,436300000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.19,0.46,0.42,0.46,,104500000.0,202100000.0,202100000.0,,200200000.0,1900000.0,1745500000.0,4603400000.0,-4000000.0,53800000.0,2560400000.0,1745500000.0,2911700000.0,52700000.0,12000000.0,2560400000.0,351300000.0,-44700000.0,306600000.0,4657200000.0,436300000.0,436300000.0,436300000.0
