company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 12:39:46+00:00,,43200000.0,396700000.0,113200000.0,128900000.0,,59000000.0,-658900000.0,308300000.0,,-597100000.0,-287200000.0,589800000.0,-597100000.0,-287200000.0,589800000.0,-235500000.0,533300000.0,533300000.0,,543300000.0,105100000.0,-19000000.0,,-325700000.0,-47000000.0,-278500000.0,-18000000.0,-666800000.0,,46100000.0,11200000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2008.0,FY,2008-01-01,2008-12-31,2010-02-25 12:39:46+00:00,,-45300000.0,388700000.0,99600000.0,-141900000.0,,-61900000.0,-91100000.0,572600000.0,,-141500000.0,-403400000.0,748100000.0,-141500000.0,-403400000.0,748100000.0,141300000.0,875600000.0,875600000.0,,150800000.0,96500000.0,0.0,,-347700000.0,-77700000.0,-380500000.0,-290800000.0,-172100000.0,,41400000.0,13400000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2008.0,Q4,2008-10-01,2008-12-31,,,-45300000.0,388700000.0,99600000.0,-284900000.0,,-72100000.0,675000000.0,25500000.0,,-95800000.0,-139800000.0,445400000.0,-95800000.0,-139800000.0,445400000.0,137700000.0,227700000.0,227700000.0,,-127100000.0,3400000.0,-100000.0,,-85400000.0,-17200000.0,-142200000.0,-38600000.0,-700000.0,,14800000.0,4900000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2008.0,Q3,2008-07-01,2008-09-30,,,,,,50300000.0,,-54200000.0,-250000000.0,50800000.0,,63100000.0,-132500000.0,130300000.0,63100000.0,-132500000.0,130300000.0,6700000.0,224700000.0,224700000.0,,105300000.0,59500000.0,100000.0,,-85000000.0,-42200000.0,-102300000.0,88300000.0,-50500000.0,,8500000.0,3400000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-29 07:04:33+00:00,,,,,143000000.0,,10200000.0,-766100000.0,547100000.0,,-45700000.0,-263600000.0,302700000.0,-45700000.0,-263600000.0,302700000.0,3600000.0,647900000.0,647900000.0,,277900000.0,93100000.0,100000.0,,-262300000.0,-60500000.0,-238300000.0,-252200000.0,-171400000.0,,26600000.0,8500000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-07-30 07:31:10+00:00,,,,,92700000.0,,64400000.0,-516100000.0,496300000.0,,-108800000.0,-131100000.0,172400000.0,-108800000.0,-131100000.0,172400000.0,-3100000.0,423200000.0,423200000.0,,172600000.0,33600000.0,0.0,,-177300000.0,-18300000.0,-136000000.0,-340500000.0,-120900000.0,,18100000.0,5100000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2009.0,Q4,2009-10-01,2009-12-31,,,47500000.0,377900000.0,127500000.0,-3600000.0,5800000.0,-15200000.0,-103600000.0,8900000.0,,-376800000.0,-123500000.0,507600000.0,-376800000.0,-123500000.0,507600000.0,18200000.0,268500000.0,259500000.0,9000000.0,307800000.0,10700000.0,-5700000.0,26100000.0,-91600000.0,-200000.0,-124500000.0,-303800000.0,-1000000.0,,100000.0,1000000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 14:17:21+00:00,,47500000.0,377900000.0,127500000.0,127800000.0,5800000.0,5600000.0,-492000000.0,957800000.0,,-361200000.0,-218300000.0,754700000.0,-361200000.0,-218300000.0,754700000.0,206900000.0,628200000.0,619200000.0,9000000.0,452200000.0,12400000.0,,26100000.0,-364700000.0,-900000.0,-296300000.0,-958100000.0,-8600000.0,,61900000.0,11200000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2009.0,Q3YTD,2009-01-01,2009-09-30,2009-10-29 07:04:33+00:00,,,,,131400000.0,,20800000.0,-388400000.0,948900000.0,,15600000.0,-94800000.0,247100000.0,15600000.0,-94800000.0,247100000.0,188700000.0,359700000.0,359700000.0,,144400000.0,1700000.0,5700000.0,,-273100000.0,-700000.0,-171800000.0,-654300000.0,-7600000.0,,61800000.0,10200000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2009.0,Q3TTM,2008-10-01,2009-09-30,,,-45300000.0,388700000.0,99600000.0,-153500000.0,,-51300000.0,286600000.0,974400000.0,,-80200000.0,-234600000.0,692500000.0,-80200000.0,-234600000.0,692500000.0,326400000.0,587400000.0,587400000.0,,17300000.0,5100000.0,5600000.0,,-358500000.0,-17900000.0,-314000000.0,-692900000.0,-8300000.0,,76600000.0,15100000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2009.0,Q3,2009-07-01,2009-09-30,,,,,,49200000.0,,5100000.0,-121400000.0,64200000.0,,-45200000.0,-59200000.0,171700000.0,-45200000.0,-59200000.0,171700000.0,72400000.0,157600000.0,157600000.0,,86300000.0,2600000.0,-100000.0,,-89500000.0,,-63700000.0,-21100000.0,-1400000.0,,100000.0,4500000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2009.0,Q2YTD,2009-01-01,2009-06-30,2009-07-30 07:31:10+00:00,,,,,82200000.0,,15700000.0,-267000000.0,884700000.0,,60800000.0,-35600000.0,75400000.0,60800000.0,-35600000.0,75400000.0,116300000.0,202100000.0,202100000.0,,58100000.0,-900000.0,5800000.0,,-183600000.0,-700000.0,-108100000.0,-633200000.0,-6200000.0,,61700000.0,5700000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2009.0,Q2TTM,2008-07-01,2009-06-30,,,-45300000.0,388700000.0,99600000.0,-152400000.0,,-110600000.0,158000000.0,961000000.0,,28100000.0,-307900000.0,651100000.0,28100000.0,-307900000.0,651100000.0,260700000.0,654500000.0,654500000.0,,36300000.0,62000000.0,5800000.0,,-354000000.0,-60100000.0,-352600000.0,-583500000.0,-57400000.0,,85000000.0,14000000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2009.0,Q2,2009-04-01,2009-06-30,,,,,,39400000.0,,41700000.0,62300000.0,1700000.0,,-527500000.0,-31700000.0,136100000.0,-527500000.0,-31700000.0,136100000.0,-381400000.0,84600000.0,84600000.0,,-50200000.0,-1000000.0,5800000.0,,-94100000.0,-600000.0,-57000000.0,-429400000.0,-4700000.0,,16000000.0,4100000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2009.0,Q1,2009-01-01,2009-03-31,2010-04-30 07:24:57+00:00,,,,,42800000.0,,-26000000.0,-329300000.0,883000000.0,,588300000.0,-3900000.0,-60700000.0,588300000.0,-3900000.0,-60700000.0,497700000.0,117500000.0,117500000.0,,108300000.0,100000.0,,,-89500000.0,-100000.0,-51100000.0,-203800000.0,-1500000.0,,45700000.0,1600000.0
Avon Products Inc,AVP,5493007RY69UEB1F1B45,8868,2010.0,Q4,2010-10-01,2010-12-31,,9400000.0,49600000.0,387300000.0,133400000.0,6100000.0,,15400000.0,-75000000.0,126900000.0,,-4200000.0,-97800000.0,351000000.0,-4200000.0,-97800000.0,351000000.0,338400000.0,229300000.0,215200000.0,14100000.0,155100000.0,6700000.0,,74000000.0,-96600000.0,-300000.0,-114300000.0,-38500000.0,-2700000.0,,7200000.0,200000.0
