company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Southern Company Gas,GAS,549300ZW53G2TUFW5T39,1004155,2007.0,FY,2007-01-01,2007-12-31,2010-02-04 08:39:25+00:00,,,118000000.0,127000000.0,144000000.0,,-8000000.0,16000000.0,177000000.0,-122000000.0,-253000000.0,377000000.0,,,-122000000.0,-253000000.0,377000000.0,2000000.0,241000000.0,241000000.0,,,,6000000.0,,-146000000.0,,-259000000.0,-89000000.0,-80000000.0,,,
Southern Company Gas,GAS,549300ZW53G2TUFW5T39,1004155,2008.0,Q4,2008-10-01,2008-12-31,,,,,27000000.0,40000000.0,,-67000000.0,1000000.0,98000000.0,68000000.0,-118000000.0,55000000.0,,,68000000.0,-118000000.0,55000000.0,5000000.0,82000000.0,82000000.0,,,,,,-31000000.0,,-118000000.0,,,,,
Southern Company Gas,GAS,549300ZW53G2TUFW5T39,1004155,2008.0,FY,2008-01-01,2008-12-31,2010-02-04 08:39:25+00:00,,,27000000.0,115000000.0,152000000.0,,-162000000.0,9000000.0,448000000.0,142000000.0,-372000000.0,227000000.0,,,142000000.0,-372000000.0,227000000.0,-3000000.0,237000000.0,237000000.0,,,,0.0,,-154000000.0,,-372000000.0,-161000000.0,0.0,,,
Southern Company Gas,GAS,549300ZW53G2TUFW5T39,1004155,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-29 08:03:31+00:00,,,27000000.0,88000000.0,112000000.0,,-95000000.0,8000000.0,350000000.0,74000000.0,-254000000.0,172000000.0,,,74000000.0,-254000000.0,172000000.0,-8000000.0,155000000.0,155000000.0,,,,,,-123000000.0,,-254000000.0,-161000000.0,,,,
Southern Company Gas,GAS,549300ZW53G2TUFW5T39,1004155,2009.0,Q4,2009-10-01,2009-12-31,,,,,19000000.0,40000000.0,,-215000000.0,-5000000.0,-3000000.0,261000000.0,-162000000.0,-94000000.0,,,261000000.0,-162000000.0,-94000000.0,5000000.0,81000000.0,81000000.0,,,8000000.0,,,-31000000.0,,-162000000.0,292000000.0,,,,
Southern Company Gas,GAS,549300ZW53G2TUFW5T39,1004155,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 08:05:06+00:00,0.0,,50000000.0,93000000.0,158000000.0,,185000000.0,,297000000.0,-106000000.0,-476000000.0,592000000.0,,,-106000000.0,-476000000.0,592000000.0,10000000.0,249000000.0,249000000.0,,,8000000.0,0.0,,-147000000.0,,-476000000.0,-264000000.0,0.0,,,0.0
Southern Company Gas,GAS,549300ZW53G2TUFW5T39,1004155,2009.0,Q3TTM,2008-10-01,2009-09-30,,,,50000000.0,101000000.0,158000000.0,,333000000.0,6000000.0,398000000.0,-299000000.0,-432000000.0,741000000.0,,,-299000000.0,-432000000.0,741000000.0,10000000.0,250000000.0,250000000.0,,,,,,-147000000.0,,-432000000.0,-556000000.0,,,,
Southern Company Gas,GAS,549300ZW53G2TUFW5T39,1004155,2009.0,Q3,2009-07-01,2009-09-30,,,,15000000.0,27000000.0,40000000.0,,-97000000.0,-3000000.0,300000000.0,161000000.0,-107000000.0,-45000000.0,,,161000000.0,-107000000.0,-45000000.0,9000000.0,12000000.0,12000000.0,,,,,,-28000000.0,,-107000000.0,-108000000.0,,,,
Southern Company Gas,GAS,549300ZW53G2TUFW5T39,1004155,2009.0,Q3YTD,2009-01-01,2009-09-30,2009-10-29 08:03:31+00:00,,,50000000.0,74000000.0,118000000.0,,400000000.0,5000000.0,300000000.0,-367000000.0,-314000000.0,686000000.0,,,-367000000.0,-314000000.0,686000000.0,5000000.0,168000000.0,168000000.0,,,,,,-116000000.0,,-314000000.0,-556000000.0,,,,
Southern Company Gas,GAS,549300ZW53G2TUFW5T39,1004155,2009.0,Q2,2009-04-01,2009-06-30,,,,19000000.0,18000000.0,39000000.0,,60000000.0,7000000.0,,-19000000.0,-110000000.0,120000000.0,,,-19000000.0,-110000000.0,120000000.0,-9000000.0,21000000.0,21000000.0,,,,,,-41000000.0,,-110000000.0,15000000.0,,,,
Southern Company Gas,GAS,549300ZW53G2TUFW5T39,1004155,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-07-29 08:24:35+00:00,,,35000000.0,47000000.0,78000000.0,,497000000.0,8000000.0,,-528000000.0,-207000000.0,731000000.0,,,-528000000.0,-207000000.0,731000000.0,-4000000.0,156000000.0,156000000.0,,,,,,-88000000.0,,-207000000.0,-448000000.0,0.0,,,
Southern Company Gas,GAS,549300ZW53G2TUFW5T39,1004155,2009.0,Q1,2009-01-01,2009-03-31,2010-04-27 08:28:02+00:00,,,16000000.0,29000000.0,39000000.0,,437000000.0,1000000.0,,-509000000.0,-97000000.0,611000000.0,,,-509000000.0,-97000000.0,611000000.0,5000000.0,135000000.0,135000000.0,,,,,,-47000000.0,,-97000000.0,-463000000.0,,,,
Southern Company Gas,GAS,549300ZW53G2TUFW5T39,1004155,2010.0,Q4,2010-10-01,2010-12-31,,,,4000000.0,20000000.0,41000000.0,,-135000000.0,-3000000.0,218000000.0,179000000.0,-145000000.0,-24000000.0,,,179000000.0,-145000000.0,-24000000.0,10000000.0,70000000.0,70000000.0,,,,-5000000.0,,-37000000.0,,-140000000.0,-4000000.0,5000000.0,,,
Southern Company Gas,GAS,549300ZW53G2TUFW5T39,1004155,2010.0,FY,2010-01-01,2010-12-31,2013-02-06 08:09:23+00:00,0.0,,58000000.0,107000000.0,160000000.0,,116000000.0,8000000.0,291000000.0,-86000000.0,-442000000.0,526000000.0,,,-86000000.0,-442000000.0,526000000.0,-2000000.0,250000000.0,250000000.0,,,,-5000000.0,,-221000000.0,,-510000000.0,-164000000.0,,,,73000000.0
