company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2008.0,FY,2007-07-01,2008-06-30,2010-08-26 10:03:06+00:00,5.64,5.64,0.84,5.53,,377058000.0,957513000.0,957513000.0,949466000.0,8047000.0,9339072000.0,12145605000.0,-12280000.0,-3396000.0,1364082000.0,9339072000.0,2806533000.0,98996000.0,1360686000.0,1445847000.0,-111276000.0,1334571000.0,12145605000.0,168285487.0,168285487.0,168285487.0
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2009.0,Q4,2009-04-01,2009-06-30,,0.31,0.31,0.25,0.31,,14801000.0,48393000.0,48393000.0,49516000.0,-1123000.0,1814069000.0,2210958000.0,-6235000.0,-336000.0,302521000.0,1814069000.0,396889000.0,25275000.0,302185000.0,94704000.0,-31510000.0,63194000.0,2210958000.0,161564111.0,161564111.0,161564111.0
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2009.0,FY,2008-07-01,2009-06-30,2011-08-26 09:17:15+00:00,3.15,3.15,1.0,3.13,,172939000.0,510144000.0,510144000.0,508515000.0,1629000.0,8181348000.0,10309015000.0,-42470000.0,-336000.0,1290379000.0,8181348000.0,2127667000.0,112071000.0,1290043000.0,837624000.0,-154541000.0,683083000.0,10309015000.0,161564111.0,161564111.0,161564111.0
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2009.0,Q3YTD,2008-07-01,2009-03-31,,2.84,2.84,0.75,2.84,,158138000.0,461751000.0,461751000.0,458999000.0,2752000.0,6367279000.0,8098057000.0,-36235000.0,,987858000.0,6367279000.0,1730778000.0,86796000.0,987858000.0,742920000.0,-123031000.0,619889000.0,8098057000.0,161900000.0,161900000.0,161900000.0
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2009.0,Q3,2009-01-01,2009-03-31,2010-05-05 09:33:50+00:00,0.33,0.33,0.25,0.33,,9113000.0,53155000.0,53155000.0,53422000.0,-267000.0,1908607000.0,2344713000.0,-27453000.0,,317992000.0,1908607000.0,436106000.0,28393000.0,317992000.0,118114000.0,-55846000.0,62268000.0,2344713000.0,161900000.0,161900000.0,161900000.0
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2009.0,Q2YTD,2008-07-01,2008-12-31,,2.53,2.53,0.51,2.53,,149025000.0,408596000.0,408596000.0,405577000.0,3019000.0,4458672000.0,5753344000.0,-8782000.0,,669866000.0,4458672000.0,1294672000.0,58403000.0,669866000.0,624806000.0,-67185000.0,557621000.0,5753344000.0,160200000.0,160200000.0,161900000.0
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2009.0,Q2,2008-10-01,2008-12-31,2010-02-04 10:12:10+00:00,0.97,0.97,0.25,0.96,,42472000.0,156761000.0,156761000.0,155401000.0,1360000.0,2121450000.0,2688656000.0,-483000.0,,337183000.0,2121450000.0,567206000.0,30307000.0,337183000.0,230023000.0,-30790000.0,199233000.0,2688656000.0,160200000.0,160200000.0,161900000.0
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2009.0,Q1,2008-07-01,2008-09-30,2009-11-03 11:39:57+00:00,1.52,1.52,0.25,1.5,,106553000.0,251835000.0,251835000.0,250176000.0,1659000.0,2337222000.0,3064688000.0,-8299000.0,,332683000.0,2337222000.0,727466000.0,28096000.0,332683000.0,394783000.0,-36395000.0,358388000.0,3064688000.0,164600000.0,164600000.0,166800000.0
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2010.0,Q4,2010-04-01,2010-06-30,,1.37,1.37,0.26,1.37,,69108000.0,223052000.0,223052000.0,222163000.0,889000.0,2114190000.0,2786470000.0,6396000.0,10292000.0,349328000.0,2114190000.0,672280000.0,26896000.0,359620000.0,312660000.0,-20500000.0,292160000.0,2786470000.0,160909655.0,160909655.0,160909655.0
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2010.0,FY,2009-07-01,2010-06-30,2012-08-24 09:36:46+00:00,3.44,3.44,1.01,3.4,,198452000.0,556365000.0,556365000.0,554065000.0,2300000.0,7847067000.0,9993166000.0,-311000.0,10292000.0,1277080000.0,7847067000.0,2146099000.0,103599000.0,1287372000.0,858727000.0,-103910000.0,754817000.0,9993166000.0,160909655.0,160909655.0,160909655.0
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2010.0,Q3YTD,2009-07-01,2010-03-31,,2.06,2.06,0.75,2.06,,129344000.0,333313000.0,333313000.0,331902000.0,1411000.0,5732877000.0,7206696000.0,-6707000.0,,927752000.0,5732877000.0,1473819000.0,76703000.0,927752000.0,546067000.0,-83410000.0,462657000.0,7206696000.0,160931123.0,160931123.0,160931123.0
