company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,grossppe,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,notereceivable,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2009.0,FY,,2009-06-30,2010-08-26 10:03:06+00:00,649718000.0,,404686000.0,2824506000.0,-843019000.0,187611000.0,678724000.0,121980000.0,113107000.0,356776000.0,2903077000.0,4705060000.0,1273862000.0,1839705000.0,674628000.0,1254550000.0,1880554000.0,82241000.0,,183457000.0,1233271000.0,1417305000.0,,243275000.0,142335000.0,5722038000.0,481467000.0,,9855902000.0,4268199000.0,3123781000.0,2005754000.0,4268199000.0,4350440000.0,5505462000.0,9855902000.0,4851567000.0,3499708000.0,0.0,-1289544000.0
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2010.0,FY,,2010-06-30,2011-08-26 09:17:15+00:00,888743000.0,,405134000.0,2856116000.0,-1208561000.0,575526000.0,727965000.0,130129000.0,176349000.0,371393000.0,2786334000.0,4553997000.0,1150051000.0,1413634000.0,687320000.0,1171655000.0,1697881000.0,91435000.0,,135321000.0,1500928000.0,1599941000.0,,196208000.0,111545000.0,6086545000.0,363272000.0,,9910382000.0,4367965000.0,3588796000.0,2204891000.0,4367965000.0,4459400000.0,5450982000.0,9910382000.0,4623705000.0,3246091000.0,0.0,-1237984000.0
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2010.0,Q3,,2010-03-31,2010-05-05 09:33:50+00:00,785244000.0,,414367000.0,2915726000.0,-780185000.0,380561000.0,724399000.0,123906000.0,171092000.0,334588000.0,2882709000.0,4698152000.0,1207440000.0,1535905000.0,,1196558000.0,1782426000.0,85915000.0,,177512000.0,1151046000.0,1563150000.0,631345000.0,226266000.0,90153000.0,5917136000.0,366684000.0,,9858248000.0,4609629000.0,3354328000.0,2071975000.0,4609629000.0,4695544000.0,5162704000.0,9858248000.0,4721494000.0,3090729000.0,0.0,-1251721000.0
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2010.0,Q2,,2009-12-31,2010-02-04 10:12:10+00:00,692721000.0,,418615000.0,2942393000.0,-705524000.0,233899000.0,715429000.0,124182000.0,153152000.0,261835000.0,2948304000.0,4785143000.0,1254982000.0,1554088000.0,,1232979000.0,1842750000.0,85759000.0,,186493000.0,1258258000.0,1368449000.0,689655000.0,241526000.0,98989000.0,5808915000.0,389715000.0,,9794189000.0,4552027000.0,3058498000.0,1916038000.0,4552027000.0,4637786000.0,5156403000.0,9794189000.0,4892941000.0,3240365000.0,0.0,-1266793000.0
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2010.0,Q1,,2009-09-30,2009-11-03 11:39:57+00:00,659764000.0,,439318000.0,2918767000.0,-696200000.0,189849000.0,704770000.0,124640000.0,152262000.0,279910000.0,2964321000.0,4810205000.0,1276049000.0,1855531000.0,,1266319000.0,1891438000.0,87629000.0,,187907000.0,1255515000.0,1452494000.0,671874000.0,233270000.0,100189000.0,5747734000.0,304083000.0,,9937173000.0,4481984000.0,3133491000.0,1835337000.0,4481984000.0,4569613000.0,5367560000.0,9937173000.0,4912244000.0,3532223000.0,0.0,-1274320000.0
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2011.0,FY,,2011-06-30,2012-08-24 09:36:46+00:00,1173851000.0,,442104000.0,3147556000.0,-450990000.0,657466000.0,758855000.0,145847000.0,232774000.0,467043000.0,3009116000.0,4944735000.0,1177722000.0,1691086000.0,597532000.0,1412153000.0,1797179000.0,104482000.0,,160035000.0,862938000.0,1977856000.0,,293367000.0,111934000.0,6891407000.0,75271000.0,,10886805000.0,5383854000.0,4305256000.0,2391043000.0,5383854000.0,5488336000.0,5398469000.0,10886805000.0,4784370000.0,3007426000.0,0.0,-1815418000.0
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2011.0,Q3,,2011-03-31,2011-05-10 09:06:48+00:00,1085126000.0,,448923000.0,3089635000.0,-737407000.0,1107955000.0,746846000.0,151840000.0,237209000.0,395929000.0,2976232000.0,4878012000.0,1191072000.0,1683731000.0,,1390862000.0,1788377000.0,101821000.0,,159777000.0,1341920000.0,1950980000.0,729852000.0,267285000.0,89692000.0,6664687000.0,173233000.0,,11376862000.0,5481908000.0,4691329000.0,2340420000.0,5481908000.0,5583729000.0,5793133000.0,11376862000.0,4897156000.0,3452713000.0,0.0,-1192218000.0
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2011.0,Q2,,2010-12-31,2011-02-08 09:43:01+00:00,960567000.0,,421649000.0,3020609000.0,-881688000.0,808736000.0,748565000.0,130426000.0,148997000.0,308362000.0,2910729000.0,4785167000.0,1178912000.0,1742464000.0,,1361457000.0,1764558000.0,101332000.0,,150069000.0,1328893000.0,1636905000.0,720705000.0,241957000.0,106416000.0,6449601000.0,101293000.0,,10618844000.0,5113261000.0,4043940000.0,1940868000.0,5113261000.0,5214593000.0,5404251000.0,10618844000.0,4810346000.0,3463383000.0,0.0,-1203217000.0
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2011.0,Q1,,2010-09-30,2010-11-08 09:26:41+00:00,953259000.0,,431625000.0,2994965000.0,-910884000.0,923836000.0,754788000.0,130094000.0,195455000.0,310462000.0,2915602000.0,4765948000.0,1180021000.0,1745812000.0,,1295137000.0,1770983000.0,97632000.0,,149701000.0,1327195000.0,1694313000.0,695519000.0,212332000.0,104216000.0,6284148000.0,391303000.0,,10709721000.0,4894945000.0,4147596000.0,2282104000.0,4894945000.0,4992577000.0,5717144000.0,10709721000.0,4791142000.0,3435040000.0,0.0,-1233107000.0
Parker-Hannifin Corp,PH,5493002CONDB4N2HKI23,76334,2012.0,FY,,2012-06-30,2013-08-29 11:03:04+00:00,1194684000.0,,448042000.0,3129261000.0,-1415900000.0,838317000.0,730772000.0,129352000.0,153809000.0,463889000.0,2925856000.0,4849229000.0,1095218000.0,1503946000.0,931126000.0,1400732000.0,1719968000.0,9215000.0,,88091000.0,1909755000.0,1992284000.0,,276747000.0,137429000.0,7787175000.0,225589000.0,,11170282000.0,4896515000.0,4498114000.0,2486013000.0,4896515000.0,4905730000.0,6264552000.0,11170282000.0,4952200000.0,3778539000.0,0.0,-2205532000.0
