company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,investmentbankingincome,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,netoccupancyequipmentexpense,netrealizedcapitalgains,nonoperatingincome,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,othergains,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,otherspecialcharges,restructuringcharge,salariesandemployeebenefitsexpense,servicechargesondepositsincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
CME Group Inc,CME,LCZ7XYGSLJUHFXXNXD88,1156375,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 17:26:57+00:00,33900000.0,15.05,15.05,3.44,105700000.0,14.93,437300000.0,,658500000.0,658500000.0,658500000.0,,98700000.0,,43900000.0,,,,1427300000.0,193700000.0,183700000.0,,8900000.0,263300000.0,145100000.0,704200000.0,1756100000.0,1095800000.0,1756100000.0,43800000.0,43754000.0,44107000.0
CME Group Inc,CME,LCZ7XYGSLJUHFXXNXD88,1156375,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 17:30:03+00:00,98700000.0,12.18,12.18,9.6,137300000.0,12.13,532500000.0,,715500000.0,715500000.0,715500000.0,,131000000.0,,-334200000.0,,,,2115400000.0,289400000.0,166100000.0,,4800000.0,317600000.0,279500000.0,978800000.0,2561000000.0,1248000000.0,2561000000.0,58700000.0,58738000.0,58967000.0
CME Group Inc,CME,LCZ7XYGSLJUHFXXNXD88,1156375,2008.0,Q3,2008-07-01,2008-09-30,2009-11-06 16:56:04+00:00,29100000.0,2.82,2.82,,34100000.0,2.81,227300000.0,18000000.0,168700000.0,168700000.0,168700000.0,,30800000.0,15400000.0,,,,,538400000.0,99500000.0,46500000.0,19900000.0,100000.0,84500000.0,75700000.0,298000000.0,694000000.0,396000000.0,694000000.0,59800000.0,59870000.0,60086000.0
CME Group Inc,CME,LCZ7XYGSLJUHFXXNXD88,1156375,2009.0,Q4,2009-10-01,2009-12-31,,30600000.0,3.05,3.05,1.15,32900000.0,3.05,153700000.0,,202600000.0,202600000.0,202600000.0,,31200000.0,,-68600000.0,,,,330100000.0,86500000.0,28700000.0,,-5200000.0,89000000.0,331100000.0,265000000.0,689900000.0,356300000.0,689900000.0,66400000.0,66366000.0,66548000.0
CME Group Inc,CME,LCZ7XYGSLJUHFXXNXD88,1156375,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 19:36:03+00:00,125100000.0,12.44,12.44,4.6,126300000.0,12.41,611700000.0,,825800000.0,825800000.0,825800000.0,0.0,122500000.0,,-151600000.0,,,,2161900000.0,298800000.0,119800000.0,,,351000000.0,331100000.0,1023700000.0,2612800000.0,1437500000.0,2612800000.0,66400000.0,66366000.0,66548000.0
CME Group Inc,CME,LCZ7XYGSLJUHFXXNXD88,1156375,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 16:24:44+00:00,30700000.0,3.05,3.05,,32300000.0,3.04,153500000.0,,202300000.0,202300000.0,202300000.0,,30400000.0,,-23200000.0,,,,599600000.0,67700000.0,28400000.0,,600000.0,87300000.0,,249000000.0,628000000.0,355800000.0,628000000.0,66300000.0,66384000.0,66573000.0
CME Group Inc,CME,LCZ7XYGSLJUHFXXNXD88,1156375,2009.0,Q3YTD,2009-01-01,2009-09-30,,94500000.0,9.39,9.39,3.45,93400000.0,9.39,458000000.0,,623200000.0,623200000.0,623200000.0,,91300000.0,,-83000000.0,,,,1831800000.0,212300000.0,91100000.0,,5200000.0,262000000.0,,758700000.0,1922900000.0,1081200000.0,1922900000.0,66300000.0,66384000.0,66573000.0
CME Group Inc,CME,LCZ7XYGSLJUHFXXNXD88,1156375,2009.0,Q2YTD,2009-01-01,2009-06-30,,63800000.0,6.34,6.34,1.15,61100000.0,6.33,304500000.0,,420900000.0,420900000.0,420900000.0,,60900000.0,,-59800000.0,,,,1232200000.0,144600000.0,62700000.0,,4600000.0,174700000.0,,509700000.0,1294900000.0,725400000.0,1294900000.0,66400000.0,66329000.0,66526000.0
CME Group Inc,CME,LCZ7XYGSLJUHFXXNXD88,1156375,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 14:21:45+00:00,30500000.0,3.34,3.34,,30100000.0,3.33,153100000.0,,221800000.0,221800000.0,221800000.0,,29700000.0,,-23900000.0,,,,618900000.0,69300000.0,28900000.0,,1400000.0,88000000.0,,249000000.0,647800000.0,374900000.0,647800000.0,66400000.0,66329000.0,66526000.0
CME Group Inc,CME,LCZ7XYGSLJUHFXXNXD88,1156375,2009.0,Q1,2009-01-01,2009-03-31,2010-05-07 16:24:42+00:00,33300000.0,3.0,3.0,1.15,31000000.0,3.0,151400000.0,,199100000.0,199100000.0,199100000.0,0.0,31200000.0,,-35900000.0,,,,613300000.0,75300000.0,33800000.0,,3200000.0,86700000.0,,260700000.0,647100000.0,350500000.0,647100000.0,66400000.0,66302000.0,66439000.0
