company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
CME Group Inc,CME,LCZ7XYGSLJUHFXXNXD88,1156375,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 17:26:57+00:00,36000000.0,413700000.0,2000000.0,105700000.0,116000000.0,27500000.0,,162900000.0,-859900000.0,-78700000.0,814400000.0,-859900000.0,-78700000.0,814400000.0,-124200000.0,658500000.0,658500000.0,-13600000.0,78100000.0,-39800000.0,-151600000.0,300000.0,-195000000.0,-163700000.0,0.0,-949300000.0,203800000.0,
CME Group Inc,CME,LCZ7XYGSLJUHFXXNXD88,1156375,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 17:30:03+00:00,108400000.0,665400000.0,21100000.0,137300000.0,,-42900000.0,,4212200000.0,2004500000.0,-3749100000.0,1197200000.0,2004500000.0,-3749100000.0,1197200000.0,-547400000.0,715500000.0,715500000.0,278900000.0,-85600000.0,-612000000.0,-615200000.0,,-3337900000.0,-200100000.0,-1282900000.0,-224000000.0,400900000.0,
CME Group Inc,CME,LCZ7XYGSLJUHFXXNXD88,1156375,2008.0,Q4,2008-10-01,2008-12-31,,41500000.0,205800000.0,14200000.0,34400000.0,,-9700000.0,,293300000.0,-315300000.0,-303700000.0,334500000.0,-315300000.0,-303700000.0,334500000.0,-284500000.0,62100000.0,62100000.0,206800000.0,13700000.0,,-412500000.0,-600000.0,-235500000.0,-80700000.0,,-209800000.0,12500000.0,
CME Group Inc,CME,LCZ7XYGSLJUHFXXNXD88,1156375,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-06 16:56:04+00:00,66900000.0,459600000.0,6900000.0,102900000.0,,-33200000.0,,3918900000.0,2319800000.0,-3445400000.0,862700000.0,2319800000.0,-3445400000.0,862700000.0,-262900000.0,653400000.0,653400000.0,72100000.0,-99300000.0,-612000000.0,-202700000.0,600000.0,-3102400000.0,-119400000.0,-1282900000.0,-14200000.0,388400000.0,
CME Group Inc,CME,LCZ7XYGSLJUHFXXNXD88,1156375,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 19:36:03+00:00,137800000.0,629700000.0,90800000.0,126300000.0,,-36100000.0,0.0,743500000.0,-1665200000.0,544800000.0,1083100000.0,-1665200000.0,544800000.0,1083100000.0,-37300000.0,825800000.0,825800000.0,29300000.0,-432500000.0,,-305600000.0,0.0,-163000000.0,-157900000.0,-1643600000.0,-27000000.0,865700000.0,
CME Group Inc,CME,LCZ7XYGSLJUHFXXNXD88,1156375,2009.0,Q4,2009-10-01,2009-12-31,,31700000.0,160100000.0,2600000.0,32900000.0,,69900000.0,,,-294200000.0,5400000.0,345300000.0,-294200000.0,5400000.0,345300000.0,56500000.0,202600000.0,202600000.0,8200000.0,7200000.0,,-76600000.0,,-300000.0,-45000000.0,-224800000.0,,50700000.0,
CME Group Inc,CME,LCZ7XYGSLJUHFXXNXD88,1156375,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-05 16:24:44+00:00,106100000.0,469600000.0,88200000.0,93400000.0,,-106000000.0,,743500000.0,-1371000000.0,539400000.0,737800000.0,-1371000000.0,539400000.0,737800000.0,-93800000.0,623200000.0,623200000.0,21100000.0,-439700000.0,,-229000000.0,,-162700000.0,-112900000.0,-1418800000.0,-27000000.0,815000000.0,
CME Group Inc,CME,LCZ7XYGSLJUHFXXNXD88,1156375,2009.0,Q3TTM,2008-10-01,2009-09-30,,147600000.0,675400000.0,102400000.0,127800000.0,,-115700000.0,,1036800000.0,-1686300000.0,235700000.0,1072300000.0,-1686300000.0,235700000.0,1072300000.0,-378300000.0,685300000.0,685300000.0,227900000.0,-426000000.0,,-641500000.0,-600000.0,-398200000.0,-193600000.0,-1418800000.0,-236800000.0,827500000.0,
CME Group Inc,CME,LCZ7XYGSLJUHFXXNXD88,1156375,2009.0,Q3,2009-07-01,2009-09-30,,31900000.0,140000000.0,47200000.0,32300000.0,,17200000.0,,-300000.0,-525500000.0,-18500000.0,299400000.0,-525500000.0,-18500000.0,299400000.0,-244600000.0,202300000.0,202300000.0,15700000.0,1100000.0,,-76400000.0,,-5000000.0,-33900000.0,-449900000.0,,20400000.0,
CME Group Inc,CME,LCZ7XYGSLJUHFXXNXD88,1156375,2009.0,Q2,2009-04-01,2009-06-30,,32100000.0,281500000.0,5000000.0,30100000.0,,-107400000.0,,-900000.0,-331100000.0,256900000.0,183700000.0,-331100000.0,256900000.0,183700000.0,109500000.0,221800000.0,221800000.0,7100000.0,-143800000.0,,-76300000.0,,-50900000.0,-43700000.0,-110100000.0,,351500000.0,
