company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
C R Bard Inc,BCR,549300XS4HD3R8MDYK78,9892,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 09:07:38+00:00,-83600000.0,121100000.0,11800000.0,79800000.0,,18700000.0,-3500000.0,,,-386700000.0,-112500000.0,547400000.0,-386700000.0,-112500000.0,547400000.0,72200000.0,408500000.0,408500000.0,62600000.0,96200000.0,3200000.0,5300000.0,-60100000.0,,-50700000.0,0.0,-422800000.0,18600000.0
C R Bard Inc,BCR,549300XS4HD3R8MDYK78,9892,2008.0,Q4,2008-10-01,2008-12-31,,-24600000.0,30200000.0,5500000.0,22700000.0,,-32300000.0,-57300000.0,,,-8900000.0,-39800000.0,137500000.0,-8900000.0,-39800000.0,137500000.0,56500000.0,150300000.0,150300000.0,21800000.0,7100000.0,,,-16000000.0,,-15200000.0,,,
C R Bard Inc,BCR,549300XS4HD3R8MDYK78,9892,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 10:09:07+00:00,-185200000.0,146000000.0,12100000.0,90900000.0,,-44600000.0,-151400000.0,,,-216000000.0,-151900000.0,516200000.0,-216000000.0,-151900000.0,516200000.0,103700000.0,419300000.0,419300000.0,157400000.0,74000000.0,1800000.0,,-62200000.0,,-50600000.0,-800000.0,-227000000.0,82100000.0
C R Bard Inc,BCR,549300XS4HD3R8MDYK78,9892,2008.0,Q3,2008-07-01,2008-09-30,,-6200000.0,30000000.0,600000.0,23200000.0,,-15500000.0,16500000.0,,,-41100000.0,-9200000.0,173800000.0,-41100000.0,-9200000.0,173800000.0,108000000.0,112100000.0,112100000.0,22000000.0,21200000.0,1800000.0,,-16100000.0,,-11400000.0,,-46200000.0,6600000.0
C R Bard Inc,BCR,549300XS4HD3R8MDYK78,9892,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-26 17:29:08+00:00,-160600000.0,115800000.0,6600000.0,68200000.0,,-12300000.0,-94100000.0,,,-207100000.0,-112100000.0,378700000.0,-207100000.0,-112100000.0,378700000.0,47200000.0,269000000.0,269000000.0,135600000.0,66900000.0,1800000.0,,-46200000.0,,-35400000.0,-800000.0,-227000000.0,82100000.0
C R Bard Inc,BCR,549300XS4HD3R8MDYK78,9892,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-07-27 17:15:24+00:00,-154400000.0,85800000.0,6000000.0,45000000.0,,3200000.0,-110600000.0,,,-166000000.0,-102900000.0,204900000.0,-166000000.0,-102900000.0,204900000.0,-60800000.0,156900000.0,156900000.0,113600000.0,45700000.0,,,-30100000.0,,-24000000.0,-800000.0,-180800000.0,75500000.0
C R Bard Inc,BCR,549300XS4HD3R8MDYK78,9892,2009.0,Q4,2009-10-01,2009-12-31,,-65600000.0,50200000.0,5400000.0,24400000.0,,7400000.0,15500000.0,,,-73500000.0,-76200000.0,184600000.0,-73500000.0,-76200000.0,184600000.0,42300000.0,105800000.0,105800000.0,38900000.0,13300000.0,,,-16500000.0,,-10600000.0,,-70300000.0,
C R Bard Inc,BCR,549300XS4HD3R8MDYK78,9892,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 15:54:07+00:00,-141100000.0,200400000.0,11800000.0,93500000.0,,30600000.0,-37100000.0,,,-378400000.0,-189200000.0,619300000.0,-378400000.0,-189200000.0,619300000.0,82300000.0,461400000.0,461400000.0,101500000.0,29200000.0,,,-65400000.0,,-48100000.0,,-342200000.0,
C R Bard Inc,BCR,549300XS4HD3R8MDYK78,9892,2009.0,Q3TTM,2008-10-01,2009-09-30,,-100100000.0,180400000.0,11900000.0,91800000.0,,-9100000.0,-109900000.0,,,-313800000.0,-152800000.0,572200000.0,-313800000.0,-152800000.0,572200000.0,96500000.0,505900000.0,505900000.0,84400000.0,23000000.0,,,-64900000.0,,-52700000.0,,-271900000.0,
C R Bard Inc,BCR,549300XS4HD3R8MDYK78,9892,2009.0,Q3,2009-07-01,2009-09-30,,-28700000.0,49200000.0,400000.0,23500000.0,,6500000.0,2500000.0,,,-109300000.0,-40200000.0,167200000.0,-109300000.0,-40200000.0,167200000.0,24200000.0,130000000.0,130000000.0,11200000.0,7700000.0,,,-16800000.0,,-11500000.0,,-100200000.0,
