company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,rdexpense,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
C R Bard Inc,BCR,549300XS4HD3R8MDYK78,9892,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 09:07:38+00:00,3.91,3.91,0.59,3.82,170900000.0,408500000.0,408500000.0,406400000.0,2100000.0,862400000.0,2202000000.0,32300000.0,135800000.0,644800000.0,862400000.0,1339600000.0,11900000.0,780600000.0,559000000.0,20400000.0,579400000.0,2202000000.0,103900000.0,103900000.0,106400000.0
C R Bard Inc,BCR,549300XS4HD3R8MDYK78,9892,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 10:09:07+00:00,4.13,4.13,0.63,4.05,133400000.0,419300000.0,419300000.0,416500000.0,2800000.0,949300000.0,2452100000.0,-29400000.0,199100000.0,709500000.0,949300000.0,1502800000.0,12100000.0,908600000.0,594200000.0,-41500000.0,552700000.0,2452100000.0,99500000.0,99500000.0,99500000.0
C R Bard Inc,BCR,549300XS4HD3R8MDYK78,9892,2008.0,Q3,2008-07-01,2008-09-30,2009-10-26 17:29:08+00:00,1.1,1.1,,1.08,49200000.0,112100000.0,112100000.0,111200000.0,900000.0,238600000.0,616800000.0,1900000.0,35100000.0,180600000.0,238600000.0,378200000.0,3100000.0,215700000.0,162500000.0,-1200000.0,161300000.0,616800000.0,101100000.0,101100000.0,103000000.0
C R Bard Inc,BCR,549300XS4HD3R8MDYK78,9892,2008.0,Q2,2008-04-01,2008-06-30,2009-07-27 17:15:24+00:00,0.77,0.77,,0.76,41000000.0,78600000.0,78600000.0,77900000.0,700000.0,242900000.0,617100000.0,-32600000.0,38200000.0,180800000.0,242900000.0,374200000.0,3000000.0,219000000.0,155200000.0,-35600000.0,119600000.0,617100000.0,101200000.0,101200000.0,102500000.0
C R Bard Inc,BCR,549300XS4HD3R8MDYK78,9892,2009.0,Q4,2009-10-01,2009-12-31,,1.09,1.09,0.67,1.08,57600000.0,105800000.0,105800000.0,105900000.0,-100000.0,255200000.0,676900000.0,-13000000.0,58500000.0,184000000.0,255200000.0,421700000.0,2800000.0,242500000.0,179200000.0,-15800000.0,163400000.0,676900000.0,97700000.0,97700000.0,97700000.0
C R Bard Inc,BCR,549300XS4HD3R8MDYK78,9892,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 15:54:07+00:00,4.66,4.66,0.67,4.6,210100000.0,461400000.0,461400000.0,460100000.0,1300000.0,959000000.0,2534900000.0,-30500000.0,179600000.0,682500000.0,959000000.0,1575900000.0,11800000.0,862100000.0,713800000.0,-42300000.0,671500000.0,2534900000.0,97700000.0,97700000.0,97700000.0
C R Bard Inc,BCR,549300XS4HD3R8MDYK78,9892,2009.0,Q3YTD,2009-01-01,2009-09-30,,3.57,3.57,,3.52,152500000.0,355600000.0,355600000.0,354200000.0,1400000.0,703800000.0,1858000000.0,-17500000.0,121100000.0,498500000.0,703800000.0,1154200000.0,9000000.0,619600000.0,534600000.0,-26500000.0,508100000.0,1858000000.0,97000000.0,97000000.0,97000000.0
C R Bard Inc,BCR,549300XS4HD3R8MDYK78,9892,2009.0,Q3,2009-07-01,2009-09-30,2010-10-25 17:24:35+00:00,1.32,1.32,,1.31,55200000.0,130000000.0,130000000.0,129500000.0,500000.0,240900000.0,637000000.0,-600000.0,43000000.0,164300000.0,240900000.0,396100000.0,3000000.0,207300000.0,188800000.0,-3600000.0,185200000.0,637000000.0,97000000.0,97000000.0,97000000.0
C R Bard Inc,BCR,549300XS4HD3R8MDYK78,9892,2009.0,Q2YTD,2009-01-01,2009-06-30,,2.25,2.25,,2.21,97300000.0,225600000.0,225600000.0,224700000.0,900000.0,462900000.0,1221000000.0,-16900000.0,78100000.0,334200000.0,462900000.0,758100000.0,6000000.0,412300000.0,345800000.0,-22900000.0,322900000.0,1221000000.0,98500000.0,98500000.0,98500000.0
C R Bard Inc,BCR,549300XS4HD3R8MDYK78,9892,2009.0,Q2,2009-04-01,2009-06-30,2010-08-02 10:12:20+00:00,1.13,1.13,,1.11,51400000.0,112400000.0,112400000.0,112200000.0,200000.0,238600000.0,624600000.0,-7600000.0,41700000.0,169900000.0,238600000.0,386000000.0,3000000.0,211600000.0,174400000.0,-10600000.0,163800000.0,624600000.0,98500000.0,98500000.0,98500000.0
