company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities
PACTIV LLC,PTV,,1089976,2009.0,FY,,2009-12-31,2010-11-08 18:32:52+00:00,144000000.0,328000000.0,73000000.0,-1726000000.0,46000000.0,730000000.0,53000000.0,24000000.0,97000000.0,1135000000.0,372000000.0,1270000000.0,390000000.0,1172000000.0,16000000.0,61000000.0,694000000.0,15000000.0,54000000.0,20000000.0,63000000.0,131000000.0,1981000000.0,5000000.0,3574000000.0,985000000.0,832000000.0,417000000.0,985000000.0,1001000000.0,2573000000.0,3574000000.0,1570000000.0,2156000000.0
PACTIV LLC,PTV,,1089976,2010.0,Q3,,2010-09-30,2010-11-08 18:32:52+00:00,190000000.0,477000000.0,67000000.0,-1688000000.0,52000000.0,739000000.0,34000000.0,32000000.0,60000000.0,1236000000.0,368000000.0,1270000000.0,482000000.0,1234000000.0,15000000.0,111000000.0,598000000.0,14000000.0,51000000.0,29000000.0,62000000.0,135000000.0,2185000000.0,165000000.0,3959000000.0,1236000000.0,1059000000.0,594000000.0,1236000000.0,1251000000.0,2708000000.0,3959000000.0,1666000000.0,2114000000.0
PACTIV LLC,PTV,,1089976,2010.0,Q2,,2010-06-30,2010-08-06 20:51:30+00:00,196000000.0,512000000.0,75000000.0,-1708000000.0,43000000.0,736000000.0,19000000.0,30000000.0,60000000.0,1232000000.0,375000000.0,1270000000.0,489000000.0,1237000000.0,14000000.0,91000000.0,629000000.0,17000000.0,53000000.0,21000000.0,58000000.0,156000000.0,2104000000.0,255000000.0,3982000000.0,1132000000.0,1080000000.0,690000000.0,1132000000.0,1146000000.0,2836000000.0,3982000000.0,1665000000.0,2146000000.0
