company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
PACTIV LLC,PTV,,1089976,2009.0,Q3,2009-07-01,2009-09-30,2010-11-08 18:32:52+00:00,0.72,0.72,46000000.0,0.7,45000000.0,95000000.0,80000000.0,15000000.0,94000000.0,1000000.0,562000000.0,839000000.0,,83000000.0,562000000.0,277000000.0,23000000.0,,129000000.0,148000000.0,-23000000.0,125000000.0,839000000.0,130600000.0,131972681.0,133193283.0
PACTIV LLC,PTV,,1089976,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 20:51:30+00:00,0.6,0.6,46000000.0,0.6,49000000.0,80000000.0,81000000.0,-1000000.0,80000000.0,,601000000.0,901000000.0,,101000000.0,601000000.0,300000000.0,24000000.0,1000000.0,147000000.0,153000000.0,-23000000.0,130000000.0,901000000.0,133300000.0,131931203.0,132472333.0
PACTIV LLC,PTV,,1089976,2010.0,Q3,2010-07-01,2010-09-30,2010-11-08 18:32:52+00:00,0.6,0.6,49000000.0,0.6,13000000.0,82000000.0,80000000.0,2000000.0,81000000.0,1000000.0,696000000.0,944000000.0,1000000.0,82000000.0,696000000.0,248000000.0,25000000.0,,131000000.0,117000000.0,-24000000.0,93000000.0,944000000.0,135000000.0,132998767.0,134366631.0
PACTIV LLC,PTV,,1089976,2010.0,Q2,2010-04-01,2010-06-30,2010-08-06 20:51:30+00:00,0.57,0.57,50000000.0,0.56,41000000.0,75000000.0,75000000.0,,75000000.0,,699000000.0,973000000.0,,83000000.0,699000000.0,274000000.0,25000000.0,,133000000.0,141000000.0,-25000000.0,116000000.0,973000000.0,131600000.0,132913791.0,134083053.0
