company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2012.0,FY,2011-07-01,2012-06-30,2014-08-14 08:04:41+00:00,-92000000.0,483000000.0,71000000.0,160000000.0,,-1006000000.0,-659000000.0,851000000.0,,,,-1006000000.0,-659000000.0,851000000.0,-814000000.0,-2040000000.0,-2040000000.0,,2248000000.0,,,-1006000000.0,-263000000.0,-375000000.0,,,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2013.0,Q4,2013-04-01,2013-06-30,,1000000.0,150000000.0,124000000.0,-176000000.0,,823000000.0,18000000.0,81000000.0,,,,823000000.0,18000000.0,81000000.0,922000000.0,-1113000000.0,-1113000000.0,,1220000000.0,-1927000000.0,,2750000000.0,-2000000.0,-105000000.0,,,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2013.0,FY,2012-07-01,2013-06-30,2015-08-13 06:41:51+00:00,-2156000000.0,548000000.0,826000000.0,-1852000000.0,,2486000000.0,-1674000000.0,501000000.0,,,,2486000000.0,-1674000000.0,501000000.0,1313000000.0,547000000.0,547000000.0,,1258000000.0,,0.0,2721000000.0,-12000000.0,-332000000.0,-235000000.0,0.0,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2013.0,Q3YTD,2012-07-01,2013-03-31,2014-05-09 07:28:00+00:00,-2157000000.0,398000000.0,702000000.0,-1676000000.0,,1663000000.0,-1692000000.0,420000000.0,,,,1663000000.0,-1692000000.0,420000000.0,391000000.0,1660000000.0,1660000000.0,,38000000.0,1927000000.0,,-29000000.0,-10000000.0,-227000000.0,-235000000.0,,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2013.0,Q3,2013-01-01,2013-03-31,,-3000000.0,144000000.0,676000000.0,-35000000.0,,-198000000.0,580000000.0,415000000.0,,,,-198000000.0,580000000.0,415000000.0,797000000.0,332000000.0,332000000.0,,-26000000.0,-188000000.0,,-10000000.0,-7000000.0,-86000000.0,,,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2013.0,Q2YTD,2012-07-01,2012-12-31,2014-02-07 07:55:01+00:00,-2154000000.0,254000000.0,26000000.0,-1641000000.0,,1861000000.0,-2272000000.0,5000000.0,,,,1861000000.0,-2272000000.0,5000000.0,-406000000.0,1328000000.0,1328000000.0,,64000000.0,2115000000.0,,-19000000.0,-3000000.0,-141000000.0,-235000000.0,,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2013.0,Q2,2012-10-01,2012-12-31,,-1924000000.0,129000000.0,26000000.0,-1522000000.0,,1617000000.0,-1978000000.0,92000000.0,,,,1617000000.0,-1978000000.0,92000000.0,-269000000.0,1411000000.0,1411000000.0,,74000000.0,1860000000.0,,-8000000.0,-3000000.0,-77000000.0,-235000000.0,,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2013.0,Q1,2012-07-01,2012-09-30,2013-11-12 07:54:59+00:00,-230000000.0,125000000.0,0.0,-119000000.0,,244000000.0,-294000000.0,-87000000.0,,,,244000000.0,-294000000.0,-87000000.0,-137000000.0,-83000000.0,-83000000.0,,-10000000.0,255000000.0,,-11000000.0,,-64000000.0,,,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2014.0,FY,2013-07-01,2014-06-30,2016-08-12 07:19:00+00:00,-45000000.0,552000000.0,202000000.0,-36000000.0,,189000000.0,-285000000.0,1029000000.0,,,,189000000.0,-285000000.0,1029000000.0,933000000.0,294000000.0,436000000.0,-142000000.0,77000000.0,,0.0,193000000.0,-84000000.0,-358000000.0,-4000000.0,0.0,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2014.0,Q4,2014-04-01,2014-06-30,,-6000000.0,131000000.0,93000000.0,-147000000.0,,-2000000.0,-99000000.0,226000000.0,,,,-2000000.0,-99000000.0,226000000.0,125000000.0,29000000.0,171000000.0,-142000000.0,71000000.0,,,-1000000.0,-72000000.0,-114000000.0,-1000000.0,,,
