company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,capitalizedleaseobligationinterestexpense,cashdividendspershare,depositsinterestexpense,depreciationexpense,dilutedeps,extraordinaryincome,impairmentexpense,incometaxexpense,investmentbankingincome,investmentsecuritiesinterestincome,longtermdebtinterestexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,nonoperatingincome,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,othergains,otherinterestexpense,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,otherspecialcharges,preferreddividends,premiumsearned,propertyliabilityinsuranceclaims,provisionforcreditlosses,restructuringcharge,salariesandemployeebenefitsexpense,servicechargesondepositsincome,totalinterestexpense,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
T. Rowe Price Group Inc,TROW,,1113169,2007.0,FY,2007-01-01,2007-12-31,2010-02-05 07:27:34+00:00,,2.53,2.53,,,4800000.0,53400000.0,2.4,,,406200000.0,,,,107900000.0,670600000.0,670600000.0,,670600000.0,,-4800000.0,92100000.0,,80400000.0,,,,,,181300000.0,2227200000.0,,,,,,,797200000.0,5900000.0,4800000.0,1231900000.0,2233100000.0,1076800000.0,2228300000.0,265100000.0,265100000.0,279400000.0
T. Rowe Price Group Inc,TROW,,1113169,2008.0,FY,2008-01-01,2008-12-31,2010-02-05 07:27:34+00:00,,1.89,1.89,,,5000000.0,61700000.0,1.81,,,305400000.0,,,,104100000.0,490800000.0,490800000.0,,490800000.0,,-5000000.0,101800000.0,,,,,,,,236900000.0,2114900000.0,,,,,,,815600000.0,6400000.0,5000000.0,1320100000.0,2121300000.0,796200000.0,2116300000.0,259700000.0,259700000.0,271200000.0
T. Rowe Price Group Inc,TROW,,1113169,2008.0,Q3,2008-07-01,2008-09-30,2009-10-23 07:41:28+00:00,,0.59,0.59,,-0.24,1100000.0,15300000.0,0.56,,,91700000.0,,,,16700000.0,152800000.0,152800000.0,,152800000.0,,-1100000.0,25700000.0,,5700000.0,,,,,,47400000.0,554400000.0,,,,,,,210900000.0,1500000.0,1100000.0,316000000.0,555900000.0,244500000.0,554800000.0,259000000.0,259000000.0,272900000.0
T. Rowe Price Group Inc,TROW,,1113169,2008.0,Q2,2008-04-01,2008-06-30,2009-07-24 12:35:30+00:00,0.0,0.62,0.62,0.0,0.24,0.0,15600000.0,0.59,0.0,0.0,104200000.0,7800000.0,0.0,0.0,20200000.0,,0.0,0.0,0.0,0.0,,24900000.0,0.0,0.0,0.0,0.0,-162200000.0,0.0,0.0,49200000.0,586200000.0,0.0,0.0,0.0,0.0,0.0,0.0,218000000.0,1500000.0,0.0,327900000.0,595500000.0,266400000.0,595500000.0,0.0,0.0,0.0
T. Rowe Price Group Inc,TROW,,1113169,2009.0,Q4,2009-10-01,2009-12-31,,,0.59,0.59,,-0.25,-2200000.0,15500000.0,0.58,,,87500000.0,-20600000.0,,,23800000.0,252500000.0,252500000.0,,252500000.0,,2200000.0,26600000.0,,36000000.0,,,100000000.0,,,48800000.0,544300000.0,,,,,,,202000000.0,-5200000.0,-2200000.0,316700000.0,518500000.0,240000000.0,520700000.0,256600000.0,256600000.0,262800000.0
T. Rowe Price Group Inc,TROW,,1113169,2009.0,FY,2009-01-01,2009-12-31,2012-02-03 15:45:45+00:00,,1.69,1.69,,,,65200000.0,1.65,,,255300000.0,-12700000.0,,,73200000.0,433600000.0,433600000.0,,433600000.0,,,102400000.0,,,,,,,,151600000.0,1867400000.0,,,,,,,773400000.0,,,1165800000.0,1854700000.0,688900000.0,1854700000.0,256600000.0,256600000.0,262800000.0
T. Rowe Price Group Inc,TROW,,1113169,2009.0,Q3,2009-07-01,2009-09-30,2009-10-23 07:41:28+00:00,,0.52,0.52,,0.25,1000000.0,16400000.0,0.5,,,79600000.0,,,,13000000.0,132900000.0,132900000.0,,132900000.0,,-1000000.0,26000000.0,,,,,,,,33900000.0,497300000.0,,,,,,,196300000.0,1800000.0,1000000.0,285600000.0,499100000.0,212500000.0,498100000.0,255600000.0,255600000.0,265800000.0
T. Rowe Price Group Inc,TROW,,1113169,2009.0,Q3YTD,2009-01-01,2009-09-30,,,1.1,1.1,,0.25,2200000.0,49700000.0,1.07,,,167800000.0,7900000.0,,,49400000.0,181100000.0,181100000.0,,181100000.0,,-2200000.0,75800000.0,,-36000000.0,,,-100000000.0,,,102800000.0,1323100000.0,,,,,,,571400000.0,5200000.0,2200000.0,849100000.0,1336200000.0,448900000.0,1334000000.0,255600000.0,255600000.0,265800000.0
T. Rowe Price Group Inc,TROW,,1113169,2009.0,Q2,2009-04-01,2009-06-30,2009-07-24 12:35:30+00:00,0.0,0.39,0.39,0.0,0.25,0.0,16600000.0,0.38,0.0,0.0,61800000.0,7900000.0,0.0,0.0,13700000.0,,0.0,0.0,0.0,0.0,,24400000.0,0.0,0.0,0.0,0.0,-100000000.0,0.0,0.0,35200000.0,441600000.0,0.0,0.0,0.0,0.0,0.0,0.0,199700000.0,1900000.0,0.0,289600000.0,451400000.0,161800000.0,451400000.0,0.0,0.0,0.0
T. Rowe Price Group Inc,TROW,,1113169,2009.0,Q2YTD,2009-01-01,2009-06-30,,,0.58,0.58,,,1200000.0,33300000.0,0.57,,,88200000.0,7900000.0,,,36400000.0,48200000.0,48200000.0,,48200000.0,,-1200000.0,49800000.0,,-36000000.0,,,-100000000.0,,,68900000.0,825800000.0,,,,,,,375100000.0,3400000.0,1200000.0,563500000.0,837100000.0,236400000.0,835900000.0,0.0,0.0,0.0
