company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinterestpayable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,goodwill,interestbearingdeposits,netpremisesandequipment,otherassets,otherlongtermliabilities,othershorttermpayables,redeemablenoncontrollinginterest,retainedearnings,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities
T. Rowe Price Group Inc,TROW,,1113169,2008.0,FY,,2008-12-31,2010-02-05 07:27:34+00:00,,-13100000.0,619100000.0,,415100000.0,665700000.0,157800000.0,440100000.0,415000000.0,25300000.0,147500000.0,,2086800000.0,2819400000.0,2488800000.0,2488800000.0,2488800000.0,330600000.0,2819400000.0,0.0,679500000.0
T. Rowe Price Group Inc,TROW,,1113169,2009.0,FY,,2009-12-31,2011-02-08 17:02:16+00:00,,101900000.0,743300000.0,,540200000.0,665700000.0,161300000.0,512800000.0,428400000.0,33600000.0,133200000.0,,2240100000.0,3210300000.0,2882200000.0,2882200000.0,2882200000.0,328100000.0,3210300000.0,0.0,860100000.0
T. Rowe Price Group Inc,TROW,,1113169,2009.0,Q3,,2009-09-30,2009-10-23 07:41:28+00:00,,95800000.0,739300000.0,,491900000.0,665700000.0,164100000.0,501900000.0,402300000.0,19800000.0,237400000.0,,2152000000.0,3161000000.0,2739700000.0,2739700000.0,2739700000.0,421300000.0,3161000000.0,0.0,851800000.0
T. Rowe Price Group Inc,TROW,,1113169,2010.0,FY,,2010-12-31,2012-02-03 15:45:45+00:00,,139100000.0,813100000.0,0.0,558000000.0,665700000.0,160400000.0,560300000.0,670300000.0,113200000.0,71900000.0,,2599400000.0,3642000000.0,3296500000.0,3296500000.0,3296500000.0,345500000.0,3642000000.0,0.0,932600000.0
T. Rowe Price Group Inc,TROW,,1113169,2010.0,Q3,,2010-09-30,2010-10-22 11:51:22+00:00,,117200000.0,810400000.0,,469600000.0,665700000.0,163700000.0,557400000.0,620800000.0,42600000.0,292600000.0,,2477600000.0,3563300000.0,3064400000.0,3064400000.0,3064400000.0,498900000.0,3563300000.0,0.0,909000000.0
T. Rowe Price Group Inc,TROW,,1113169,2010.0,Q2,,2010-06-30,2010-07-23 13:02:06+00:00,,83300000.0,735100000.0,,465200000.0,665700000.0,162900000.0,543900000.0,624000000.0,35500000.0,245300000.0,,2410800000.0,3403000000.0,2959300000.0,2959300000.0,2959300000.0,443700000.0,3403000000.0,0.0,834300000.0
T. Rowe Price Group Inc,TROW,,1113169,2010.0,Q1,,2010-03-31,2010-04-23 12:54:39+00:00,,113500000.0,764100000.0,,570300000.0,665700000.0,160200000.0,518900000.0,559400000.0,64600000.0,160700000.0,,2323100000.0,3392400000.0,3006900000.0,3006900000.0,3006900000.0,385500000.0,3392400000.0,0.0,884300000.0
T. Rowe Price Group Inc,TROW,,1113169,2011.0,FY,,2011-12-31,2013-02-05 13:03:18+00:00,,102800000.0,897900000.0,0.0,552700000.0,665700000.0,173500000.0,567400000.0,676400000.0,112900000.0,63200000.0,,2765200000.0,3770300000.0,3420700000.0,3420700000.0,3420700000.0,349600000.0,3770300000.0,0.0,962900000.0
T. Rowe Price Group Inc,TROW,,1113169,2011.0,Q3,,2011-09-30,2011-10-25 16:24:41+00:00,,95100000.0,1001400000.0,0.0,519100000.0,665700000.0,173000000.0,555100000.0,680300000.0,134300000.0,262700000.0,,2655400000.0,3839600000.0,3269600000.0,3269600000.0,3269600000.0,570000000.0,3839600000.0,0.0,937100000.0
T. Rowe Price Group Inc,TROW,,1113169,2011.0,Q2,,2011-06-30,2011-07-26 15:00:50+00:00,,156900000.0,1022700000.0,0.0,511700000.0,665700000.0,166900000.0,555700000.0,646300000.0,123800000.0,178900000.0,,2744200000.0,3882400000.0,3412800000.0,3412800000.0,3412800000.0,469600000.0,3882400000.0,0.0,992000000.0
T. Rowe Price Group Inc,TROW,,1113169,2011.0,Q1,,2011-03-31,2011-04-21 13:13:10+00:00,,154400000.0,1064900000.0,,588200000.0,665700000.0,164800000.0,551800000.0,641100000.0,88400000.0,176900000.0,,2713300000.0,3886000000.0,3455900000.0,3455900000.0,3455900000.0,430100000.0,3886000000.0,0.0,962500000.0
T. Rowe Price Group Inc,TROW,,1113169,2012.0,FY,,2012-12-31,2014-02-04 13:27:03+00:00,,131900000.0,879100000.0,0.0,682400000.0,665700000.0,154700000.0,561000000.0,820900000.0,111200000.0,90800000.0,,3031800000.0,4202800000.0,3846100000.0,3846100000.0,3846100000.0,356700000.0,4202800000.0,0.0,1276100000.0
