company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
T. Rowe Price Group Inc,TROW,,1113169,2007.0,FY,2007-01-01,2007-12-31,2010-02-05 07:27:34+00:00,600000.0,53400000.0,,,-46700000.0,,,,-401200000.0,-344700000.0,758000000.0,,,,-401200000.0,-344700000.0,758000000.0,12100000.0,-400000.0,670600000.0,670600000.0,,80100000.0,91600000.0,,-180300000.0,,-241200000.0,-145600000.0,,-312100000.0,,42100000.0,
T. Rowe Price Group Inc,TROW,,1113169,2008.0,FY,2008-01-01,2008-12-31,2010-02-05 07:27:34+00:00,600000.0,61700000.0,,,11900000.0,,,,-782800000.0,-125000000.0,741800000.0,,,,-782800000.0,-125000000.0,741800000.0,-166000000.0,43500000.0,490800000.0,490800000.0,,176800000.0,100400000.0,,-312500000.0,,-180600000.0,-144100000.0,,-614200000.0,,199700000.0,
T. Rowe Price Group Inc,TROW,,1113169,2008.0,Q4,2008-10-01,2008-12-31,,100000.0,15800000.0,,,-146100000.0,,,,-170400000.0,-68600000.0,5400000.0,,,,-170400000.0,-68600000.0,5400000.0,-233600000.0,30200000.0,24300000.0,24300000.0,,111300000.0,16000000.0,,-61900000.0,,-139900000.0,-47600000.0,,-154700000.0,,118900000.0,
T. Rowe Price Group Inc,TROW,,1113169,2008.0,Q3,2008-07-01,2008-09-30,,200000.0,15300000.0,,,89500000.0,,,,-612400000.0,-56400000.0,736400000.0,,,,-612400000.0,-56400000.0,736400000.0,67600000.0,14600000.0,152800000.0,152800000.0,,478600000.0,-475000000.0,-43200000.0,-62200000.0,,-16900000.0,-43000000.0,,-89800000.0,,46700000.0,
T. Rowe Price Group Inc,TROW,,1113169,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-23 07:41:28+00:00,500000.0,45900000.0,,,158000000.0,,,,-612400000.0,-56400000.0,736400000.0,,,,-612400000.0,-56400000.0,736400000.0,67600000.0,13300000.0,466500000.0,466500000.0,,65500000.0,84400000.0,,-250600000.0,,-40700000.0,-96500000.0,,-459500000.0,,80800000.0,
T. Rowe Price Group Inc,TROW,,1113169,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-07-24 12:35:30+00:00,300000.0,30600000.0,0.0,0.0,68500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-1300000.0,313700000.0,313700000.0,0.0,-413100000.0,559400000.0,43200000.0,-188400000.0,0.0,-23800000.0,-53500000.0,0.0,-369700000.0,0.0,34100000.0,0.0
T. Rowe Price Group Inc,TROW,,1113169,2009.0,Q4,2009-10-01,2009-12-31,,200000.0,15500000.0,,,-120300000.0,,,,-40400000.0,-24600000.0,69000000.0,,,,-40400000.0,-24600000.0,69000000.0,4000000.0,-2800000.0,152500000.0,152500000.0,,21100000.0,39100000.0,,-64600000.0,,-10200000.0,-30900000.0,,-12100000.0,,16500000.0,
T. Rowe Price Group Inc,TROW,,1113169,2009.0,FY,2009-01-01,2009-12-31,2012-02-03 15:45:45+00:00,500000.0,65200000.0,,,-88900000.0,,,,-244700000.0,-166700000.0,535600000.0,,,,-244700000.0,-166700000.0,535600000.0,124200000.0,3500000.0,433600000.0,433600000.0,,125200000.0,79700000.0,,-256900000.0,,-143700000.0,-133900000.0,,-71000000.0,,110900000.0,
T. Rowe Price Group Inc,TROW,,1113169,2009.0,Q3YTD,2009-01-01,2009-09-30,2009-10-23 07:41:28+00:00,300000.0,49700000.0,,,31400000.0,,,,-204300000.0,-142100000.0,466600000.0,,,,-204300000.0,-142100000.0,466600000.0,120200000.0,6300000.0,281100000.0,281100000.0,,104100000.0,40600000.0,,-192300000.0,,-133500000.0,-103000000.0,,-58900000.0,,94400000.0,
T. Rowe Price Group Inc,TROW,,1113169,2009.0,Q3TTM,2008-10-01,2009-09-30,,400000.0,65500000.0,,,-114700000.0,,,,-374700000.0,-210700000.0,472000000.0,,,,-374700000.0,-210700000.0,472000000.0,-113400000.0,36500000.0,305400000.0,305400000.0,,215400000.0,56600000.0,,-254200000.0,,-273400000.0,-150600000.0,,-213600000.0,,213300000.0,
