company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,cashinterestreceived,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
M&T Bank Corp,MTB,,36270,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 16:46:34+00:00,-12894000.0,129417000.0,370103000.0,1683403000.0,3545094000.0,48742000.0,287457000.0,5875088000.0,0.0,3590493000.0,-4782667000.0,1334757000.0,3590493000.0,-4782667000.0,1334757000.0,142583000.0,-1036502000.0,654259000.0,654259000.0,22882000.0,70726000.0,,-281900000.0,192000000.0,-7160848000.0,-528515000.0,-508404000.0,,2391075000.0
M&T Bank Corp,MTB,,36270,2008.0,FY,2008-01-01,2008-12-31,2011-02-22 10:22:48+00:00,,132368000.0,290324000.0,1363351000.0,3374219000.0,53422000.0,326641000.0,3850010000.0,600000000.0,435947000.0,-2263759000.0,1628416000.0,435947000.0,-2263759000.0,1628416000.0,-199396000.0,1317764000.0,555887000.0,555887000.0,148098000.0,5388000.0,,-308501000.0,412000000.0,-4446024000.0,-5028714000.0,,,2182265000.0
M&T Bank Corp,MTB,,36270,2008.0,Q4,2008-10-01,2008-12-31,,,32108000.0,89575000.0,291679000.0,803645000.0,13504000.0,-107479000.0,,600000000.0,150213000.0,-304230000.0,334651000.0,150213000.0,-304230000.0,334651000.0,180634000.0,77831000.0,102241000.0,102241000.0,143277000.0,9340000.0,,-77232000.0,151000000.0,-672356000.0,-459726000.0,,,368126000.0
M&T Bank Corp,MTB,,36270,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-04 19:22:34+00:00,,100260000.0,200749000.0,1071672000.0,2570574000.0,39918000.0,434120000.0,3850010000.0,,285734000.0,-1959529000.0,1293765000.0,285734000.0,-1959529000.0,1293765000.0,-380030000.0,1239933000.0,453646000.0,453646000.0,4821000.0,-3952000.0,,-231269000.0,261000000.0,-3773668000.0,-4568988000.0,,,1814139000.0
M&T Bank Corp,MTB,,36270,2008.0,Q3,2008-07-01,2008-09-30,,,32439000.0,14436000.0,296198000.0,807051000.0,13703000.0,211651000.0,200000000.0,,-643525000.0,-56903000.0,449442000.0,-643525000.0,-56903000.0,449442000.0,-250986000.0,576413000.0,91185000.0,91185000.0,-536000.0,-9871000.0,,-77148000.0,101000000.0,-498599000.0,-1332919000.0,,,441696000.0
M&T Bank Corp,MTB,,36270,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-09-03 15:40:49+00:00,,67821000.0,186313000.0,775474000.0,1763523000.0,26215000.0,222469000.0,3650010000.0,,929259000.0,-1902626000.0,844323000.0,929259000.0,-1902626000.0,844323000.0,-129044000.0,663520000.0,362461000.0,362461000.0,5357000.0,5919000.0,,-154121000.0,160000000.0,-3275069000.0,-3236069000.0,,,1372443000.0
M&T Bank Corp,MTB,,36270,2009.0,FY,2009-01-01,2009-12-31,2011-02-22 10:22:48+00:00,,126523000.0,-19549000.0,704173000.0,2748880000.0,64398000.0,-239061000.0,0.0,0.0,-4012893000.0,2501695000.0,1189389000.0,-4012893000.0,2501695000.0,1189389000.0,-321809000.0,-528964000.0,379891000.0,379891000.0,253638000.0,9156000.0,,-357652000.0,604000000.0,-928421000.0,-3135433000.0,,,3430116000.0
M&T Bank Corp,MTB,,36270,2009.0,Q4,2009-10-01,2009-12-31,,,32001000.0,-11392000.0,178516000.0,706788000.0,21348000.0,-260460000.0,,,-63162000.0,-178078000.0,113868000.0,-63162000.0,-178078000.0,113868000.0,-127372000.0,596146000.0,136818000.0,136818000.0,39161000.0,6954000.0,,-93211000.0,145000000.0,-758381000.0,-573051000.0,,,580303000.0
M&T Bank Corp,MTB,,36270,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-05 17:06:51+00:00,,94522000.0,-8157000.0,525657000.0,2042092000.0,43050000.0,21399000.0,,,-3949731000.0,2679773000.0,1075521000.0,-3949731000.0,2679773000.0,1075521000.0,-194437000.0,-1125110000.0,243073000.0,243073000.0,214477000.0,2202000.0,,-264441000.0,459000000.0,-170040000.0,-2562382000.0,,,2849813000.0
M&T Bank Corp,MTB,,36270,2009.0,Q3TTM,2008-10-01,2009-09-30,,,126630000.0,81418000.0,817336000.0,2845737000.0,56554000.0,-86080000.0,,600000000.0,-3799518000.0,2375543000.0,1410172000.0,-3799518000.0,2375543000.0,1410172000.0,-13803000.0,-1047279000.0,345314000.0,345314000.0,357754000.0,11542000.0,,-341673000.0,610000000.0,-842396000.0,-3022108000.0,,,3217939000.0
