company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinvestmentincome,aoci,cashandequivalents,commonequity,deferredacquisitioncost,futurepolicybenefits,goodwill,intangibleassets,longtermdebt,mortgageservicingrights,netpremisesandequipment,noncontrollinginterests,otherassets,otherlongtermliabilities,participatingpolicyholderequity,redeemablenoncontrollinginterest,retainedearnings,separateaccountbusinessassets,separateaccountbusinessliabilities,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,tradingaccountsecurities,treasurystock,unearnedpremiumsdebit
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2008.0,FY,,2008-12-31,2010-02-17 14:28:25+00:00,750700000.0,-4911600000.0,2608000000.0,8380400000.0,4153000000.0,18494200000.0,375500000.0,925300000.0,1290500000.0,13113600000.0,518200000.0,96500000.0,8246100000.0,49648700000.0,536200000.0,,3722500000.0,55142600000.0,55142600000.0,500900000.0,128182400000.0,2472700000.0,2472800000.0,2569300000.0,125613100000.0,128182400000.0,41361300000.0,-4718600000.0,988100000.0
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2009.0,FY,,2009-12-31,2011-02-16 12:48:23+00:00,691900000.0,-1042000000.0,2240400000.0,9497400000.0,3681400000.0,19248300000.0,386400000.0,851700000.0,1584600000.0,11845600000.0,489300000.0,122900000.0,6080300000.0,45510800000.0,559200000.0,,4160700000.0,62738500000.0,62738500000.0,101600000.0,137759400000.0,7893400000.0,7893500000.0,8016400000.0,129743000000.0,137759400000.0,47688500000.0,-4722700000.0,1065400000.0
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2009.0,Q3,,2009-09-30,2009-11-04 12:01:41+00:00,742700000.0,-1434100000.0,3241200000.0,9485200000.0,3591400000.0,18938000000.0,382600000.0,864900000.0,1586100000.0,12018700000.0,496800000.0,98000000.0,6276100000.0,47058500000.0,564400000.0,,4180200000.0,61518700000.0,61518700000.0,107100000.0,137379500000.0,7508600000.0,7508700000.0,7606700000.0,129772800000.0,137379500000.0,47110600000.0,-4722700000.0,1135800000.0
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2009.0,Q2,,2009-06-30,2009-08-05 17:04:12+00:00,696200000.0,-3042400000.0,4328500000.0,9464300000.0,4058700000.0,18939100000.0,384100000.0,878400000.0,2033300000.0,12433800000.0,506100000.0,81300000.0,6824800000.0,47246400000.0,553400000.0,,3995500000.0,55998400000.0,55998400000.0,159500000.0,130706600000.0,5695100000.0,5695200000.0,5776500000.0,124930100000.0,130706600000.0,43551100000.0,-4722300000.0,1046500000.0
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2010.0,FY,,2010-12-31,2012-02-15 11:19:22+00:00,666100000.0,272400000.0,1877400000.0,9568300000.0,3529800000.0,20046300000.0,345400000.0,834600000.0,1583700000.0,11125100000.0,458700000.0,157200000.0,5932300000.0,43860700000.0,592200000.0,,4612300000.0,69555300000.0,69555300000.0,107900000.0,145631100000.0,9727700000.0,9727800000.0,9885000000.0,135746100000.0,145631100000.0,50243400000.0,-4725300000.0,1063000000.0
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2010.0,Q2,,2010-06-30,2010-08-04 14:32:42+00:00,668600000.0,-351000000.0,1827300000.0,9530300000.0,3426700000.0,19268800000.0,381800000.0,842900000.0,1572400000.0,11292600000.0,471700000.0,142200000.0,5847900000.0,45252600000.0,569500000.0,,4474800000.0,60735000000.0,60735000000.0,126500000.0,136596500000.0,8929400000.0,8929500000.0,9071700000.0,127524800000.0,136596500000.0,49869400000.0,-4724700000.0,1232600000.0
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2010.0,Q1,,2010-03-31,2010-05-05 09:20:21+00:00,724000000.0,-577900000.0,1629700000.0,9517000000.0,3554200000.0,19228600000.0,384000000.0,851900000.0,1578300000.0,11559200000.0,480500000.0,132600000.0,5674700000.0,45395700000.0,568600000.0,,4340800000.0,65245700000.0,65245700000.0,131600000.0,140836700000.0,8555500000.0,8555600000.0,8688200000.0,132148500000.0,140836700000.0,49542100000.0,-4724400000.0,1190700000.0
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2011.0,FY,,2011-12-31,2013-02-13 09:53:04+00:00,615200000.0,258000000.0,2833900000.0,9639200000.0,2428000000.0,20210400000.0,482300000.0,890600000.0,1564800000.0,10727200000.0,457200000.0,353800000.0,5906100000.0,44174400000.0,548600000.0,22200000.0,4402300000.0,71364400000.0,71364400000.0,105200000.0,147361700000.0,9017800000.0,9017900000.0,9371700000.0,137967800000.0,147361700000.0,50460300000.0,-5281700000.0,1196500000.0
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2011.0,Q3,,2011-09-30,2011-11-02 09:57:03+00:00,663700000.0,409200000.0,1434200000.0,9622400000.0,3245500000.0,19821900000.0,413900000.0,872800000.0,1570400000.0,10860400000.0,448200000.0,309100000.0,6151500000.0,43851300000.0,549700000.0,,5130300000.0,67145800000.0,67145800000.0,73800000.0,143302300000.0,9980200000.0,9980300000.0,10289400000.0,133012900000.0,143302300000.0,50828900000.0,-5181700000.0,1237400000.0
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2011.0,Q2,,2011-06-30,2011-08-03 11:23:18+00:00,622500000.0,698800000.0,2169600000.0,9598200000.0,3335200000.0,20141400000.0,345600000.0,827400000.0,1582100000.0,10808500000.0,448500000.0,265400000.0,5795000000.0,43144300000.0,558000000.0,,5066600000.0,73077100000.0,73077100000.0,107900000.0,149278400000.0,10402100000.0,10402200000.0,10667600000.0,138610800000.0,149278400000.0,50487300000.0,-4961500000.0,1361700000.0
