company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2007.0,FY,2007-01-01,2007-12-31,2010-02-17 14:28:25+00:00,357300000.0,-245900000.0,115100000.0,130200000.0,2346100000.0,73600000.0,204100000.0,1292100000.0,-4499200000.0,2960000000.0,1292100000.0,-4499200000.0,2960000000.0,-246400000.0,417100000.0,884500000.0,884500000.0,-758100000.0,1745400000.0,,700000.0,-276800000.0,-14067800000.0,-98400000.0,-115000000.0,-756300000.0,,9667000000.0,
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2008.0,Q4,2008-10-01,2008-12-31,,161100000.0,-206100000.0,111300000.0,39600000.0,528000000.0,4900000.0,155000000.0,-1119700000.0,1101100000.0,357600000.0,-1119700000.0,1101100000.0,357600000.0,339000000.0,80100000.0,-3600000.0,-3600000.0,-367500000.0,-1168700000.0,,,-125000000.0,-2282500000.0,-21700000.0,-66000000.0,,,3405300000.0,
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2008.0,FY,2008-01-01,2008-12-31,2011-02-16 12:48:23+00:00,373700000.0,-206100000.0,111300000.0,145000000.0,2158700000.0,36400000.0,225300000.0,1956000000.0,-2917200000.0,2224800000.0,1956000000.0,-2917200000.0,2224800000.0,1263600000.0,373100000.0,465800000.0,465800000.0,-918400000.0,1560600000.0,,,-149700000.0,-10336200000.0,-105000000.0,-83300000.0,-6400000.0,,7524000000.0,
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2008.0,Q3,2008-07-01,2008-09-30,,86200000.0,,,35600000.0,513800000.0,7900000.0,67200000.0,1642000000.0,-1691600000.0,794100000.0,1642000000.0,-1691600000.0,794100000.0,744500000.0,60700000.0,108700000.0,108700000.0,49800000.0,1446600000.0,,,-8200000.0,-2883100000.0,-33800000.0,68100000.0,-300000.0,,1225300000.0,
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-04 12:01:41+00:00,212600000.0,,,105400000.0,1630700000.0,31500000.0,70300000.0,3075700000.0,-4018300000.0,1867200000.0,3075700000.0,-4018300000.0,1867200000.0,924600000.0,293000000.0,469400000.0,469400000.0,-550900000.0,2729300000.0,,,-24700000.0,-8053700000.0,-83300000.0,-17300000.0,-6400000.0,,4118700000.0,
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-05 17:04:12+00:00,126400000.0,,,69800000.0,1116900000.0,23600000.0,3100000.0,1433700000.0,-2326700000.0,1073100000.0,1433700000.0,-2326700000.0,1073100000.0,180100000.0,232300000.0,360700000.0,360700000.0,-600700000.0,1282700000.0,,,-16500000.0,-5170600000.0,-49500000.0,-85400000.0,-6100000.0,,2893400000.0,
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2009.0,Q4,2009-10-01,2009-12-31,,21800000.0,-75400000.0,129900000.0,34100000.0,309000000.0,,,-1320000000.0,-129400000.0,448600000.0,-1320000000.0,-129400000.0,448600000.0,-1000800000.0,-36300000.0,154900000.0,154900000.0,-71200000.0,-1105900000.0,,,-167800000.0,-1650300000.0,-5600000.0,-10000000.0,,,1526500000.0,
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2009.0,FY,2009-01-01,2009-12-31,2012-02-15 11:19:22+00:00,92200000.0,-75400000.0,129900000.0,138500000.0,1528500000.0,1123000000.0,745100000.0,-3637400000.0,1026800000.0,2243000000.0,-3637400000.0,1026800000.0,2243000000.0,-367600000.0,43900000.0,645700000.0,645700000.0,-161900000.0,-4479500000.0,,,-192500000.0,-8659300000.0,-26200000.0,-873300000.0,-4100000.0,,9712300000.0,
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2009.0,Q3TTM,2008-10-01,2009-09-30,,231500000.0,-206100000.0,111300000.0,144000000.0,1747500000.0,1127900000.0,900100000.0,-3437100000.0,2257300000.0,2152000000.0,-3437100000.0,2257300000.0,2152000000.0,972200000.0,160300000.0,487200000.0,487200000.0,-458200000.0,-4542300000.0,,,-149700000.0,-9291500000.0,-42300000.0,-929300000.0,-4100000.0,,11591100000.0,
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2009.0,Q3,2009-07-01,2009-09-30,,34200000.0,,,35600000.0,251200000.0,-31400000.0,-4900000.0,-1390200000.0,-76600000.0,379500000.0,-1390200000.0,-76600000.0,379500000.0,-1087300000.0,12100000.0,204200000.0,204200000.0,-145700000.0,-861500000.0,,,-8200000.0,-3721500000.0,-4100000.0,-495900000.0,-400000.0,,3649000000.0,
Principal Financial Group Inc,PFG,CUMYEZJOAF02RYZ1JJ85,1126328,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-03 16:22:00+00:00,70400000.0,,,104400000.0,1219500000.0,1123000000.0,745100000.0,-2317400000.0,1156200000.0,1794400000.0,-2317400000.0,1156200000.0,1794400000.0,633200000.0,80200000.0,490800000.0,490800000.0,-90700000.0,-3373600000.0,,,-24700000.0,-7009000000.0,-20600000.0,-863300000.0,-4100000.0,,8185800000.0,
