company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Cummins Inc,CMI,ZUNI8PYC725B6H8JU438,26172,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 18:45:41+00:00,3.72,3.72,,3.7,,381000000.0,788000000.0,788000000.0,739000000.0,49000000.0,10492000000.0,13048000000.0,33000000.0,-22000000.0,,329000000.0,,1296000000.0,10492000000.0,2556000000.0,58000000.0,241000000.0,1603000000.0,953000000.0,216000000.0,1169000000.0,13048000000.0,198700000.0,198700000.0,199700000.0
Cummins Inc,CMI,ZUNI8PYC725B6H8JU438,26172,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 12:32:07+00:00,3.87,3.87,,3.84,,360000000.0,818000000.0,818000000.0,755000000.0,63000000.0,11402000000.0,14342000000.0,-70000000.0,12000000.0,,422000000.0,37000000.0,1450000000.0,11402000000.0,2940000000.0,42000000.0,271000000.0,1921000000.0,1019000000.0,159000000.0,1178000000.0,14342000000.0,194958370.0,194958370.0,194958370.0
Cummins Inc,CMI,ZUNI8PYC725B6H8JU438,26172,2008.0,Q3,2008-06-30,2008-09-28,2009-10-30 14:09:17+00:00,1.18,1.18,0.175,1.17,,123000000.0,247000000.0,247000000.0,229000000.0,18000000.0,2873000000.0,3693000000.0,-7000000.0,2000000.0,,113000000.0,,388000000.0,2873000000.0,820000000.0,10000000.0,70000000.0,503000000.0,317000000.0,53000000.0,370000000.0,3693000000.0,194100000.0,194900000.0,196500000.0
Cummins Inc,CMI,ZUNI8PYC725B6H8JU438,26172,2008.0,Q2,2008-03-31,2008-06-29,2009-07-30 12:38:01+00:00,1.5,1.5,0.125,1.49,,147000000.0,310000000.0,310000000.0,293000000.0,17000000.0,3008000000.0,3887000000.0,-3000000.0,6000000.0,,104000000.0,,370000000.0,3008000000.0,879000000.0,12000000.0,73000000.0,480000000.0,399000000.0,58000000.0,457000000.0,3887000000.0,195300000.0,195200000.0,196600000.0
Cummins Inc,CMI,ZUNI8PYC725B6H8JU438,26172,2009.0,Q4,2009-09-28,2009-12-31,,1.37,1.37,0.27,1.37,,84000000.0,290000000.0,290000000.0,270000000.0,20000000.0,2627000000.0,3400000000.0,-5000000.0,-5000000.0,,108000000.0,4000000.0,348000000.0,2627000000.0,773000000.0,9000000.0,70000000.0,455000000.0,318000000.0,56000000.0,374000000.0,3400000000.0,197445998.0,197445998.0,197445998.0
Cummins Inc,CMI,ZUNI8PYC725B6H8JU438,26172,2009.0,FY,2009-01-01,2009-12-31,2012-02-21 06:02:55+00:00,2.17,2.17,0.7,2.16,,156000000.0,484000000.0,484000000.0,428000000.0,56000000.0,8631000000.0,10800000000.0,-15000000.0,1000000.0,,362000000.0,99000000.0,1239000000.0,8631000000.0,2169000000.0,35000000.0,222000000.0,1701000000.0,468000000.0,172000000.0,640000000.0,10800000000.0,197445998.0,197445998.0,197445998.0
Cummins Inc,CMI,ZUNI8PYC725B6H8JU438,26172,2009.0,Q3YTD,2009-01-01,2009-09-27,,0.8,0.8,0.62,0.8,,72000000.0,194000000.0,194000000.0,158000000.0,36000000.0,6004000000.0,7400000000.0,-10000000.0,6000000.0,,254000000.0,95000000.0,891000000.0,6004000000.0,1396000000.0,26000000.0,152000000.0,1246000000.0,150000000.0,116000000.0,266000000.0,7400000000.0,197900000.0,197400000.0,197800000.0
Cummins Inc,CMI,ZUNI8PYC725B6H8JU438,26172,2009.0,Q3,2009-06-29,2009-09-27,2010-10-29 10:49:20+00:00,0.48,0.48,0.175,0.48,,36000000.0,110000000.0,110000000.0,95000000.0,15000000.0,2027000000.0,2530000000.0,6000000.0,-3000000.0,,90000000.0,22000000.0,304000000.0,2027000000.0,503000000.0,9000000.0,59000000.0,413000000.0,90000000.0,56000000.0,146000000.0,2530000000.0,197900000.0,197400000.0,197800000.0
Cummins Inc,CMI,ZUNI8PYC725B6H8JU438,26172,2009.0,Q2YTD,2009-01-01,2009-06-28,,0.32,0.32,0.41,0.32,,36000000.0,84000000.0,84000000.0,63000000.0,21000000.0,3977000000.0,4870000000.0,-16000000.0,9000000.0,,164000000.0,73000000.0,587000000.0,3977000000.0,893000000.0,17000000.0,93000000.0,833000000.0,60000000.0,60000000.0,120000000.0,4870000000.0,200000000.0,197100000.0,197400000.0
Cummins Inc,CMI,ZUNI8PYC725B6H8JU438,26172,2009.0,Q2,2009-03-30,2009-06-28,2010-07-30 10:44:45+00:00,0.28,0.28,0.175,0.28,,29000000.0,70000000.0,70000000.0,56000000.0,14000000.0,1983000000.0,2431000000.0,-13000000.0,11000000.0,,79000000.0,7000000.0,287000000.0,1983000000.0,448000000.0,10000000.0,58000000.0,384000000.0,64000000.0,35000000.0,99000000.0,2431000000.0,200000000.0,197100000.0,197400000.0
