company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstonetincometocommon,otheroperatingexpenses,otherrevenue,rdexpense,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
RAYTHEON TECHNOLOGIES CORP,RTX,I07WOS4YJ0N7YRFE7309,101829,2008.0,FY,2008-01-01,2008-12-31,2011-02-10 06:29:48+00:00,5.0,5.0,1.35,4.9,1883000000.0,5053000000.0,5053000000.0,,4689000000.0,364000000.0,43637000000.0,59119000000.0,,-522000000.0,,1771000000.0,6724000000.0,43637000000.0,15482000000.0,573000000.0,,7973000000.0,7509000000.0,-573000000.0,6936000000.0,59119000000.0,937800000.0,937800000.0,956400000.0
RAYTHEON TECHNOLOGIES CORP,RTX,I07WOS4YJ0N7YRFE7309,101829,2008.0,Q3,2008-07-01,2008-09-30,2009-10-23 06:07:33+00:00,1.36,1.36,0.32,1.33,502000000.0,1370000000.0,1370000000.0,,1269000000.0,101000000.0,10935000000.0,14973000000.0,,,112000000.0,436000000.0,1665000000.0,10935000000.0,4150000000.0,177000000.0,,2101000000.0,2049000000.0,-177000000.0,1872000000.0,15085000000.0,933100000.0,933000000.0,951000000.0
RAYTHEON TECHNOLOGIES CORP,RTX,I07WOS4YJ0N7YRFE7309,101829,2008.0,Q2,2008-04-01,2008-06-30,2009-07-24 06:26:02+00:00,1.35,1.35,0.32,1.32,548000000.0,1375000000.0,1375000000.0,,1275000000.0,100000000.0,11636000000.0,15812000000.0,,-132000000.0,,434000000.0,1775000000.0,11636000000.0,4176000000.0,176000000.0,,2077000000.0,2099000000.0,-176000000.0,1923000000.0,15812000000.0,944400000.0,944000000.0,966000000.0
RAYTHEON TECHNOLOGIES CORP,RTX,I07WOS4YJ0N7YRFE7309,101829,2009.0,FY,2009-01-01,2009-12-31,2011-02-10 06:29:48+00:00,4.17,4.17,1.54,4.12,1581000000.0,4179000000.0,4179000000.0,,3829000000.0,350000000.0,38861000000.0,52425000000.0,,-407000000.0,,1558000000.0,6036000000.0,38861000000.0,13564000000.0,617000000.0,,7187000000.0,6377000000.0,-617000000.0,5760000000.0,52425000000.0,918200000.0,917400000.0,928800000.0
RAYTHEON TECHNOLOGIES CORP,RTX,I07WOS4YJ0N7YRFE7309,101829,2009.0,Q4,2009-10-01,2009-12-31,,1.17,1.17,0.37,1.15,455000000.0,1169000000.0,1169000000.0,,1073000000.0,96000000.0,10317000000.0,13979000000.0,,-83000000.0,-50000000.0,421000000.0,1555000000.0,10317000000.0,3612000000.0,95000000.0,,1893000000.0,1719000000.0,-95000000.0,1624000000.0,13929000000.0,918200000.0,917400000.0,928800000.0
RAYTHEON TECHNOLOGIES CORP,RTX,I07WOS4YJ0N7YRFE7309,101829,2009.0,Q3,2009-07-01,2009-09-30,2010-10-25 06:32:15+00:00,1.15,1.15,0.39,1.14,456000000.0,1145000000.0,1145000000.0,,1058000000.0,87000000.0,9836000000.0,13187000000.0,,-188000000.0,,344000000.0,1424000000.0,9836000000.0,3351000000.0,170000000.0,,1580000000.0,1771000000.0,-170000000.0,1601000000.0,13187000000.0,920000000.0,917000000.0,929000000.0
RAYTHEON TECHNOLOGIES CORP,RTX,I07WOS4YJ0N7YRFE7309,101829,2009.0,Q3YTD,2009-01-01,2009-09-30,,3.0,3.0,1.17,2.97,1126000000.0,3010000000.0,3010000000.0,,2756000000.0,254000000.0,28544000000.0,38446000000.0,,-324000000.0,50000000.0,1137000000.0,4481000000.0,28544000000.0,9952000000.0,522000000.0,,5294000000.0,4658000000.0,-522000000.0,4136000000.0,38496000000.0,920000000.0,917000000.0,929000000.0
RAYTHEON TECHNOLOGIES CORP,RTX,I07WOS4YJ0N7YRFE7309,101829,2009.0,Q2,2009-04-01,2009-06-30,2009-07-24 06:26:02+00:00,1.06,1.06,0.39,1.05,394000000.0,1066000000.0,1066000000.0,,976000000.0,90000000.0,9601000000.0,13060000000.0,,-136000000.0,,384000000.0,1574000000.0,9601000000.0,3459000000.0,177000000.0,,1822000000.0,1637000000.0,-177000000.0,1460000000.0,13060000000.0,920800000.0,919000000.0,929000000.0
RAYTHEON TECHNOLOGIES CORP,RTX,I07WOS4YJ0N7YRFE7309,101829,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.85,1.85,0.78,1.83,670000000.0,1865000000.0,1865000000.0,,1698000000.0,167000000.0,18708000000.0,25259000000.0,,-136000000.0,50000000.0,793000000.0,3057000000.0,18708000000.0,6601000000.0,352000000.0,,3714000000.0,2887000000.0,-352000000.0,2535000000.0,25309000000.0,920800000.0,919000000.0,929000000.0
RAYTHEON TECHNOLOGIES CORP,RTX,I07WOS4YJ0N7YRFE7309,101829,2009.0,Q1,2009-01-01,2009-03-31,2010-04-26 06:47:20+00:00,0.79,0.79,0.39,0.78,276000000.0,799000000.0,799000000.0,,722000000.0,77000000.0,9107000000.0,12199000000.0,,,50000000.0,409000000.0,1483000000.0,9107000000.0,3142000000.0,175000000.0,,1892000000.0,1250000000.0,-175000000.0,1075000000.0,12249000000.0,913900000.0,918000000.0,926000000.0
