company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
RAYTHEON TECHNOLOGIES CORP,RTX,I07WOS4YJ0N7YRFE7309,101829,2008.0,FY,2008-01-01,2008-12-31,2011-02-10 06:29:48+00:00,-1252000000.0,1912000000.0,659000000.0,1321000000.0,337000000.0,-164000000.0,-378000000.0,163000000.0,2339000000.0,-2238000000.0,-2336000000.0,6161000000.0,,,,-2238000000.0,-2336000000.0,6161000000.0,1423000000.0,5053000000.0,5053000000.0,,165000000.0,-205000000.0,,-1210000000.0,,-1216000000.0,-370000000.0,-3160000000.0,
RAYTHEON TECHNOLOGIES CORP,RTX,I07WOS4YJ0N7YRFE7309,101829,2008.0,Q4,2008-10-01,2008-12-31,,-544000000.0,1912000000.0,659000000.0,350000000.0,67000000.0,-160000000.0,455000000.0,32000000.0,1087000000.0,-2000000.0,-1146000000.0,2020000000.0,,,,-2000000.0,-1146000000.0,2020000000.0,712000000.0,1229000000.0,1229000000.0,,-14000000.0,-263000000.0,,-341000000.0,,-406000000.0,-90000000.0,-690000000.0,
RAYTHEON TECHNOLOGIES CORP,RTX,I07WOS4YJ0N7YRFE7309,101829,2008.0,Q3,2008-07-01,2008-09-30,,-162000000.0,,,326000000.0,185000000.0,-79000000.0,39000000.0,29000000.0,-328000000.0,-1624000000.0,41000000.0,1835000000.0,,,,-1624000000.0,41000000.0,1835000000.0,173000000.0,1370000000.0,1370000000.0,,100000000.0,286000000.0,,-286000000.0,,-268000000.0,-89000000.0,-950000000.0,
RAYTHEON TECHNOLOGIES CORP,RTX,I07WOS4YJ0N7YRFE7309,101829,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-23 06:07:33+00:00,-708000000.0,,,971000000.0,270000000.0,-4000000.0,-833000000.0,131000000.0,1252000000.0,-2236000000.0,-1190000000.0,4141000000.0,,,,-2236000000.0,-1190000000.0,4141000000.0,711000000.0,3824000000.0,3824000000.0,,179000000.0,58000000.0,,-869000000.0,,-810000000.0,-280000000.0,-2470000000.0,
RAYTHEON TECHNOLOGIES CORP,RTX,I07WOS4YJ0N7YRFE7309,101829,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-07-24 06:26:02+00:00,-546000000.0,,,645000000.0,85000000.0,75000000.0,-872000000.0,102000000.0,1580000000.0,-612000000.0,-1231000000.0,2306000000.0,,,,-612000000.0,-1231000000.0,2306000000.0,538000000.0,2454000000.0,2454000000.0,,79000000.0,-228000000.0,,-583000000.0,,-542000000.0,-191000000.0,-1520000000.0,
RAYTHEON TECHNOLOGIES CORP,RTX,I07WOS4YJ0N7YRFE7309,101829,2009.0,FY,2009-01-01,2009-12-31,2011-02-10 06:29:48+00:00,-703000000.0,1396000000.0,704000000.0,1258000000.0,158000000.0,64000000.0,246000000.0,342000000.0,37000000.0,-4191000000.0,-1104000000.0,5353000000.0,,,,-4191000000.0,-1104000000.0,5353000000.0,122000000.0,4179000000.0,4179000000.0,,-330000000.0,267000000.0,,-1356000000.0,,-826000000.0,-2114000000.0,-1100000000.0,
RAYTHEON TECHNOLOGIES CORP,RTX,I07WOS4YJ0N7YRFE7309,101829,2009.0,Q4,2009-10-01,2009-12-31,,-146000000.0,1396000000.0,704000000.0,333000000.0,51000000.0,-2000000.0,559000000.0,130000000.0,37000000.0,-1283000000.0,-373000000.0,1475000000.0,,,,-1283000000.0,-373000000.0,1475000000.0,-183000000.0,1169000000.0,1169000000.0,,-586000000.0,47000000.0,,-338000000.0,,-325000000.0,-792000000.0,-320000000.0,
RAYTHEON TECHNOLOGIES CORP,RTX,I07WOS4YJ0N7YRFE7309,101829,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-25 06:32:15+00:00,-557000000.0,,,925000000.0,107000000.0,66000000.0,-313000000.0,212000000.0,,-2908000000.0,-731000000.0,3878000000.0,,,,-2908000000.0,-731000000.0,3878000000.0,305000000.0,3010000000.0,3010000000.0,,256000000.0,220000000.0,,-1018000000.0,,-501000000.0,-1322000000.0,-780000000.0,
RAYTHEON TECHNOLOGIES CORP,RTX,I07WOS4YJ0N7YRFE7309,101829,2009.0,Q3TTM,2008-10-01,2009-09-30,,-1101000000.0,1912000000.0,659000000.0,1275000000.0,174000000.0,-94000000.0,142000000.0,244000000.0,1087000000.0,-2910000000.0,-1877000000.0,5898000000.0,,,,-2910000000.0,-1877000000.0,5898000000.0,1017000000.0,4239000000.0,4239000000.0,,242000000.0,-43000000.0,,-1359000000.0,,-907000000.0,-1412000000.0,-1470000000.0,
RAYTHEON TECHNOLOGIES CORP,RTX,I07WOS4YJ0N7YRFE7309,101829,2009.0,Q3,2009-07-01,2009-09-30,,-360000000.0,,,316000000.0,63000000.0,90000000.0,261000000.0,111000000.0,-248000000.0,-1123000000.0,-204000000.0,1853000000.0,,,,-1123000000.0,-204000000.0,1853000000.0,616000000.0,1145000000.0,1145000000.0,,131000000.0,254000000.0,,-339000000.0,,-161000000.0,-217000000.0,-430000000.0,
