company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Sysco Corp,SYY,5RGWIFLMGH3YS7KWI652,96021,2008.0,Q2,2008-09-28,2008-12-27,,,,31405000.0,11131000.0,,,-13562000.0,,,,,-531330000.0,-193750000.0,562376000.0,,,,-531330000.0,-100703000.0,498379000.0,27449000.0,0.0,,,-63997000.0,,93047000.0,174665000.0,,,,,,,,
Sysco Corp,SYY,5RGWIFLMGH3YS7KWI652,96021,2008.0,Q2YTD,2008-06-29,2008-12-27,2010-02-02 08:00:55+00:00,-16277000.0,,73830000.0,55577000.0,190609000.0,,-15147000.0,-211256000.0,85628000.0,9316000.0,,-531330000.0,-193750000.0,562376000.0,,,,-531330000.0,-193750000.0,561749000.0,-178478000.0,514468000.0,514468000.0,,68555000.0,2774000.0,-954000.0,,-264687000.0,0.0,-178596000.0,-5610000.0,-358751000.0,,,2077000.0
Sysco Corp,SYY,5RGWIFLMGH3YS7KWI652,96021,2008.0,Q1,2008-06-29,2008-09-27,2009-11-03 08:05:13+00:00,-13534000.0,0.0,42425000.0,44446000.0,94351000.0,0.0,-1585000.0,297364000.0,73535000.0,1153000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-93047000.0,63370000.0,-205927000.0,276814000.0,276814000.0,0.0,19587000.0,3000000.0,-490000.0,0.0,-132383000.0,0.0,-80046000.0,-1581000.0,-118389000.0,0.0,0.0,1023000.0
Sysco Corp,SYY,5RGWIFLMGH3YS7KWI652,96021,2009.0,Q2,2009-09-27,2009-12-26,,-827000.0,,424871000.0,8161000.0,95522000.0,,1957000.0,84033000.0,15007000.0,2163000.0,,-127865000.0,-177794000.0,104817000.0,,,,-127865000.0,-177794000.0,104817000.0,-198885000.0,268349000.0,268349000.0,,-343087000.0,10000.0,-6928000.0,,-142037000.0,-32945000.0,-138170000.0,-3008000.0,,,,1076000.0
Sysco Corp,SYY,5RGWIFLMGH3YS7KWI652,96021,2009.0,Q3YTD,2008-06-29,2009-03-28,2010-05-04 08:00:32+00:00,-53868000.0,,510147000.0,100469000.0,284153000.0,,-17944000.0,-147808000.0,98452000.0,502460000.0,,-252587000.0,-366629000.0,984725000.0,,,,-252587000.0,-366629000.0,984725000.0,347565000.0,740634000.0,740634000.0,,107746000.0,2818000.0,-1127000.0,,-406689000.0,0.0,-314858000.0,-10785000.0,-438843000.0,,0.0,3224000.0
Sysco Corp,SYY,5RGWIFLMGH3YS7KWI652,96021,2009.0,Q3,2008-12-28,2009-03-28,,-44707000.0,,-249557000.0,32799000.0,94725000.0,,-24456000.0,-130440000.0,61538000.0,497880000.0,,-5189000.0,-17328000.0,838304000.0,,,,-5189000.0,-17328000.0,838304000.0,791331000.0,146080000.0,146080000.0,,727939000.0,2343000.0,33698000.0,,-122923000.0,60162000.0,-67283000.0,-5184000.0,-438843000.0,,,802000.0
Sysco Corp,SYY,5RGWIFLMGH3YS7KWI652,96021,2010.0,Q4,2010-03-28,2010-07-03,,-8413000.0,,168609000.0,7691000.0,105763000.0,,-4557000.0,-57658000.0,40682000.0,1672000.0,,-245896000.0,-159857000.0,408899000.0,,,,-245896000.0,-159857000.0,408899000.0,-1411000.0,337781000.0,337781000.0,,23013000.0,250000.0,11102000.0,,-147847000.0,-24195000.0,-156533000.0,-2499000.0,-138154000.0,,578000.0,17604000.0
Sysco Corp,SYY,5RGWIFLMGH3YS7KWI652,96021,2010.0,FY,2009-06-28,2010-07-03,2012-08-27 18:21:50+00:00,-29293000.0,,1141963000.0,127411000.0,389976000.0,,4714000.0,-515910000.0,94750000.0,7091000.0,,-667030000.0,-656320000.0,885428000.0,,,,-667030000.0,-656320000.0,885428000.0,-433208000.0,1179983000.0,1179983000.0,,-168621000.0,768000.0,-30630000.0,,-579763000.0,-85071000.0,-594604000.0,-10702000.0,-179174000.0,,61568000.0,21710000.0
Sysco Corp,SYY,5RGWIFLMGH3YS7KWI652,96021,2010.0,Q3,2009-12-27,2010-03-27,,-11719000.0,,213650000.0,52050000.0,94785000.0,,2759000.0,80768000.0,17154000.0,839000.0,,-173736000.0,-147162000.0,330108000.0,,,,-173736000.0,-147162000.0,330108000.0,11969000.0,247648000.0,247648000.0,,-93093000.0,43000.0,-6907000.0,,-148150000.0,-714000.0,-190496000.0,-2602000.0,-41020000.0,,60990000.0,1684000.0
Sysco Corp,SYY,5RGWIFLMGH3YS7KWI652,96021,2010.0,Q2,2009-09-27,2009-12-26,,-827000.0,,424871000.0,8161000.0,95522000.0,,1957000.0,-384636000.0,15007000.0,2163000.0,,-127865000.0,-177794000.0,104817000.0,,,,-127865000.0,-177794000.0,104817000.0,-198885000.0,268349000.0,268349000.0,,125582000.0,10000.0,-6928000.0,,-142037000.0,-32945000.0,-138170000.0,-3008000.0,,,,1076000.0
