company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Global Payments Inc,GPN,,1123360,2008.0,FY,2008-06-01,2009-05-31,2011-07-25 16:03:44+00:00,-525205000.0,30854000.0,35434000.0,,-14324000.0,50640000.0,9408000.0,208647000.0,161485000.0,-559257000.0,382971000.0,,161485000.0,-559257000.0,382971000.0,-29125000.0,74178000.0,74178000.0,191865000.0,880000.0,,,-40716000.0,,-40940000.0,-16734000.0,,6888000.0,
Global Payments Inc,GPN,,1123360,2009.0,Q4,2010-03-01,2010-05-31,,-12454000.0,8176000.0,10066000.0,60231000.0,-3761000.0,67714000.0,9549000.0,69454000.0,-44360000.0,28727000.0,163334000.0,-15770000.0,-44360000.0,28727000.0,147564000.0,128170000.0,39031000.0,39031000.0,38347000.0,2607000.0,,,-3643000.0,470000.0,-19534000.0,-24247000.0,-98080000.0,14000.0,
Global Payments Inc,GPN,,1123360,2009.0,FY,2009-06-01,2010-05-31,2011-07-25 16:03:44+00:00,-29513000.0,32803000.0,35864000.0,60231000.0,-1796000.0,108135000.0,30248000.0,374757000.0,-95750000.0,-25204000.0,465761000.0,,-95750000.0,-25204000.0,465761000.0,343011000.0,219109000.0,219109000.0,69850000.0,7186000.0,,,-26981000.0,-179000.0,-56054000.0,-75205000.0,-405755000.0,311000.0,
Global Payments Inc,GPN,,1123360,2009.0,Q3,2009-12-01,2010-02-28,,,8363000.0,8357000.0,,-4557000.0,-546186000.0,2682000.0,2816000.0,1107000.0,-15947000.0,-466945000.0,-80000.0,1107000.0,-15947000.0,-467025000.0,-486422000.0,51452000.0,51452000.0,11069000.0,542000.0,,,-3835000.0,-148000.0,-15843000.0,-1098000.0,,44000.0,
Global Payments Inc,GPN,,1123360,2009.0,Q3YTD,2009-06-01,2010-02-28,2011-04-01 16:02:52+00:00,-17059000.0,24627000.0,25798000.0,,1965000.0,40421000.0,20699000.0,305303000.0,-51390000.0,-53931000.0,302427000.0,15770000.0,-51390000.0,-53931000.0,318197000.0,214841000.0,180078000.0,180078000.0,31503000.0,4579000.0,,,-23338000.0,-649000.0,-36520000.0,-50958000.0,-307675000.0,297000.0,
Global Payments Inc,GPN,,1123360,2009.0,Q2,2009-09-01,2009-11-30,,-16810000.0,8344000.0,8439000.0,,4825000.0,-20920000.0,13969000.0,52000.0,-10803000.0,-26887000.0,72864000.0,15850000.0,-10803000.0,-26887000.0,88714000.0,55849000.0,66182000.0,66182000.0,10819000.0,1438000.0,,,-3889000.0,-501000.0,-9576000.0,-22373000.0,,,
Global Payments Inc,GPN,,1123360,2009.0,Q2YTD,2009-06-01,2009-11-30,2011-01-07 19:26:56+00:00,-17059000.0,16264000.0,17441000.0,,6522000.0,586607000.0,18017000.0,302487000.0,-52497000.0,-37984000.0,769372000.0,15850000.0,-52497000.0,-37984000.0,785222000.0,701263000.0,128626000.0,128626000.0,20434000.0,4037000.0,,,-19503000.0,-501000.0,-20677000.0,-49860000.0,-307675000.0,253000.0,
Global Payments Inc,GPN,,1123360,2009.0,Q1,2009-06-01,2009-08-31,2010-10-12 16:03:53+00:00,-249000.0,7920000.0,9002000.0,,1697000.0,607527000.0,4048000.0,302435000.0,-41694000.0,-11097000.0,696508000.0,,-41694000.0,-11097000.0,696508000.0,645414000.0,62444000.0,62444000.0,9615000.0,2599000.0,,,-15614000.0,,-11101000.0,-27487000.0,-307675000.0,253000.0,
Global Payments Inc,GPN,,1123360,2010.0,Q4,2011-03-01,2011-05-31,,-193000.0,14206000.0,11512000.0,,6367000.0,-120793000.0,6292000.0,84927000.0,64115000.0,-21743000.0,-22917000.0,-602000.0,64115000.0,-21743000.0,-23519000.0,25220000.0,62357000.0,62357000.0,9801000.0,7806000.0,1406000.0,,-3708000.0,,-21442000.0,-31202000.0,,-1514000.0,
Global Payments Inc,GPN,,1123360,2010.0,FY,2010-06-01,2011-05-31,2012-09-28 13:35:27+00:00,-167968000.0,41692000.0,40545000.0,,27464000.0,365891000.0,18364000.0,396856000.0,114123000.0,-267020000.0,709772000.0,,114123000.0,-267020000.0,709772000.0,584339000.0,228156000.0,228156000.0,33488000.0,9141000.0,-515000.0,,-15140000.0,,-98537000.0,-280198000.0,-14900000.0,0.0,
