company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Global Payments Inc,GPN,,1123360,2009.0,FY,,2010-05-31,2011-07-25 16:03:44+00:00,173575000.0,132481000.0,-44255000.0,769946000.0,0.0,460747000.0,2752000.0,6430000.0,569090000.0,205110000.0,272965000.0,9740000.0,183938000.0,10253000.0,90470000.0,88265000.0,13741000.0,265110000.0,,22454000.0,31436000.0,39604000.0,102672000.0,544772000.0,227356000.0,2039326000.0,861264000.0,968264000.0,672471000.0,861264000.0,871517000.0,1065137000.0,2039326000.0,887124000.0,392666000.0,0.0,-100000000.0
Global Payments Inc,GPN,,1123360,2010.0,FY,,2011-05-31,2011-10-11 09:54:19+00:00,241578000.0,167454000.0,79320000.0,1354285000.0,0.0,419591000.0,2946000.0,7674000.0,779637000.0,341500000.0,268217000.0,7640000.0,256301000.0,153282000.0,104140000.0,116432000.0,280359000.0,838565000.0,,20978000.0,49843000.0,35291000.0,133858000.0,685624000.0,356547000.0,3350531000.0,1184535000.0,1847975000.0,1444364000.0,1184535000.0,1337817000.0,1878856000.0,3350531000.0,1246255000.0,434492000.0,0.0,
Global Payments Inc,GPN,,1123360,2010.0,Q3,,2011-02-28,2011-04-01 16:02:52+00:00,200179000.0,137653000.0,49283000.0,1329065000.0,,484757000.0,4288000.0,3987000.0,765714000.0,347639000.0,301319000.0,9834000.0,244349000.0,143107000.0,101252000.0,101702000.0,65834000.0,765020000.0,,23752000.0,45571000.0,23038000.0,126559000.0,675182000.0,268732000.0,3052418000.0,1096242000.0,1569712000.0,1237918000.0,1096242000.0,1239349000.0,1686510000.0,3052418000.0,1238357000.0,448592000.0,0.0,-112980000.0
Global Payments Inc,GPN,,1123360,2010.0,Q2,,2010-11-30,2011-01-07 19:26:56+00:00,177879000.0,149366000.0,-4457000.0,663660000.0,,469372000.0,4027000.0,9244000.0,590911000.0,198687000.0,202610000.0,7737000.0,219944000.0,9936000.0,96080000.0,95426000.0,82101000.0,94887000.0,,22310000.0,38825000.0,21767000.0,115279000.0,636594000.0,323975000.0,2056590000.0,988529000.0,928658000.0,605985000.0,988529000.0,998465000.0,942846000.0,2056590000.0,907988000.0,336861000.0,0.0,-112980000.0
Global Payments Inc,GPN,,1123360,2010.0,Q1,,2010-08-31,2010-10-12 16:03:53+00:00,180059000.0,150777000.0,-20413000.0,578213000.0,,462874000.0,4028000.0,233000.0,582252000.0,202908000.0,238248000.0,6731000.0,202928000.0,10237000.0,93838000.0,89858000.0,44254000.0,105686000.0,,21550000.0,35317000.0,21266000.0,105154000.0,592439000.0,222033000.0,1908745000.0,921920000.0,805269000.0,508011000.0,921920000.0,932157000.0,871434000.0,1908745000.0,900548000.0,363423000.0,0.0,-112980000.0
Global Payments Inc,GPN,,1123360,2011.0,Q1,,2011-08-31,2011-10-11 09:54:19+00:00,217978000.0,178451000.0,70350000.0,723952000.0,0.0,350493000.0,2935000.0,17317000.0,775505000.0,326994000.0,285766000.0,10454000.0,255664000.0,156023000.0,99013000.0,122133000.0,288684000.0,162116000.0,,20403000.0,52701000.0,33103000.0,138437000.0,736868000.0,404976000.0,2715158000.0,1157711000.0,1237579000.0,802387000.0,1157711000.0,1313734000.0,1262987000.0,2715158000.0,1221915000.0,460600000.0,0.0,
Global Payments Inc,GPN,,1123360,2012.0,FY,,2012-05-31,2013-07-25 17:20:18+00:00,316313000.0,183991000.0,-30000000.0,781275000.0,0.0,358728000.0,21969000.0,12283000.0,724687000.0,290188000.0,236565000.0,9864000.0,305848000.0,128737000.0,97235000.0,106644000.0,217994000.0,216878000.0,,21446000.0,62306000.0,33646000.0,144422000.0,843456000.0,291811000.0,2688143000.0,1172184000.0,1248739000.0,837285000.0,1172184000.0,1300921000.0,1242800000.0,2688143000.0,1133556000.0,405515000.0,0.0,
Global Payments Inc,GPN,,1123360,2012.0,Q3,,2012-02-29,2012-04-02 07:26:29+00:00,213613000.0,157191000.0,33299000.0,735733000.0,0.0,354191000.0,3943000.0,19289000.0,760972000.0,318843000.0,177846000.0,12380000.0,288428000.0,137330000.0,98585000.0,120748000.0,179515000.0,221247000.0,,23644000.0,56803000.0,37737000.0,141897000.0,842487000.0,298221000.0,2616971000.0,1229977000.0,1126499000.0,752370000.0,1229977000.0,1367307000.0,1107767000.0,2616971000.0,1202044000.0,355397000.0,0.0,
Global Payments Inc,GPN,,1123360,2012.0,Q2,,2011-11-30,2012-01-06 16:26:08+00:00,206420000.0,163667000.0,12909000.0,770860000.0,0.0,342914000.0,2893000.0,17076000.0,741081000.0,299680000.0,203222000.0,11790000.0,258041000.0,147459000.0,96508000.0,115157000.0,206642000.0,270290000.0,,28619000.0,54788000.0,34558000.0,139934000.0,790532000.0,313638000.0,2614339000.0,1146355000.0,1190410000.0,807424000.0,1146355000.0,1293814000.0,1180591000.0,2614339000.0,1165888000.0,373167000.0,0.0,
Global Payments Inc,GPN,,1123360,2013.0,FY,,2013-05-31,2014-07-29 17:14:21+00:00,262890000.0,190591000.0,-15062000.0,680470000.0,0.0,202396000.0,6485000.0,18870000.0,1044222000.0,400848000.0,891134000.0,11057000.0,348064000.0,140522000.0,95178000.0,170723000.0,259204000.0,162558000.0,,22252000.0,72478000.0,66685000.0,,958751000.0,259796000.0,3125056000.0,1146085000.0,1214492000.0,704114000.0,1146085000.0,1286607000.0,1838449000.0,3125056000.0,1562500000.0,1134335000.0,0.0,
