company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,assetretirementandlitigationobligation,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxliabilities,goodwill,grossppe,longtermdebt,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,notereceivable,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2008.0,FY,,2008-12-31,2010-02-23 11:22:06+00:00,3166000000.0,1687000000.0,898000000.0,10026000000.0,-441000000.0,,2360000000.0,,5743000000.0,,5413000000.0,47073000000.0,9128000000.0,37047000000.0,361000000.0,9974000000.0,,1048000000.0,,,1368000000.0,3390000000.0,1739000000.0,14179000000.0,1472000000.0,48923000000.0,18795000000.0,5095000000.0,5536000000.0,18795000000.0,19156000000.0,29767000000.0,48923000000.0,6781000000.0,24231000000.0,-686000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2009.0,FY,,2009-12-31,2011-02-23 09:14:47+00:00,2876000000.0,2052000000.0,948000000.0,13140000000.0,-512000000.0,,3531000000.0,,7293000000.0,,5322000000.0,50344000000.0,11149000000.0,37204000000.0,487000000.0,9925000000.0,,500000000.0,,,1514000000.0,3211000000.0,1599000000.0,13868000000.0,,50123000000.0,19928000000.0,6083000000.0,3824000000.0,19928000000.0,20415000000.0,29708000000.0,50123000000.0,6836000000.0,25884000000.0,-721000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2009.0,Q3,,2009-09-30,2009-11-03 11:25:15+00:00,2043000000.0,1849000000.0,839000000.0,12421000000.0,-395000000.0,,3586000000.0,,7234000000.0,,5323000000.0,49124000000.0,11141000000.0,36703000000.0,365000000.0,10174000000.0,,621000000.0,,,1394000000.0,3455000000.0,1639000000.0,13684000000.0,0.0,49476000000.0,19820000000.0,6056000000.0,2882000000.0,19820000000.0,20185000000.0,29291000000.0,49476000000.0,6717000000.0,26409000000.0,-703000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2009.0,Q2,,2009-06-30,2009-08-04 11:05:09+00:00,2635000000.0,1538000000.0,787000000.0,11534000000.0,-409000000.0,,3527000000.0,0.0,7173000000.0,,5332000000.0,48443000000.0,12873000000.0,36909000000.0,364000000.0,9857000000.0,,581000000.0,,,1485000000.0,3259000000.0,,13528000000.0,0.0,49372000000.0,19597000000.0,5646000000.0,3422000000.0,19597000000.0,19961000000.0,29411000000.0,49372000000.0,6817000000.0,25989000000.0,-695000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2010.0,FY,,2010-12-31,2012-02-21 16:18:27+00:00,2726000000.0,2423000000.0,1097000000.0,16858000000.0,-549000000.0,1529000000.0,3680000000.0,,7547000000.0,,5311000000.0,54815000000.0,12722000000.0,37957000000.0,755000000.0,9861000000.0,,572000000.0,,,1616000000.0,1894000000.0,,14449000000.0,291000000.0,51559000000.0,20684000000.0,6675000000.0,4114000000.0,20684000000.0,21439000000.0,30120000000.0,51559000000.0,6927000000.0,26006000000.0,-763000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2010.0,Q3,,2010-09-30,2010-11-01 16:32:08+00:00,2904000000.0,2069000000.0,1082000000.0,15999000000.0,-493000000.0,,4218000000.0,,7496000000.0,,5312000000.0,53710000000.0,12753000000.0,37711000000.0,515000000.0,9820000000.0,,793000000.0,,,1723000000.0,3405000000.0,,14382000000.0,718000000.0,51826000000.0,20629000000.0,7080000000.0,4704000000.0,20629000000.0,21144000000.0,30682000000.0,51826000000.0,7035000000.0,25978000000.0,-756000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2010.0,Q2,,2010-06-30,2010-08-23 16:15:50+00:00,2778000000.0,2106000000.0,982000000.0,15035000000.0,-507000000.0,,3374000000.0,,7458000000.0,,5313000000.0,52654000000.0,10093000000.0,37619000000.0,550000000.0,9746000000.0,,594000000.0,,,1541000000.0,3485000000.0,1349000000.0,14454000000.0,909000000.0,50547000000.0,20655000000.0,6074000000.0,4669000000.0,20655000000.0,21205000000.0,29342000000.0,50547000000.0,6854000000.0,24673000000.0,-750000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2010.0,Q1,,2010-03-31,2010-05-04 11:54:10+00:00,2449000000.0,2099000000.0,972000000.0,14069000000.0,-522000000.0,,3692000000.0,,7399000000.0,,5313000000.0,51422000000.0,11110000000.0,37353000000.0,458000000.0,9952000000.0,,611000000.0,,,1640000000.0,3273000000.0,1349000000.0,14539000000.0,478000000.0,50708000000.0,20667000000.0,6402000000.0,3899000000.0,20667000000.0,21125000000.0,29583000000.0,50708000000.0,6953000000.0,25684000000.0,-749000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2011.0,FY,,2011-12-31,2013-02-19 17:11:05+00:00,3299000000.0,1269000000.0,1430000000.0,22580000000.0,-612000000.0,1737000000.0,2697000000.0,,7902000000.0,,5831000000.0,60081000000.0,15060000000.0,37501000000.0,878000000.0,8479000000.0,1990000000.0,975000000.0,,,1516000000.0,2621000000.0,,11619000000.0,170000000.0,51779000000.0,18105000000.0,6931000000.0,4899000000.0,18105000000.0,18983000000.0,32796000000.0,51779000000.0,7347000000.0,27897000000.0,-804000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2011.0,Q3,,2011-09-30,2011-10-31 17:12:41+00:00,2446000000.0,3428000000.0,1259000000.0,20069000000.0,-501000000.0,1584000000.0,3487000000.0,,7896000000.0,,5832000000.0,58185000000.0,12808000000.0,38116000000.0,875000000.0,8670000000.0,,689000000.0,4017000000.0,,1510000000.0,2638000000.0,,12023000000.0,141000000.0,53062000000.0,18624000000.0,7604000000.0,7863000000.0,18624000000.0,19499000000.0,33563000000.0,53062000000.0,7342000000.0,25700000000.0,-794000000.0
