company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,explorationexpense,impairmentexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 11:22:06+00:00,8.03,8.03,0.36,2840000000.0,8.01,905000000.0,51000000.0,2559000000.0,,3778000000.0,3767000000.0,11000000.0,3778000000.0,0.0,2579000000.0,11656000000.0,-462000000.0,1234000000.0,,-4760000000.0,,936000000.0,2579000000.0,9077000000.0,1083000000.0,1206000000.0,7871000000.0,-1545000000.0,6326000000.0,11656000000.0,470500000.0,465000000.0,467000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2008.0,FY,2008-01-01,2008-12-31,2011-02-23 09:14:47+00:00,6.92,6.92,0.36,3194000000.0,6.91,1369000000.0,223000000.0,2148000000.0,,3283000000.0,3220000000.0,63000000.0,3260000000.0,23000000.0,2457000000.0,14079000000.0,499000000.0,1452000000.0,,-1083000000.0,,866000000.0,2457000000.0,11622000000.0,732000000.0,6021000000.0,5601000000.0,-233000000.0,5368000000.0,14079000000.0,471100000.0,465000000.0,466000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2008.0,Q3,2008-07-01,2008-09-30,2009-11-03 11:25:15+00:00,4.59,4.59,0.09,844000000.0,4.58,373000000.0,56000000.0,1181000000.0,,2175000000.0,2174000000.0,1000000.0,2165000000.0,10000000.0,679000000.0,6209000000.0,-22000000.0,424000000.0,,60000000.0,,216000000.0,679000000.0,5530000000.0,180000000.0,1973000000.0,3557000000.0,-202000000.0,3355000000.0,6209000000.0,471700000.0,466000000.0,467000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2008.0,Q2,2008-04-01,2008-06-30,2009-08-04 11:05:09+00:00,0.05,0.05,0.09,784000000.0,0.05,264000000.0,11000000.0,236000000.0,523000000.0,28000000.0,21000000.0,7000000.0,23000000.0,5000000.0,611000000.0,2416000000.0,14000000.0,,,-370000000.0,,199000000.0,611000000.0,1805000000.0,151000000.0,1411000000.0,394000000.0,-137000000.0,257000000.0,2416000000.0,460000000.0,468000000.0,469000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2009.0,FY,2009-01-01,2009-12-31,2012-02-21 16:18:27+00:00,-0.28,-0.28,0.36,3532000000.0,-0.28,1107000000.0,115000000.0,-5000000.0,,-103000000.0,-103000000.0,,-135000000.0,32000000.0,2140000000.0,9000000000.0,217000000.0,746000000.0,,,,983000000.0,2140000000.0,6860000000.0,702000000.0,6483000000.0,377000000.0,-485000000.0,-108000000.0,9000000000.0,482100000.0,480000000.0,480000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2009.0,Q4,2009-10-01,2009-12-31,,0.53,0.53,0.09,884000000.0,0.53,294000000.0,36000000.0,137000000.0,,238000000.0,238000000.0,,229000000.0,9000000.0,484000000.0,1205000000.0,382000000.0,-408000000.0,582000000.0,-19000000.0,,325000000.0,484000000.0,1303000000.0,198000000.0,1112000000.0,191000000.0,184000000.0,375000000.0,1787000000.0,482100000.0,480000000.0,480000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2009.0,Q3,2009-07-01,2009-09-30,2010-11-01 16:32:08+00:00,0.4,0.4,0.09,909000000.0,0.4,224000000.0,5000000.0,207000000.0,,206000000.0,206000000.0,,200000000.0,6000000.0,521000000.0,2824000000.0,-245000000.0,213000000.0,,-50000000.0,,223000000.0,521000000.0,2303000000.0,121000000.0,1524000000.0,779000000.0,-366000000.0,413000000.0,2824000000.0,500000000.0,491000000.0,493000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2009.0,Q3YTD,2009-01-01,2009-09-30,,-0.81,-0.81,0.27,2648000000.0,-0.81,813000000.0,79000000.0,-142000000.0,,-341000000.0,-341000000.0,,-364000000.0,23000000.0,1656000000.0,6469000000.0,-165000000.0,543000000.0,,-114000000.0,,658000000.0,1656000000.0,4813000000.0,504000000.0,4627000000.0,186000000.0,-669000000.0,-483000000.0,6469000000.0,500000000.0,491000000.0,493000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2009.0,Q2,2009-04-01,2009-06-30,2010-08-23 16:15:50+00:00,-0.48,-0.48,0.09,933000000.0,-0.48,288000000.0,23000000.0,-135000000.0,,-216000000.0,-216000000.0,,-226000000.0,10000000.0,585000000.0,1894000000.0,172000000.0,180000000.0,,-19000000.0,,226000000.0,585000000.0,1309000000.0,201000000.0,1631000000.0,-322000000.0,-29000000.0,-351000000.0,1894000000.0,470800000.0,477000000.0,477000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2009.0,Q2YTD,2009-01-01,2009-06-30,,-1.21,-1.21,0.18,1739000000.0,-1.21,589000000.0,74000000.0,-349000000.0,,-547000000.0,-547000000.0,,-564000000.0,17000000.0,1135000000.0,3645000000.0,80000000.0,330000000.0,,-64000000.0,,435000000.0,1135000000.0,2510000000.0,383000000.0,3103000000.0,-593000000.0,-303000000.0,-896000000.0,3645000000.0,470800000.0,477000000.0,477000000.0
