company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofplantpropertyandequipment
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 11:22:06+00:00,-4346000000.0,2840000000.0,,,-39000000.0,114000000.0,5024000000.0,-5921000000.0,3844000000.0,2766000000.0,-66000000.0,134000000.0,-5921000000.0,3778000000.0,2900000000.0,757000000.0,3778000000.0,3767000000.0,11000000.0,-3802000000.0,-335000000.0,-70000000.0,-170000000.0,,-10518000000.0,-35000000.0,-1000000.0,8260000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2008.0,FY,2008-01-01,2008-12-31,2011-02-23 09:14:47+00:00,,3194000000.0,,,-327000000.0,25000000.0,4000000.0,-2822000000.0,-2528000000.0,6447000000.0,,-5000000.0,-2822000000.0,-2528000000.0,6442000000.0,1092000000.0,3283000000.0,3220000000.0,63000000.0,360000000.0,432000000.0,-182000000.0,-186000000.0,-4801000000.0,-2421000000.0,-631000000.0,-45000000.0,2455000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2008.0,Q4,2008-10-01,2008-12-31,,3354000000.0,756000000.0,,,-890000000.0,6000000.0,3000000.0,-348000000.0,340000000.0,388000000.0,,-1000000.0,-348000000.0,340000000.0,387000000.0,379000000.0,794000000.0,789000000.0,5000000.0,-267000000.0,63000000.0,20000000.0,-54000000.0,-4801000000.0,-354000000.0,-12000000.0,,1767000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2008.0,Q3,2008-07-01,2008-09-30,,-1150000000.0,844000000.0,,,112000000.0,4000000.0,,-1009000000.0,-1214000000.0,3555000000.0,,-4000000.0,-1009000000.0,-1214000000.0,3551000000.0,1328000000.0,2175000000.0,2174000000.0,1000000.0,425000000.0,-12000000.0,-88000000.0,-45000000.0,,-341000000.0,-615000000.0,,24000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-03 11:25:15+00:00,-3354000000.0,2438000000.0,,,563000000.0,19000000.0,1000000.0,-2474000000.0,-2868000000.0,6059000000.0,,-4000000.0,-2474000000.0,-2868000000.0,6055000000.0,713000000.0,2489000000.0,2431000000.0,58000000.0,627000000.0,369000000.0,-202000000.0,-132000000.0,,-2067000000.0,-619000000.0,-45000000.0,688000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-04 11:05:09+00:00,-2204000000.0,1594000000.0,,,451000000.0,15000000.0,1000000.0,-1465000000.0,-1654000000.0,2504000000.0,,,-1465000000.0,-1654000000.0,2504000000.0,-615000000.0,314000000.0,257000000.0,57000000.0,202000000.0,381000000.0,-114000000.0,-87000000.0,,-1726000000.0,-4000000.0,-45000000.0,664000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2009.0,FY,2009-01-01,2009-12-31,2012-02-21 16:18:27+00:00,,3532000000.0,,,303000000.0,120000000.0,1978000000.0,1481000000.0,-4236000000.0,3926000000.0,,,1481000000.0,-4236000000.0,3926000000.0,1171000000.0,-103000000.0,-103000000.0,,194000000.0,1198000000.0,-60000000.0,-205000000.0,-4352000000.0,-1610000000.0,,,176000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2009.0,Q4,2009-10-01,2009-12-31,,2934000000.0,884000000.0,,,-999000000.0,9000000.0,3000000.0,153000000.0,-1308000000.0,1100000000.0,,,153000000.0,-1308000000.0,1100000000.0,-55000000.0,238000000.0,238000000.0,,977000000.0,251000000.0,47000000.0,-52000000.0,-4352000000.0,-40000000.0,-18000000.0,,63000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-01 16:32:08+00:00,-2934000000.0,2648000000.0,,,402000000.0,1363000000.0,1975000000.0,1328000000.0,-2928000000.0,2826000000.0,,,1328000000.0,-2928000000.0,2826000000.0,1226000000.0,-341000000.0,-341000000.0,,117000000.0,-270000000.0,-107000000.0,-153000000.0,,-1570000000.0,-17000000.0,,113000000.0
Anadarko Petroleum Corp,APC,B78FQ7XBQFLP4AYJ6F79,773910,2009.0,Q3TTM,2008-10-01,2009-09-30,,420000000.0,3404000000.0,,,-488000000.0,1369000000.0,1978000000.0,980000000.0,-2588000000.0,3214000000.0,,-1000000.0,980000000.0,-2588000000.0,3213000000.0,1605000000.0,453000000.0,448000000.0,5000000.0,-150000000.0,-207000000.0,-87000000.0,-207000000.0,-4801000000.0,-1924000000.0,-29000000.0,,1880000000.0
