company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Endo International PLC,ENDP,5493007TBMWZWGZIB256,1593034,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 17:08:50+00:00,-15000000.0,13833000.0,142660000.0,3373000.0,46445000.0,,,7280000.0,50371000.0,370740000.0,,-110066000.0,179807000.0,355627000.0,-110066000.0,179807000.0,355627000.0,425368000.0,255336000.0,255336000.0,32733000.0,1871000.0,-101667000.0,,,-134211000.0,-17428000.0,-108232000.0,-424816000.0,,448086000.0,27000.0
Endo International PLC,ENDP,5493007TBMWZWGZIB256,1593034,2009.0,Q4,2009-10-01,2009-12-31,,,5221000.0,34152000.0,4178000.0,23899000.0,,,-173191000.0,,,,-4622000.0,179940000.0,76391000.0,-4622000.0,179940000.0,76391000.0,251709000.0,147848000.0,147848000.0,72614000.0,608000.0,169765000.0,,,,-4600000.0,-5230000.0,,,14775000.0,
Endo International PLC,ENDP,5493007TBMWZWGZIB256,1593034,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 17:19:07+00:00,-250359000.0,19503000.0,126431000.0,19265000.0,80381000.0,,,-152057000.0,,,,-117128000.0,-245509000.0,295406000.0,-117128000.0,-245509000.0,295406000.0,-67231000.0,266336000.0,266336000.0,81243000.0,8754000.0,-6485000.0,,,,-12415000.0,-125882000.0,,,23750000.0,
Endo International PLC,ENDP,5493007TBMWZWGZIB256,1593034,2009.0,Q3,2009-07-01,2009-09-30,,-813000.0,4983000.0,36713000.0,-5934000.0,21835000.0,,,-949000.0,,,,-115988000.0,-691000.0,78443000.0,-115988000.0,-691000.0,78443000.0,-38236000.0,49422000.0,49422000.0,3152000.0,935000.0,,,,,-1803000.0,-116923000.0,,,1925000.0,
Endo International PLC,ENDP,5493007TBMWZWGZIB256,1593034,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-02 08:00:33+00:00,-250359000.0,14282000.0,92279000.0,15087000.0,56482000.0,,,21134000.0,,,,-112506000.0,-425449000.0,219015000.0,-112506000.0,-425449000.0,219015000.0,-318940000.0,118488000.0,118488000.0,8629000.0,8146000.0,-176250000.0,,,,-7815000.0,-120652000.0,,,8975000.0,
Endo International PLC,ENDP,5493007TBMWZWGZIB256,1593034,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-02 09:26:02+00:00,-249546000.0,9299000.0,55566000.0,21021000.0,34647000.0,,,22083000.0,,,,3482000.0,-424758000.0,140572000.0,3482000.0,-424758000.0,140572000.0,-280704000.0,69066000.0,69066000.0,5477000.0,7211000.0,-176250000.0,,,,-6012000.0,-3729000.0,,,7050000.0,
Endo International PLC,ENDP,5493007TBMWZWGZIB256,1593034,2010.0,Q4,2010-10-01,2010-12-31,,-771691000.0,4529000.0,33854000.0,7874000.0,38545000.0,,,-7305000.0,,787042000.0,,302352000.0,-780875000.0,170662000.0,302352000.0,-780875000.0,170662000.0,-307861000.0,105733000.0,105733000.0,29160000.0,12025000.0,1248000.0,,-14807000.0,-2473000.0,-8573000.0,-481908000.0,,,258000.0,356000.0
Endo International PLC,ENDP,5493007TBMWZWGZIB256,1593034,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 16:22:49+00:00,-1105040000.0,22013000.0,143529000.0,22187000.0,108404000.0,0.0,0.0,-23168000.0,0.0,788272000.0,,200429000.0,-896323000.0,453646000.0,200429000.0,-896323000.0,453646000.0,-242248000.0,287020000.0,287020000.0,59377000.0,-17173000.0,-400000.0,,-29503000.0,-2473000.0,-19891000.0,-482193000.0,-58974000.0,,231125000.0,356000.0
Endo International PLC,ENDP,5493007TBMWZWGZIB256,1593034,2010.0,Q3TTM,2009-10-01,2010-09-30,,-333349000.0,22705000.0,143827000.0,18491000.0,93758000.0,,,-189054000.0,,1230000.0,,-106545000.0,64492000.0,359375000.0,-106545000.0,64492000.0,359375000.0,317322000.0,329135000.0,329135000.0,102831000.0,-28590000.0,168117000.0,,-14696000.0,,-15918000.0,-5515000.0,-58974000.0,,245642000.0,
Endo International PLC,ENDP,5493007TBMWZWGZIB256,1593034,2010.0,Q3,2010-07-01,2010-09-30,,-333349000.0,5920000.0,29974000.0,5301000.0,26904000.0,,,-1007000.0,,1230000.0,,-54591000.0,-270233000.0,106628000.0,-54591000.0,-270233000.0,106628000.0,-218196000.0,69472000.0,69472000.0,5339000.0,-32102000.0,-824000.0,,-14696000.0,,-5152000.0,-113000.0,-8910000.0,,69092000.0,
