company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,othernetchangesincash,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Chipotle Mexican Grill Inc,CMG,,1058090,2008.0,FY,2008-01-01,2008-12-31,2011-02-17 15:19:20+00:00,0.0,,37568000.0,52770000.0,,23075000.0,,,-29548000.0,-232091000.0,198507000.0,-29548000.0,-232091000.0,198507000.0,-63132000.0,78202000.0,78202000.0,44460000.0,679000.0,,-99990000.0,-152101000.0,,-30227000.0,20000000.0,
Chipotle Mexican Grill Inc,CMG,,1058090,2009.0,Q4,2009-10-01,2009-12-31,,,,53644000.0,15940000.0,,32823000.0,,,-13544000.0,-86916000.0,81580000.0,-13544000.0,-86916000.0,81580000.0,-18880000.0,31596000.0,31596000.0,1221000.0,544000.0,,-50000000.0,-36916000.0,,-14088000.0,,
Chipotle Mexican Grill Inc,CMG,,1058090,2009.0,FY,2009-01-01,2009-12-31,2012-02-10 17:21:46+00:00,,,53644000.0,61308000.0,,42644000.0,,,-61943000.0,-67208000.0,260673000.0,-61943000.0,-67208000.0,260673000.0,131522000.0,126845000.0,126845000.0,29876000.0,22146000.0,,-50000000.0,-117198000.0,,-84089000.0,99990000.0,
Chipotle Mexican Grill Inc,CMG,,1058090,2009.0,Q3,2009-07-01,2009-09-30,,,,,15451000.0,,4373000.0,,,-5811000.0,-28473000.0,64431000.0,-5811000.0,-28473000.0,64431000.0,30147000.0,34464000.0,34464000.0,10143000.0,6673000.0,,,-28473000.0,,-12484000.0,,
Chipotle Mexican Grill Inc,CMG,,1058090,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-22 14:52:03+00:00,,,,45368000.0,0.0,9821000.0,,,-48399000.0,19708000.0,179093000.0,-48399000.0,19708000.0,179093000.0,150402000.0,95249000.0,95249000.0,28655000.0,21602000.0,,0.0,-80282000.0,,-70001000.0,99990000.0,
Chipotle Mexican Grill Inc,CMG,,1058090,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-07-27 11:55:40+00:00,,,,29917000.0,,5448000.0,,,-42588000.0,48181000.0,114662000.0,-42588000.0,48181000.0,114662000.0,120255000.0,60785000.0,60785000.0,18512000.0,14929000.0,,0.0,-51809000.0,,-57517000.0,99990000.0,
Chipotle Mexican Grill Inc,CMG,,1058090,2010.0,Q4,2010-10-01,2010-12-31,,-1900000.0,,112150000.0,17815000.0,-295000.0,26491000.0,17650000.0,,-156000.0,-78702000.0,92995000.0,-156000.0,-78702000.0,92995000.0,13842000.0,46445000.0,46445000.0,2244000.0,-2684000.0,,-35000000.0,-42036000.0,,-15122000.0,234000.0,
Chipotle Mexican Grill Inc,CMG,,1058090,2010.0,FY,2010-01-01,2010-12-31,2013-02-08 17:19:53+00:00,-1900000.0,,112150000.0,68921000.0,484000.0,11028000.0,17650000.0,,-94522000.0,-189881000.0,289191000.0,-94522000.0,-189881000.0,289191000.0,5272000.0,178981000.0,178981000.0,30261000.0,14430000.0,,-125000000.0,-113215000.0,,-126602000.0,50234000.0,
Chipotle Mexican Grill Inc,CMG,,1058090,2010.0,Q3TTM,2009-10-01,2010-09-30,,,,53644000.0,67046000.0,779000.0,17360000.0,,,-107910000.0,-198095000.0,277776000.0,-107910000.0,-198095000.0,277776000.0,-27450000.0,164132000.0,164132000.0,29238000.0,17658000.0,,-140000000.0,-108095000.0,,-125568000.0,50000000.0,
Chipotle Mexican Grill Inc,CMG,,1058090,2010.0,Q3,2010-07-01,2010-09-30,,,,,17319000.0,779000.0,-7651000.0,,,-44539000.0,-14526000.0,67240000.0,-44539000.0,-14526000.0,67240000.0,8954000.0,48228000.0,48228000.0,9344000.0,8358000.0,,-10000000.0,-29526000.0,,-52897000.0,25000000.0,
Chipotle Mexican Grill Inc,CMG,,1058090,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-10-21 13:42:28+00:00,0.0,,,51106000.0,779000.0,-15463000.0,,,-94366000.0,-111179000.0,196196000.0,-94366000.0,-111179000.0,196196000.0,-8570000.0,132536000.0,132536000.0,28017000.0,17114000.0,,-90000000.0,-71179000.0,,-111480000.0,50000000.0,
Chipotle Mexican Grill Inc,CMG,,1058090,2010.0,Q2TTM,2009-07-01,2010-06-30,,,,53644000.0,65178000.0,,29384000.0,,,-69182000.0,-212042000.0,274967000.0,-69182000.0,-212042000.0,274967000.0,-6257000.0,150368000.0,150368000.0,30037000.0,15973000.0,,-130000000.0,-107042000.0,,-85155000.0,25000000.0,
Chipotle Mexican Grill Inc,CMG,,1058090,2010.0,Q2,2010-04-01,2010-06-30,,,,,17053000.0,,-6114000.0,,,-38099000.0,-21950000.0,69089000.0,-38099000.0,-21950000.0,69089000.0,9040000.0,46461000.0,46461000.0,11689000.0,2686000.0,,-25000000.0,-21950000.0,,-40785000.0,25000000.0,
Chipotle Mexican Grill Inc,CMG,,1058090,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-07-21 17:15:32+00:00,0.0,,,33787000.0,0.0,-7812000.0,,,-49827000.0,-96653000.0,128956000.0,-49827000.0,-96653000.0,128956000.0,-17524000.0,84308000.0,84308000.0,18673000.0,8756000.0,,-80000000.0,-41653000.0,,-58583000.0,25000000.0,
Chipotle Mexican Grill Inc,CMG,,1058090,2010.0,Q1,2010-01-01,2010-03-31,2011-04-21 14:23:47+00:00,,,,16734000.0,0.0,-1698000.0,,,-11728000.0,-74703000.0,59867000.0,-11728000.0,-74703000.0,59867000.0,-26564000.0,37847000.0,37847000.0,6984000.0,6070000.0,,-55000000.0,-19703000.0,,-17798000.0,0.0,
