company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
CBRE Group Inc,CBRE,,1138118,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 13:08:02+00:00,,1171068000.0,-197353000.0,148826000.0,102909000.0,-8628000.0,-558739000.0,206700000.0,2584734000.0,373959000.0,-419009000.0,-130373000.0,373959000.0,-419009000.0,-130373000.0,-184051000.0,-1049741000.0,-1049741000.0,171395000.0,7632000.0,31417000.0,32735000.0,-428111000.0,-51471000.0,-2425107000.0,,29156000.0
CBRE Group Inc,CBRE,,1138118,2009.0,Q4,2009-10-01,2009-12-31,,,2534000.0,-5563000.0,68267000.0,25470000.0,2252000.0,49920000.0,293812000.0,17326000.0,274523000.0,-21457000.0,160194000.0,274523000.0,-21457000.0,160194000.0,415512000.0,51130000.0,51130000.0,22049000.0,190000.0,-30359000.0,9091000.0,19135000.0,-15553000.0,-36805000.0,,5320000.0
CBRE Group Inc,CBRE,,1138118,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 16:29:27+00:00,,38384000.0,48355000.0,168577000.0,99473000.0,11683000.0,4707000.0,440173000.0,1316586000.0,476768000.0,-119362000.0,213645000.0,476768000.0,-119362000.0,213645000.0,582734000.0,-27638000.0,-27638000.0,89493000.0,-17133000.0,-31981000.0,9226000.0,-74872000.0,-28200000.0,-1262858000.0,,15691000.0
CBRE Group Inc,CBRE,,1138118,2009.0,Q3,2009-07-01,2009-09-30,,,2389000.0,-3467000.0,43065000.0,24445000.0,1873000.0,88159000.0,11000.0,247652000.0,-87163000.0,-34355000.0,136170000.0,-87163000.0,-34355000.0,136170000.0,16525000.0,-10643000.0,-10643000.0,29243000.0,2272000.0,1408000.0,2577000.0,-32944000.0,-6767000.0,-337098000.0,,3948000.0
CBRE Group Inc,CBRE,,1138118,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-09 14:28:47+00:00,,35850000.0,53918000.0,100310000.0,74003000.0,9431000.0,-45213000.0,146361000.0,1299260000.0,202245000.0,-97905000.0,53451000.0,202245000.0,-97905000.0,53451000.0,167222000.0,-78768000.0,-78768000.0,67444000.0,-17323000.0,-1622000.0,135000.0,-94007000.0,-12647000.0,-1226053000.0,,10371000.0
CBRE Group Inc,CBRE,,1138118,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-09 15:08:22+00:00,,33461000.0,57385000.0,57245000.0,49558000.0,7558000.0,-133372000.0,146350000.0,1051608000.0,289408000.0,-63550000.0,-82719000.0,289408000.0,-63550000.0,-82719000.0,150697000.0,-68125000.0,-68125000.0,38201000.0,-19595000.0,-3030000.0,-2442000.0,-61063000.0,-5880000.0,-888955000.0,,6423000.0
CBRE Group Inc,CBRE,,1138118,2010.0,Q4,2010-10-01,2010-12-31,,,20708000.0,38307000.0,46779000.0,29245000.0,-915000.0,165602000.0,,1092128000.0,-511201000.0,-41648000.0,291663000.0,-511201000.0,-41648000.0,291663000.0,-262101000.0,71795000.0,71795000.0,13649000.0,-24893000.0,13373000.0,-9336000.0,-10864000.0,-50579000.0,-1578436000.0,,6422000.0
CBRE Group Inc,CBRE,,1138118,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 14:37:23+00:00,,29013000.0,11499000.0,169410000.0,108962000.0,-4845000.0,324556000.0,,1131061000.0,-784222000.0,-62503000.0,616587000.0,-784222000.0,-62503000.0,616587000.0,-234983000.0,156009000.0,156009000.0,-6614000.0,-9221000.0,26890000.0,4661000.0,-126377000.0,-68464000.0,-1906062000.0,,105448000.0
CBRE Group Inc,CBRE,,1138118,2010.0,Q3TTM,2009-10-01,2010-09-30,,,10839000.0,-32371000.0,190898000.0,105187000.0,-1678000.0,208874000.0,293812000.0,56259000.0,1502000.0,-42312000.0,485118000.0,1502000.0,-42312000.0,485118000.0,442630000.0,135344000.0,135344000.0,1786000.0,15862000.0,-16842000.0,23088000.0,-96378000.0,-33438000.0,-364431000.0,,104346000.0
CBRE Group Inc,CBRE,,1138118,2010.0,Q3,2010-07-01,2010-09-30,,,2980000.0,-103855000.0,37223000.0,25638000.0,9955000.0,155397000.0,,10629000.0,-183880000.0,-24880000.0,223917000.0,-183880000.0,-24880000.0,223917000.0,25112000.0,55715000.0,55715000.0,-17389000.0,5899000.0,-10417000.0,1576000.0,-35775000.0,-10724000.0,-200408000.0,,32036000.0
