company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,investmentsecuritiesinterestincome,longtermdebtinterestexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,otherspecialcharges,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
CBRE Group Inc,CBRE,,1138118,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 13:08:02+00:00,-4.81,-4.81,102817000.0,-4.81,1159406000.0,50810000.0,17762000.0,167156000.0,-1049741000.0,-1076489000.0,26748000.0,-1012066000.0,-37675000.0,-149394000.0,,-61390000.0,5128817000.0,4673803000.0,-7686000.0,,167156000.0,17762000.0,5936026000.0,5059741000.0,-1025679000.0,4910347000.0,210400000.0,210539032.0,210539032.0
CBRE Group Inc,CBRE,,1138118,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 16:29:27+00:00,0.12,0.12,99473000.0,0.12,,26993000.0,6129000.0,189146000.0,-27638000.0,-27638000.0,,33341000.0,-60979000.0,-183017000.0,-3880000.0,-27136000.0,4165820000.0,3831464000.0,,29255000.0,189146000.0,6129000.0,3956312000.0,4138684000.0,-645000.0,3955667000.0,277800000.0,277361783.0,279995081.0
CBRE Group Inc,CBRE,,1138118,2009.0,Q3,2009-07-01,2009-09-30,2010-11-09 14:28:47+00:00,0.04,0.04,24445000.0,0.04,,8498000.0,1248000.0,54075000.0,-10643000.0,-10643000.0,,12377000.0,-23020000.0,-52827000.0,,-3546000.0,1023205000.0,944532000.0,,,54075000.0,1248000.0,968977000.0,1019659000.0,-2145000.0,966832000.0,309400000.0,282732848.0,285923601.0
CBRE Group Inc,CBRE,,1138118,2009.0,Q2,2009-04-01,2009-06-30,2010-08-09 15:08:22+00:00,-0.02,-0.02,24166000.0,-0.02,,4706000.0,1237000.0,47418000.0,-13706000.0,-13706000.0,,-6637000.0,-7069000.0,-46181000.0,,1182000.0,955667000.0,895502000.0,,,47418000.0,1237000.0,919668000.0,956849000.0,-9000000.0,910668000.0,331900000.0,265683366.0,265683366.0
CBRE Group Inc,CBRE,,1138118,2010.0,Q4,2010-10-01,2010-12-31,,0.31,0.31,28865000.0,0.3,,58290000.0,2042000.0,41329000.0,71795000.0,72436000.0,-641000.0,95144000.0,-23349000.0,-39287000.0,,18727000.0,1651296000.0,1452997000.0,,18148000.0,41329000.0,2042000.0,1500010000.0,1670023000.0,130726000.0,1630736000.0,313000000.0,313873439.0,319016887.0
CBRE Group Inc,CBRE,,1138118,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 14:37:23+00:00,0.64,0.64,108381000.0,0.63,,130368000.0,8416000.0,191151000.0,156009000.0,141689000.0,14320000.0,200345000.0,-44336000.0,-182735000.0,,33857000.0,5115316000.0,4567852000.0,,18148000.0,191151000.0,8416000.0,4694381000.0,5149173000.0,272057000.0,4966438000.0,313000000.0,313873439.0,319016887.0
CBRE Group Inc,CBRE,,1138118,2010.0,Q3YTD,2010-01-01,2010-09-30,,0.33,0.33,79516000.0,0.33,,72078000.0,6374000.0,149822000.0,84214000.0,69253000.0,14961000.0,105201000.0,-20987000.0,-143448000.0,,15130000.0,3464020000.0,3114855000.0,,,149822000.0,6374000.0,3194371000.0,3479150000.0,141331000.0,3335702000.0,316900000.0,313791661.0,319353359.0
CBRE Group Inc,CBRE,,1138118,2010.0,Q3,2010-07-01,2010-09-30,2011-11-09 14:35:24+00:00,0.18,0.18,25605000.0,0.18,,38075000.0,1463000.0,49755000.0,55715000.0,47894000.0,7821000.0,57038000.0,-1323000.0,-48292000.0,,3856000.0,1266218000.0,1110208000.0,,,49755000.0,1463000.0,1135813000.0,1270074000.0,85969000.0,1221782000.0,316900000.0,313791661.0,319353359.0
CBRE Group Inc,CBRE,,1138118,2010.0,Q2YTD,2010-01-01,2010-06-30,,0.15,0.15,53911000.0,0.15,,34003000.0,4911000.0,100067000.0,28499000.0,21359000.0,7140000.0,48163000.0,-19664000.0,-95156000.0,,11274000.0,2197802000.0,2004647000.0,,,100067000.0,4911000.0,2058558000.0,2209076000.0,55362000.0,2113920000.0,322300000.0,312910934.0,318425227.0
CBRE Group Inc,CBRE,,1138118,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:00:24+00:00,0.17,0.17,27616000.0,0.17,,26704000.0,3111000.0,50275000.0,44686000.0,37546000.0,7140000.0,54790000.0,-10104000.0,-47164000.0,,17858000.0,1171919000.0,1050747000.0,,,50275000.0,3111000.0,1078363000.0,1189777000.0,64250000.0,1142613000.0,322300000.0,312910934.0,318425227.0
