company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,assetretirementandlitigationobligation,cashandequivalents,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,dividendspayable,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,noncurrentnotereceivables,notereceivable,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Freeport-McMoRan Inc,FCX,,831259,2008.0,FY,,2008-12-31,2010-02-26 15:12:35+00:00,2722000000.0,601000000.0,-305000000.0,1951000000.0,872000000.0,14040000000.0,611000000.0,163000000.0,44000000.0,,364000000.0,7284000000.0,1124000000.0,16002000000.0,1328000000.0,2339000000.0,,,2025000000.0,162000000.0,,,1754000000.0,1520000000.0,,,,,-8267000000.0,67000000.0,23353000000.0,2066000000.0,5233000000.0,3158000000.0,5773000000.0,7101000000.0,16252000000.0,23353000000.0,2118000000.0,13094000000.0,3707000000.0,-3402000000.0
Freeport-McMoRan Inc,FCX,,831259,2009.0,FY,,2009-12-31,2011-02-25 16:47:58+00:00,2038000000.0,1517000000.0,-273000000.0,1981000000.0,2656000000.0,15735000000.0,139000000.0,474000000.0,99000000.0,,347000000.0,6330000000.0,1093000000.0,16195000000.0,1638000000.0,2503000000.0,,147000000.0,1881000000.0,375000000.0,,,2021000000.0,1423000000.0,,,,,-5805000000.0,16000000.0,25996000000.0,6244000000.0,7433000000.0,3002000000.0,9119000000.0,10757000000.0,15239000000.0,25996000000.0,2368000000.0,12237000000.0,2875000000.0,-3413000000.0
Freeport-McMoRan Inc,FCX,,831259,2009.0,Q3,,2009-09-30,2009-11-06 14:24:44+00:00,1986000000.0,1466000000.0,-224000000.0,2006000000.0,2269000000.0,15682000000.0,390000000.0,940000000.0,,,342000000.0,6578000000.0,2314000000.0,16075000000.0,1725000000.0,2660000000.0,,,967000000.0,187000000.0,,,1882000000.0,1370000000.0,,,,,-6711000000.0,44000000.0,25705000000.0,5334000000.0,7406000000.0,3157000000.0,8209000000.0,9934000000.0,15771000000.0,25705000000.0,2224000000.0,12614000000.0,2875000000.0,-3413000000.0
Freeport-McMoRan Inc,FCX,,831259,2009.0,Q2,,2009-06-30,2009-08-07 17:24:28+00:00,1820000000.0,2065000000.0,-231000000.0,1978000000.0,1319000000.0,14838000000.0,,589000000.0,,,355000000.0,6834000000.0,2098000000.0,16092000000.0,1562000000.0,2632000000.0,,,854000000.0,191000000.0,,,1841000000.0,1360000000.0,,,,,-7636000000.0,389000000.0,24624000000.0,3562000000.0,6336000000.0,2989000000.0,7269000000.0,8831000000.0,15793000000.0,24624000000.0,2196000000.0,12804000000.0,3707000000.0,-3409000000.0
Freeport-McMoRan Inc,FCX,,831259,2010.0,FY,,2010-12-31,2012-02-27 17:16:26+00:00,2441000000.0,2132000000.0,-323000000.0,2071000000.0,3738000000.0,18858000000.0,,648000000.0,240000000.0,,328000000.0,4660000000.0,1169000000.0,16785000000.0,2056000000.0,2873000000.0,200000000.0,293000000.0,2519000000.0,339000000.0,,,2222000000.0,1459000000.0,,,,,-2590000000.0,95000000.0,29386000000.0,12504000000.0,9851000000.0,3763000000.0,12504000000.0,14560000000.0,14826000000.0,29386000000.0,2750000000.0,11063000000.0,,-3441000000.0
Freeport-McMoRan Inc,FCX,,831259,2010.0,Q3,,2010-09-30,2010-11-05 17:09:18+00:00,2404000000.0,2115000000.0,-263000000.0,2045000000.0,3720000000.0,18721000000.0,,356000000.0,143000000.0,,330000000.0,4681000000.0,1108000000.0,16461000000.0,2125000000.0,2846000000.0,,,2135000000.0,271000000.0,,,2082000000.0,1386000000.0,,,,,-3429000000.0,98000000.0,27951000000.0,11596000000.0,9078000000.0,3272000000.0,11596000000.0,13721000000.0,14230000000.0,27951000000.0,2412000000.0,10958000000.0,0.0,-3433000000.0
Freeport-McMoRan Inc,FCX,,831259,2010.0,Q2,,2010-06-30,2010-08-06 17:30:43+00:00,2065000000.0,1244000000.0,-268000000.0,2005000000.0,3042000000.0,18698000000.0,,240000000.0,329000000.0,,333000000.0,4684000000.0,1097000000.0,16272000000.0,1761000000.0,2612000000.0,,,1910000000.0,248000000.0,,,2081000000.0,1402000000.0,,,,,-4466000000.0,101000000.0,25979000000.0,10532000000.0,7293000000.0,2983000000.0,10532000000.0,12293000000.0,13686000000.0,25979000000.0,2414000000.0,10703000000.0,0.0,-3432000000.0
Freeport-McMoRan Inc,FCX,,831259,2010.0,Q1,,2010-03-31,2010-05-07 16:28:09+00:00,2133000000.0,1733000000.0,-270000000.0,2015000000.0,3752000000.0,15838000000.0,,815000000.0,98000000.0,,336000000.0,5048000000.0,1068000000.0,16175000000.0,1841000000.0,2513000000.0,,,2013000000.0,244000000.0,,,2036000000.0,1397000000.0,,,,,-4973000000.0,1017000000.0,27113000000.0,7163000000.0,8566000000.0,4307000000.0,9992000000.0,11833000000.0,15280000000.0,27113000000.0,2372000000.0,10973000000.0,2829000000.0,-3432000000.0
Freeport-McMoRan Inc,FCX,,831259,2011.0,FY,,2011-12-31,2013-02-22 16:05:01+00:00,2194000000.0,892000000.0,-465000000.0,2138000000.0,4822000000.0,19114000000.0,70000000.0,266000000.0,240000000.0,,,3533000000.0,1354000000.0,18449000000.0,2911000000.0,3255000000.0,675000000.0,180000000.0,2729000000.0,236000000.0,,,2899000000.0,1651000000.0,,,,,546000000.0,4000000.0,32070000000.0,15642000000.0,10047000000.0,2940000000.0,15642000000.0,18553000000.0,13517000000.0,32070000000.0,3574000000.0,10577000000.0,,-3553000000.0
Freeport-McMoRan Inc,FCX,,831259,2011.0,Q3,,2011-09-30,2011-11-04 15:49:38+00:00,2580000000.0,1139000000.0,-314000000.0,2139000000.0,5128000000.0,19081000000.0,,110000000.0,240000000.0,,321000000.0,3531000000.0,1323000000.0,17966000000.0,2694000000.0,3365000000.0,,307000000.0,2811000000.0,247000000.0,,,2713000000.0,1441000000.0,,,,,144000000.0,4000000.0,31708000000.0,15357000000.0,10708000000.0,3181000000.0,15357000000.0,18051000000.0,13657000000.0,31708000000.0,3034000000.0,10476000000.0,,-3554000000.0
