company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofplantpropertyandequipment
Freeport-McMoRan Inc,FCX,,831259,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 15:12:35+00:00,-13910000000.0,1264000000.0,597000000.0,935000000.0,2816000000.0,19074000000.0,2803000000.0,9355000000.0,-14861000000.0,6225000000.0,9355000000.0,-14861000000.0,6225000000.0,719000000.0,3779000000.0,3779000000.0,247000000.0,6000000.0,-53000000.0,-1563000000.0,,-1755000000.0,-13781000000.0,0.0,,260000000.0
Freeport-McMoRan Inc,FCX,,831259,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:47:58+00:00,,1782000000.0,,-5529000000.0,0.0,890000000.0,,-1806000000.0,-2318000000.0,3358000000.0,-1806000000.0,-2318000000.0,3370000000.0,-754000000.0,-10450000000.0,-10450000000.0,17555000000.0,248000000.0,343000000.0,-1678000000.0,0.0,-2708000000.0,-766000000.0,-500000000.0,,47000000.0
Freeport-McMoRan Inc,FCX,,831259,2008.0,Q4,2008-10-01,2008-12-31,,,460000000.0,,-3818000000.0,-155000000.0,707000000.0,,-84000000.0,-447000000.0,201000000.0,-84000000.0,-447000000.0,201000000.0,-330000000.0,-13981000000.0,-13981000000.0,17540000000.0,201000000.0,285000000.0,-269000000.0,,-779000000.0,-568000000.0,,,47000000.0
Freeport-McMoRan Inc,FCX,,831259,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-06 14:24:44+00:00,,1322000000.0,,-1711000000.0,155000000.0,183000000.0,,-1722000000.0,-1871000000.0,3157000000.0,-1722000000.0,-1871000000.0,3169000000.0,-424000000.0,3531000000.0,3531000000.0,15000000.0,47000000.0,58000000.0,-1409000000.0,,-1929000000.0,-198000000.0,-500000000.0,,
Freeport-McMoRan Inc,FCX,,831259,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-07 17:24:28+00:00,,,,-1087000000.0,0.0,587000000.0,,-494000000.0,-1108000000.0,1624000000.0,-494000000.0,-1108000000.0,1624000000.0,22000000.0,2789000000.0,2789000000.0,-78000000.0,47000000.0,55000000.0,-744000000.0,,-1163000000.0,-384000000.0,,,
Freeport-McMoRan Inc,FCX,,831259,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 17:16:26+00:00,,1014000000.0,,-434000000.0,740000000.0,330000000.0,,-1012000000.0,-1601000000.0,4397000000.0,-1012000000.0,-1601000000.0,4397000000.0,1784000000.0,3534000000.0,3534000000.0,283000000.0,66000000.0,-14000000.0,-764000000.0,0.0,-1587000000.0,-1384000000.0,,,
Freeport-McMoRan Inc,FCX,,831259,2009.0,Q4,2009-10-01,2009-12-31,,,274000000.0,,-91000000.0,,23000000.0,,-705000000.0,-455000000.0,1547000000.0,-705000000.0,-455000000.0,1547000000.0,387000000.0,1312000000.0,1312000000.0,52000000.0,19000000.0,-6000000.0,-434000000.0,,-449000000.0,-313000000.0,,,
Freeport-McMoRan Inc,FCX,,831259,2009.0,Q3TTM,2008-10-01,2009-09-30,,,1200000000.0,,-4161000000.0,585000000.0,1014000000.0,,-391000000.0,-1593000000.0,3051000000.0,-391000000.0,-1593000000.0,3051000000.0,1067000000.0,-11759000000.0,-11759000000.0,17771000000.0,248000000.0,277000000.0,-599000000.0,,-1917000000.0,-1639000000.0,,,47000000.0
Freeport-McMoRan Inc,FCX,,831259,2009.0,Q3,2009-07-01,2009-09-30,,,252000000.0,,451000000.0,,152000000.0,,-753000000.0,-251000000.0,1954000000.0,-753000000.0,-251000000.0,1954000000.0,950000000.0,1203000000.0,1203000000.0,48000000.0,25000000.0,-7000000.0,-147000000.0,,-244000000.0,-783000000.0,,,
Freeport-McMoRan Inc,FCX,,831259,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-05 17:09:18+00:00,,740000000.0,,-343000000.0,740000000.0,307000000.0,,-307000000.0,-1146000000.0,2850000000.0,-307000000.0,-1146000000.0,2850000000.0,1397000000.0,2222000000.0,2222000000.0,231000000.0,47000000.0,-8000000.0,-330000000.0,,-1138000000.0,-1071000000.0,,,
