company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accruedexpenses,aoci,capitalleaseobligations,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,longtermdebt,longterminvestments,netinventory,netppe,noncurrentdeferredtaxliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Family Dollar Stores Inc ,FDO,,34408,2010.0,FY,,2010-08-28,2011-10-25 13:13:13+00:00,676975000.0,309347000.0,-7046000.0,,382754000.0,0.0,258481000.0,52190000.0,18447000.0,250000000.0,147108000.0,1028022000.0,1111966000.0,38246000.0,62775000.0,253576000.0,63005000.0,,1665646000.0,,120325000.0,2968145000.0,1421554000.0,1646296000.0,1004769000.0,1421554000.0,1421554000.0,1546591000.0,2968145000.0,209883000.0,541822000.0,0.0,-495527000.0
Family Dollar Stores Inc ,FDO,,34408,2011.0,FY,,2011-08-27,2012-10-19 17:15:01+00:00,685063000.0,310818000.0,-6403000.0,0.0,141405000.0,0.0,289177000.0,70337000.0,4974000.0,532370000.0,107458000.0,1154660000.0,1280589000.0,89240000.0,74314000.0,270466000.0,71436000.0,0.0,1969749000.0,16200000.0,96006000.0,2996205000.0,1087074000.0,1533844000.0,1017055000.0,1087074000.0,1087074000.0,1909131000.0,2996205000.0,181772000.0,892076000.0,0.0,-1165449000.0
Family Dollar Stores Inc ,FDO,,34408,2011.0,Q3,,2011-05-28,2011-07-06 13:38:46+00:00,604308000.0,347583000.0,-6558000.0,,167428000.0,,285277000.0,66696000.0,35826000.0,532332000.0,106923000.0,1134403000.0,1190715000.0,64013000.0,71228000.0,220243000.0,74532000.0,,1911023000.0,16200000.0,190827000.0,3002752000.0,1182247000.0,1633886000.0,1003917000.0,1182247000.0,1182247000.0,1820505000.0,3002752000.0,178151000.0,816588000.0,0.0,-1007495000.0
Family Dollar Stores Inc ,FDO,,34408,2011.0,Q2,,2011-02-26,2011-04-06 15:20:55+00:00,602806000.0,358354000.0,-9251000.0,,195357000.0,,280469000.0,65271000.0,34549000.0,532294000.0,142664000.0,1060212000.0,1146782000.0,48360000.0,73055000.0,220877000.0,77503000.0,,1821566000.0,16200000.0,242400000.0,3003244000.0,1189804000.0,1640743000.0,1011909000.0,1189804000.0,1189804000.0,1813440000.0,3003244000.0,215719000.0,801531000.0,0.0,-902980000.0
Family Dollar Stores Inc ,FDO,,34408,2011.0,Q1,,2010-11-27,2011-01-05 13:23:46+00:00,627657000.0,324993000.0,-8494000.0,,84621000.0,,270673000.0,63923000.0,48169000.0,233800000.0,145014000.0,1138466000.0,1110607000.0,45674000.0,70753000.0,215358000.0,75169000.0,,1720400000.0,16200000.0,52566000.0,2741119000.0,1229268000.0,1414745000.0,1017019000.0,1229268000.0,1229268000.0,1511851000.0,2741119000.0,215767000.0,494832000.0,0.0,-753311000.0
Family Dollar Stores Inc ,FDO,,34408,2012.0,FY,,2012-08-25,2013-10-28 17:06:07+00:00,674202000.0,328398000.0,-1841000.0,156866000.0,92333000.0,0.0,271102000.0,69518000.0,31857000.0,516320000.0,23720000.0,1426163000.0,1496360000.0,68254000.0,84815000.0,268341000.0,47604000.0,126281000.0,1234384000.0,31200000.0,6271000.0,3373065000.0,1297627000.0,1768170000.0,1065657000.0,1297627000.0,1297627000.0,2075438000.0,3373065000.0,108535000.0,1009781000.0,0.0,-206018000.0
Family Dollar Stores Inc ,FDO,,34408,2012.0,Q3,,2012-05-26,2012-06-29 11:01:06+00:00,695292000.0,300290000.0,-3750000.0,,120901000.0,0.0,268809000.0,53212000.0,25285000.0,516283000.0,60888000.0,1387380000.0,1420034000.0,79099000.0,83289000.0,328101000.0,44137000.0,82197000.0,1153453000.0,16200000.0,21006000.0,3273044000.0,1312494000.0,1708833000.0,1037067000.0,1312494000.0,1312494000.0,1960550000.0,3273044000.0,144177000.0,923483000.0,0.0,-106018000.0
Family Dollar Stores Inc ,FDO,,34408,2012.0,Q2,,2012-02-25,2012-03-29 11:51:09+00:00,704268000.0,277303000.0,-5628000.0,,105849000.0,0.0,259768000.0,65722000.0,7777000.0,516245000.0,95365000.0,1223600000.0,1403222000.0,93427000.0,76902000.0,264235000.0,77561000.0,,1053404000.0,16200000.0,52211000.0,3100432000.0,1220977000.0,1524943000.0,1005548000.0,1220977000.0,1220977000.0,1879455000.0,3100432000.0,172267000.0,873907000.0,0.0,-86567000.0
Family Dollar Stores Inc ,FDO,,34408,2012.0,Q1,,2011-11-26,2012-01-05 16:48:48+00:00,719175000.0,271262000.0,-6697000.0,,103706000.0,0.0,255311000.0,63658000.0,7753000.0,516207000.0,94543000.0,1301577000.0,1355287000.0,104608000.0,73353000.0,263245000.0,77397000.0,,941572000.0,91200000.0,51630000.0,3121151000.0,1147701000.0,1597968000.0,1089390000.0,1147701000.0,1147701000.0,1973450000.0,3121151000.0,167896000.0,884060000.0,0.0,-42485000.0
Family Dollar Stores Inc ,FDO,,34408,2013.0,FY,,2013-08-31,2014-10-29 16:35:39+00:00,723200000.0,335854000.0,-2195000.0,218088000.0,140999000.0,0.0,311874000.0,47995000.0,4968000.0,500275000.0,22977000.0,1467016000.0,1732544000.0,23027000.0,97335000.0,289194000.0,161552000.0,35443000.0,1569625000.0,16200000.0,4000000.0,3709861000.0,1599055000.0,1857005000.0,1080222000.0,1599055000.0,1599055000.0,2110806000.0,3709861000.0,120312000.0,1030584000.0,0.0,-280249000.0
