company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Scripps Networks Interactive Inc,SNI,549300AI1MM5VBF43K58,1430602,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 17:08:50+00:00,-9034000.0,33391000.0,155845000.0,13043000.0,66337000.0,-3959000.0,31360000.0,,80135000.0,-456885000.0,-89020000.0,538067000.0,,-2806000.0,12041000.0,-456885000.0,-91826000.0,550108000.0,-2562000.0,115948000.0,116301000.0,-353000.0,291384000.0,99831000.0,1312000.0,-107211000.0,-6668000.0,-74630000.0,-529640000.0,,,
Scripps Networks Interactive Inc,SNI,549300AI1MM5VBF43K58,1430602,2009.0,Q4,2009-10-01,2009-12-31,,-877500000.0,9525000.0,50707000.0,173000.0,-17962000.0,-2059000.0,8193000.0,,884239000.0,860356000.0,-725989000.0,103550000.0,-21000.0,-10569000.0,17982000.0,860335000.0,-736558000.0,121532000.0,243250000.0,116023000.0,89723000.0,26300000.0,14071000.0,4916000.0,3397000.0,-21955000.0,156507000.0,-11477000.0,-6844000.0,,3084000.0,
Scripps Networks Interactive Inc,SNI,549300AI1MM5VBF43K58,1430602,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 17:00:21+00:00,-877500000.0,37830000.0,176282000.0,902000.0,40608000.0,-1998000.0,9664000.0,,884239000.0,684197000.0,-948690000.0,508659000.0,-21000.0,-11427000.0,13680000.0,684176000.0,-960117000.0,522339000.0,244400000.0,384874000.0,360459000.0,24415000.0,60098000.0,27735000.0,-1690000.0,-138443000.0,-3255000.0,-69329000.0,-89334000.0,,3084000.0,
Scripps Networks Interactive Inc,SNI,549300AI1MM5VBF43K58,1430602,2009.0,Q3,2009-07-01,2009-09-30,,,9171000.0,39894000.0,186000.0,20666000.0,96000.0,25529000.0,,,-12269000.0,-141660000.0,157198000.0,,-181000.0,-1782000.0,-12269000.0,-141841000.0,155416000.0,1402000.0,85099000.0,84423000.0,676000.0,17409000.0,9519000.0,-3154000.0,-22056000.0,-121065000.0,-17441000.0,268000.0,,,
Scripps Networks Interactive Inc,SNI,549300AI1MM5VBF43K58,1430602,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-04 16:43:45+00:00,0.0,28305000.0,125575000.0,729000.0,58570000.0,61000.0,1471000.0,,,-176159000.0,-222701000.0,405109000.0,,-858000.0,-4302000.0,-176159000.0,-223559000.0,400807000.0,1150000.0,268851000.0,270736000.0,-1885000.0,46027000.0,22819000.0,-5087000.0,-116488000.0,-159762000.0,-57852000.0,-82490000.0,,,
Scripps Networks Interactive Inc,SNI,549300AI1MM5VBF43K58,1430602,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-09 15:43:45+00:00,0.0,19134000.0,85681000.0,543000.0,37904000.0,-35000.0,-24058000.0,,,-163890000.0,-81041000.0,247911000.0,,-677000.0,-2520000.0,-163890000.0,-81718000.0,245391000.0,-252000.0,183752000.0,186313000.0,-2561000.0,28618000.0,13300000.0,-1933000.0,-94432000.0,-38697000.0,-40411000.0,-82758000.0,,,
Scripps Networks Interactive Inc,SNI,549300AI1MM5VBF43K58,1430602,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 16:40:04+00:00,-14400000.0,34002000.0,294702000.0,20011000.0,91351000.0,490000.0,-177047000.0,,,-101282000.0,-69001000.0,448579000.0,,-22176000.0,38917000.0,-101282000.0,-91177000.0,487496000.0,295527000.0,529009000.0,516234000.0,12775000.0,-15961000.0,65230000.0,1409000.0,-161783000.0,-1225000.0,-54785000.0,-4729000.0,,,
Scripps Networks Interactive Inc,SNI,549300AI1MM5VBF43K58,1430602,2010.0,Q4,2010-10-01,2010-12-31,,,9423000.0,81109000.0,256000.0,21747000.0,104000.0,-51479000.0,,,15830000.0,-19019000.0,136880000.0,,-5806000.0,5113000.0,15830000.0,-24825000.0,141993000.0,133102000.0,155385000.0,147934000.0,7451000.0,9255000.0,42143000.0,1336000.0,-27646000.0,-1225000.0,-19130000.0,1333000.0,,,
Scripps Networks Interactive Inc,SNI,549300AI1MM5VBF43K58,1430602,2010.0,Q3TTM,2009-10-01,2010-09-30,,-891900000.0,34104000.0,264300000.0,19928000.0,51642000.0,-1673000.0,-117375000.0,,884239000.0,743244000.0,-775971000.0,415249000.0,-21000.0,-26939000.0,51786000.0,743223000.0,-802910000.0,467035000.0,405675000.0,489647000.0,458023000.0,31624000.0,-11145000.0,28003000.0,3470000.0,-156092000.0,156507000.0,-47132000.0,-12906000.0,,3084000.0,
Scripps Networks Interactive Inc,SNI,549300AI1MM5VBF43K58,1430602,2010.0,Q3,2010-07-01,2010-09-30,,,9410000.0,73856000.0,19091000.0,21761000.0,-316000.0,-25486000.0,,,-25253000.0,-10737000.0,107042000.0,,-6164000.0,21212000.0,-25253000.0,-16901000.0,128254000.0,85784000.0,136137000.0,136454000.0,-317000.0,-35097000.0,5053000.0,1298000.0,-29308000.0,,-12035000.0,-998000.0,,,
