company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentemployeebenefitliabilities,goodwill,intangibleassets,longtermdebt,longterminvestments,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,notereceivable,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
Scripps Networks Interactive Inc,SNI,549300AI1MM5VBF43K58,1430602,2009.0,FY,,2009-12-31,2011-03-01 17:08:50+00:00,27538000.0,,102578000.0,-3004000.0,254370000.0,,1272867000.0,16865000.0,,43377000.0,670494000.0,937151000.0,884239000.0,46395000.0,239644000.0,151336000.0,,119515000.0,430410000.0,297489000.0,20350000.0,,,,87109000.0,99662000.0,,113886000.0,,113853000.0,,2963062000.0,1383716000.0,982269000.0,210708000.0,1383716000.0,1535052000.0,1314124000.0,2963062000.0,1741149000.0,1103416000.0,
Scripps Networks Interactive Inc,SNI,549300AI1MM5VBF43K58,1430602,2010.0,FY,,2010-12-31,2012-02-29 17:00:21+00:00,9672000.0,,69074000.0,-11525000.0,549897000.0,0.0,1372726000.0,27125000.0,,47902000.0,510484000.0,850602000.0,884395000.0,48536000.0,214131000.0,145973000.0,,81960000.0,505392000.0,353318000.0,26256000.0,262268000.0,44046000.0,,93804000.0,117708000.0,,158148000.0,,414972000.0,,3388432000.0,1776173000.0,1670875000.0,224075000.0,1776173000.0,1922146000.0,1308138000.0,3388432000.0,1503426000.0,1084063000.0,0.0
Scripps Networks Interactive Inc,SNI,549300AI1MM5VBF43K58,1430602,2010.0,Q3,,2010-09-30,2010-11-04 16:43:45+00:00,12527000.0,,75123000.0,-2938000.0,416795000.0,,1308211000.0,18631000.0,,45635000.0,666502000.0,904028000.0,884357000.0,45333000.0,237413000.0,151683000.0,,81013000.0,471258000.0,327701000.0,27748000.0,,,,104336000.0,117912000.0,,130671000.0,,322793000.0,,3173366000.0,1628066000.0,1215754000.0,179664000.0,1628066000.0,1779749000.0,1262946000.0,3173366000.0,1720199000.0,1083282000.0,
Scripps Networks Interactive Inc,SNI,549300AI1MM5VBF43K58,1430602,2010.0,Q2,,2010-06-30,2010-08-09 15:43:45+00:00,18121000.0,,125105000.0,-3893000.0,331011000.0,,1297853000.0,19158000.0,,38141000.0,666502000.0,917041000.0,884320000.0,51092000.0,234017000.0,135618000.0,,86827000.0,472370000.0,328773000.0,35662000.0,,,,115708000.0,117117000.0,,117027000.0,,245458000.0,,3116514000.0,1539418000.0,1132154000.0,236187000.0,1539418000.0,1675036000.0,1324451000.0,3116514000.0,1750343000.0,1088264000.0,
Scripps Networks Interactive Inc,SNI,549300AI1MM5VBF43K58,1430602,2011.0,FY,,2011-12-31,2013-03-01 16:40:04+00:00,12482000.0,,67281000.0,-33347000.0,760092000.0,0.0,1346429000.0,52814000.0,1799000.0,49920000.0,510484000.0,855184000.0,1383945000.0,455267000.0,219845000.0,254919000.0,,100002000.0,553022000.0,401055000.0,50402000.0,,,1571000.0,204922000.0,148429000.0,,162750000.0,,364073000.0,,3961670000.0,1678726000.0,1715968000.0,232899000.0,1678726000.0,1933645000.0,1865275000.0,3961670000.0,2025857000.0,1632376000.0,
Scripps Networks Interactive Inc,SNI,549300AI1MM5VBF43K58,1430602,2011.0,Q3,,2011-09-30,2011-11-09 17:09:57+00:00,8603000.0,,57669000.0,-13105000.0,315302000.0,,1356633000.0,52370000.0,,43707000.0,510484000.0,849890000.0,984507000.0,455074000.0,216791000.0,224625000.0,,78179000.0,514110000.0,381313000.0,44995000.0,0.0,0.0,,204382000.0,122930000.0,,165566000.0,,320667000.0,,3447346000.0,1664195000.0,1210725000.0,207344000.0,1664195000.0,1888820000.0,1392960000.0,3447346000.0,2019830000.0,1185616000.0,0.0
Scripps Networks Interactive Inc,SNI,549300AI1MM5VBF43K58,1430602,2011.0,Q2,,2011-06-30,2011-08-09 17:19:02+00:00,9742000.0,,66006000.0,-11044000.0,713456000.0,,1370645000.0,42574000.0,,39155000.0,510484000.0,855117000.0,884470000.0,59962000.0,216163000.0,209899000.0,,89851000.0,531433000.0,381155000.0,44889000.0,0.0,0.0,,79714000.0,120646000.0,,163087000.0,,317564000.0,,3347484000.0,1677165000.0,1626044000.0,202366000.0,1677165000.0,1887064000.0,1297333000.0,3347484000.0,1505277000.0,1094967000.0,
Scripps Networks Interactive Inc,SNI,549300AI1MM5VBF43K58,1430602,2011.0,Q1,,2011-03-31,2011-05-05 17:15:43+00:00,11092000.0,,72123000.0,-11112000.0,793664000.0,,1414732000.0,31886000.0,,29453000.0,666502000.0,877903000.0,884432000.0,52281000.0,247038000.0,199797000.0,,92451000.0,491091000.0,322681000.0,26388000.0,,,,90157000.0,125689000.0,,161522000.0,,502864000.0,,3541317000.0,1906484000.0,1607436000.0,170942000.0,1906484000.0,2106281000.0,1273514000.0,3541317000.0,1686843000.0,1102572000.0,
Scripps Networks Interactive Inc,SNI,549300AI1MM5VBF43K58,1430602,2012.0,FY,,2012-12-31,2014-03-03 17:21:13+00:00,12633000.0,,102266000.0,-38862000.0,437525000.0,0.0,1405699000.0,44903000.0,26338000.0,56553000.0,551821000.0,1050356000.0,1384216000.0,489703000.0,237308000.0,307127000.0,148501000.0,,565298000.0,455115000.0,36274000.0,,,1489000.0,176833000.0,237402000.0,,136500000.0,,452598000.0,,4138798000.0,1820924000.0,1484276000.0,252629000.0,1820924000.0,2128051000.0,1874247000.0,4138798000.0,2417214000.0,1621618000.0,
Scripps Networks Interactive Inc,SNI,549300AI1MM5VBF43K58,1430602,2012.0,Q3,,2012-09-30,2012-11-09 17:17:07+00:00,9422000.0,,72102000.0,-24701000.0,439238000.0,,1381362000.0,38276000.0,,47694000.0,573482000.0,1015885000.0,1384148000.0,477551000.0,223205000.0,283379000.0,,65935000.0,530178000.0,463344000.0,42422000.0,,,1498000.0,177090000.0,209964000.0,,115722000.0,,272750000.0,,3899973000.0,1630909000.0,1432760000.0,209916000.0,1630909000.0,1914288000.0,1869963000.0,3899973000.0,2244008000.0,1660047000.0,
