company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,preferreddividends,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Signet Jewelers Ltd,SIG,,832988,2009.0,FY,2008-02-03,2009-01-31,2011-03-30 08:23:13+00:00,-4.72,-4.72,,-4.72,516900000.0,61800000.0,-402600000.0,-402600000.0,-402600000.0,2262200000.0,3328000000.0,,-108700000.0,,,969200000.0,2262200000.0,1065800000.0,32800000.0,3600000.0,1377400000.0,-311600000.0,-29200000.0,-340800000.0,3328000000.0,85300000.0,85300000.0,85300000.0
Signet Jewelers Ltd,SIG,,832988,2010.0,FY,2009-02-01,2010-01-30,2012-03-22 08:38:10+00:00,1.84,1.84,,1.83,,73400000.0,157100000.0,157100000.0,157100000.0,2208000000.0,3273600000.0,,-115400000.0,,,916500000.0,2208000000.0,1065600000.0,34000000.0,,801100000.0,264500000.0,-34000000.0,230500000.0,3273600000.0,85300000.0,85300000.0,85300000.0
Signet Jewelers Ltd,SIG,,832988,2010.0,Q3,2009-08-02,2009-10-31,2010-11-30 07:20:53+00:00,-0.1,-0.1,,-0.1,,-4600000.0,-8700000.0,-8700000.0,-8700000.0,448400000.0,611400000.0,,-28400000.0,,,197300000.0,448400000.0,163000000.0,7400000.0,,168900000.0,-5900000.0,-7400000.0,-13300000.0,611400000.0,87000000.0,87000000.0,87000000.0
Signet Jewelers Ltd,SIG,,832988,2010.0,Q2,2009-05-03,2009-08-01,2010-08-27 07:08:15+00:00,0.32,0.32,,0.32,,10900000.0,27600000.0,27600000.0,27600000.0,489300000.0,710800000.0,,-28900000.0,,,203800000.0,489300000.0,221500000.0,8200000.0,100000.0,174900000.0,46600000.0,-8100000.0,38500000.0,710800000.0,86300000.0,86300000.0,86300000.0
Signet Jewelers Ltd,SIG,,832988,2011.0,Q4,2010-10-31,2011-01-29,,1.21,1.23,,1.22,,54200000.0,105400000.0,105400000.0,105400000.0,752000000.0,1270500000.0,,-28700000.0,,,336700000.0,752000000.0,518500000.0,50900000.0,,308000000.0,210500000.0,-50900000.0,159600000.0,1270500000.0,85600000.0,85700000.0,86400000.0
Signet Jewelers Ltd,SIG,,832988,2011.0,FY,2010-01-31,2011-01-29,2013-03-28 07:45:19+00:00,2.34,2.34,,2.32,,100000000.0,200400000.0,200400000.0,200400000.0,2194500000.0,3437400000.0,,-110000000.0,,,980400000.0,2194500000.0,1242900000.0,72100000.0,,870400000.0,372500000.0,-72100000.0,300400000.0,3437400000.0,85600000.0,85700000.0,86400000.0
Signet Jewelers Ltd,SIG,,832988,2011.0,Q3YTD,2010-01-31,2010-10-30,,1.11,1.11,,1.11,,45800000.0,95000000.0,95000000.0,95000000.0,1442500000.0,2166900000.0,,-81300000.0,,,643700000.0,1442500000.0,724400000.0,21200000.0,,562400000.0,162000000.0,-21200000.0,140800000.0,2166900000.0,85700000.0,85700000.0,85700000.0
Signet Jewelers Ltd,SIG,,832988,2011.0,Q3,2010-08-01,2010-10-30,2011-11-22 08:16:50+00:00,0.07,0.07,,0.07,,6000000.0,6000000.0,6000000.0,6000000.0,448200000.0,641800000.0,,-26400000.0,,,201500000.0,448200000.0,193600000.0,6500000.0,,175100000.0,18500000.0,-6500000.0,12000000.0,641800000.0,85700000.0,85700000.0,85700000.0
Signet Jewelers Ltd,SIG,,832988,2011.0,Q2YTD,2010-01-31,2010-07-31,,1.04,1.04,,1.04,,39800000.0,89000000.0,89000000.0,89000000.0,994300000.0,1525100000.0,,-54900000.0,,,442200000.0,994300000.0,530800000.0,14700000.0,,387300000.0,143500000.0,-14700000.0,128800000.0,1525100000.0,85600000.0,85600000.0,85600000.0
Signet Jewelers Ltd,SIG,,832988,2011.0,Q2,2010-05-02,2010-07-31,2011-08-25 08:31:59+00:00,0.47,0.45,,0.45,,16000000.0,38700000.0,38700000.0,38700000.0,482500000.0,719700000.0,,-27200000.0,,,203700000.0,482500000.0,237200000.0,6000000.0,,176500000.0,60700000.0,-6000000.0,54700000.0,719700000.0,85600000.0,85600000.0,85600000.0
Signet Jewelers Ltd,SIG,,832988,2011.0,Q1,2010-01-31,2010-05-01,2011-05-26 08:30:48+00:00,0.59,0.59,,0.58,,23800000.0,50300000.0,50300000.0,50300000.0,511800000.0,805400000.0,,-27700000.0,,,238500000.0,511800000.0,293600000.0,8700000.0,,210800000.0,82800000.0,-8700000.0,74100000.0,805400000.0,85300000.0,85300000.0,86700000.0
Signet Jewelers Ltd,SIG,,832988,2012.0,Q4,2011-10-30,2012-01-28,,1.82,1.82,0.1,1.8,,85800000.0,156600000.0,156600000.0,156600000.0,790600000.0,1353800000.0,,-29500000.0,,,348800000.0,790600000.0,563200000.0,1500000.0,,319300000.0,243900000.0,-1500000.0,242400000.0,1353800000.0,86300000.0,86200000.0,87000000.0
Signet Jewelers Ltd,SIG,,832988,2012.0,FY,2011-01-30,2012-01-28,2013-03-28 07:45:19+00:00,3.76,3.76,0.2,3.73,,177700000.0,324400000.0,324400000.0,324400000.0,2311600000.0,3749200000.0,,-126500000.0,,,1056700000.0,2311600000.0,1437600000.0,5300000.0,,930200000.0,507400000.0,-5300000.0,502100000.0,3749200000.0,86300000.0,86200000.0,87000000.0
Signet Jewelers Ltd,SIG,,832988,2012.0,Q3YTD,2011-01-30,2011-10-29,,1.94,1.94,0.1,1.93,,91900000.0,167800000.0,167800000.0,167800000.0,1521000000.0,2395400000.0,,-97000000.0,,,707900000.0,1521000000.0,874400000.0,3800000.0,,610900000.0,263500000.0,-3800000.0,259700000.0,2395400000.0,87000000.0,86300000.0,87100000.0
Signet Jewelers Ltd,SIG,,832988,2012.0,Q3TTM,2010-10-31,2011-10-29,,3.15,3.17,0.1,3.15,,146100000.0,273200000.0,273200000.0,273200000.0,2273000000.0,3665900000.0,,-125700000.0,,,1044600000.0,2273000000.0,1392900000.0,54700000.0,,918900000.0,474000000.0,-54700000.0,419300000.0,3665900000.0,87000000.0,86300000.0,87100000.0
Signet Jewelers Ltd,SIG,,832988,2012.0,Q3,2011-07-31,2011-10-29,2012-11-20 07:42:59+00:00,0.3,0.3,0.1,0.3,,16000000.0,26100000.0,26100000.0,26100000.0,480600000.0,710500000.0,,-32200000.0,,,219600000.0,480600000.0,229900000.0,400000.0,,187400000.0,42500000.0,-400000.0,42100000.0,710500000.0,87000000.0,86300000.0,87100000.0
Signet Jewelers Ltd,SIG,,832988,2012.0,Q2YTD,2011-01-30,2011-07-30,,1.64,1.64,,1.63,,75900000.0,141700000.0,141700000.0,141700000.0,1040400000.0,1684900000.0,,-64800000.0,,,488300000.0,1040400000.0,644500000.0,3400000.0,,423500000.0,221000000.0,-3400000.0,217600000.0,1684900000.0,86100000.0,86300000.0,87100000.0
Signet Jewelers Ltd,SIG,,832988,2012.0,Q2TTM,2010-08-01,2011-07-30,,2.93,2.93,,2.93,,136100000.0,253100000.0,253100000.0,253100000.0,2240600000.0,3597200000.0,,-119900000.0,,,1026500000.0,2240600000.0,1356600000.0,60800000.0,,906600000.0,450000000.0,-60800000.0,389200000.0,3597200000.0,86100000.0,86300000.0,87100000.0
Signet Jewelers Ltd,SIG,,832988,2012.0,Q2,2011-05-01,2011-07-30,2012-08-23 07:48:55+00:00,0.77,0.77,,0.76,,33500000.0,66300000.0,66300000.0,66300000.0,502800000.0,797600000.0,,-32000000.0,,,224500000.0,502800000.0,294800000.0,2500000.0,,192500000.0,102300000.0,-2500000.0,99800000.0,797600000.0,86100000.0,86300000.0,87100000.0
Signet Jewelers Ltd,SIG,,832988,2012.0,Q1TTM,2010-05-02,2011-04-30,,2.62,2.62,,2.62,,118600000.0,225500000.0,225500000.0,225500000.0,2220300000.0,3519300000.0,,-115100000.0,,,1005700000.0,2220300000.0,1299000000.0,64300000.0,,890600000.0,408400000.0,-64300000.0,344100000.0,3519300000.0,86700000.0,86100000.0,86900000.0
