company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheroperatingexpenses,otherspecialcharges,rdexpense,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Qualcomm Inc,QCOM,H1J8DDZKZP6H7RWC0H53,804328,2007.0,FY,2006-09-25,2007-09-30,2009-12-22 17:23:59+00:00,1.99,1.99,0.52,1.95,,323000000.0,3303000000.0,3303000000.0,,3303000000.0,,2681000000.0,8871000000.0,,0.0,1829000000.0,1478000000.0,2681000000.0,6190000000.0,,743000000.0,3307000000.0,2883000000.0,743000000.0,3626000000.0,8871000000.0,1659800000.0,1660000000.0,1693000000.0
Qualcomm Inc,QCOM,H1J8DDZKZP6H7RWC0H53,804328,2008.0,FY,2007-10-01,2008-09-28,2010-11-03 17:18:30+00:00,1.94,1.94,0.6,1.9,,666000000.0,3160000000.0,3160000000.0,,3160000000.0,,3414000000.0,11142000000.0,,0.0,2281000000.0,1717000000.0,3414000000.0,7728000000.0,,96000000.0,3998000000.0,3730000000.0,96000000.0,3826000000.0,11142000000.0,1628900000.0,1632000000.0,1660000000.0
Qualcomm Inc,QCOM,H1J8DDZKZP6H7RWC0H53,804328,2008.0,Q3,2008-03-31,2008-06-29,2009-07-22 16:31:14+00:00,0.46,0.46,0.16,0.45,-83000000.0,134000000.0,748000000.0,748000000.0,,748000000.0,,889000000.0,2762000000.0,83000000.0,0.0,596000000.0,453000000.0,889000000.0,1873000000.0,,58000000.0,1049000000.0,824000000.0,58000000.0,882000000.0,2762000000.0,1626100000.0,1626000000.0,1654000000.0
Qualcomm Inc,QCOM,H1J8DDZKZP6H7RWC0H53,804328,2009.0,Q4,2009-06-29,2009-09-27,,0.48,0.48,0.17,0.49,,66000000.0,803000000.0,1003000000.0,-200000000.0,803000000.0,,668000000.0,2662000000.0,,-748000000.0,519000000.0,1310000000.0,668000000.0,1994000000.0,,156000000.0,1081000000.0,913000000.0,156000000.0,1069000000.0,2662000000.0,1658300000.0,1656000000.0,1673000000.0
Qualcomm Inc,QCOM,H1J8DDZKZP6H7RWC0H53,804328,2009.0,FY,2008-09-29,2009-09-27,2011-11-02 16:08:57+00:00,0.96,0.96,0.66,0.95,,611000000.0,1592000000.0,1792000000.0,-200000000.0,1592000000.0,0.0,3025000000.0,10387000000.0,,,2345000000.0,2475000000.0,3025000000.0,7362000000.0,,-139000000.0,4820000000.0,2542000000.0,-139000000.0,2403000000.0,10387000000.0,1658300000.0,1656000000.0,1673000000.0
Qualcomm Inc,QCOM,H1J8DDZKZP6H7RWC0H53,804328,2009.0,Q3YTD,2008-09-29,2009-06-28,,0.48,0.48,0.49,0.46,,545000000.0,789000000.0,789000000.0,,789000000.0,,2357000000.0,7725000000.0,,748000000.0,1826000000.0,1165000000.0,2357000000.0,5368000000.0,,-295000000.0,3739000000.0,1629000000.0,-295000000.0,1334000000.0,7725000000.0,1637800000.0,1656000000.0,1675000000.0
Qualcomm Inc,QCOM,H1J8DDZKZP6H7RWC0H53,804328,2009.0,Q3,2009-03-30,2009-06-28,2010-07-21 16:18:19+00:00,0.45,0.45,0.17,0.44,,247000000.0,737000000.0,737000000.0,,737000000.0,,864000000.0,2753000000.0,,0.0,618000000.0,377000000.0,864000000.0,1889000000.0,,90000000.0,995000000.0,894000000.0,90000000.0,984000000.0,2753000000.0,1637800000.0,1656000000.0,1675000000.0
Qualcomm Inc,QCOM,H1J8DDZKZP6H7RWC0H53,804328,2009.0,Q2YTD,2008-09-29,2009-03-29,,0.03,0.03,0.32,0.02,,298000000.0,52000000.0,52000000.0,,52000000.0,,1493000000.0,4972000000.0,,748000000.0,1208000000.0,788000000.0,1493000000.0,3479000000.0,,-385000000.0,2744000000.0,735000000.0,-385000000.0,350000000.0,4972000000.0,1605600000.0,1651000000.0,1651000000.0
Qualcomm Inc,QCOM,H1J8DDZKZP6H7RWC0H53,804328,2009.0,Q2,2008-12-29,2009-03-29,2010-04-21 16:29:12+00:00,-0.18,-0.18,0.16,-0.18,,188000000.0,-289000000.0,-289000000.0,,-289000000.0,,738000000.0,2455000000.0,,748000000.0,604000000.0,375000000.0,738000000.0,1717000000.0,,-91000000.0,1727000000.0,-10000000.0,-91000000.0,-101000000.0,2455000000.0,1605600000.0,1651000000.0,1651000000.0
Qualcomm Inc,QCOM,H1J8DDZKZP6H7RWC0H53,804328,2009.0,Q1,2008-09-29,2008-12-28,2010-01-27 16:50:32+00:00,0.21,0.21,0.16,0.2,,110000000.0,341000000.0,341000000.0,,341000000.0,,755000000.0,2517000000.0,,,604000000.0,413000000.0,755000000.0,1762000000.0,,-294000000.0,1017000000.0,745000000.0,-294000000.0,451000000.0,2517000000.0,1623800000.0,1653000000.0,1667000000.0
