company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinterestpayable,allowanceforloanandleaselosses,aoci,cashandequivalents,claimsandclaimexpenses,commitmentsandcontingencies,commonequity,deferredacquisitioncost,futurepolicybenefits,goodwill,intangibleassets,interestbearingdeposits,longtermdebt,mortgageservicingrights,netloansandleases,netpremisesandequipment,noncontrollinginterests,otherassets,otherequity,otherlongtermliabilities,othershorttermpayables,participatingpolicyholderequity,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,separateaccountbusinessassets,separateaccountbusinessliabilities,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock,unearnedpremiumscredit,unearnedpremiumsdebit
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2008.0,FY,,2008-12-31,2010-02-23 16:14:57+00:00,,,-7520000000.0,1811000000.0,21933000000.0,,7572000000.0,13248000000.0,16747000000.0,1060000000.0,,,7033000000.0,6469000000.0,,1075000000.0,92000000.0,31019000000.0,,11997000000.0,,84552000000.0,,,11336000000.0,130184000000.0,130184000000.0,398000000.0,287583000000.0,9268000000.0,9268000000.0,9360000000.0,278223000000.0,287583000000.0,0.0,99113000000.0,-2120000000.0,5379000000.0,3604000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2009.0,FY,,2009-12-31,2011-03-11 16:22:31+00:00,,,-3312000000.0,2142000000.0,,,8989000000.0,10686000000.0,39631000000.0,1204000000.0,,,6632000000.0,5938000000.0,,1026000000.0,29000000.0,27626000000.0,,9454000000.0,,78148000000.0,,,11164000000.0,150394000000.0,150394000000.0,343000000.0,307717000000.0,14905000000.0,17865000000.0,17894000000.0,289823000000.0,307717000000.0,2960000000.0,105297000000.0,-1936000000.0,5221000000.0,3404000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2009.0,Q3,,2009-09-30,2009-11-03 16:36:18+00:00,,,-3217000000.0,2417000000.0,21901000000.0,,8980000000.0,11040000000.0,17950000000.0,1204000000.0,,,6686000000.0,6328000000.0,,1032000000.0,25000000.0,30079000000.0,,9643000000.0,,81435000000.0,,,10689000000.0,155958000000.0,155958000000.0,342000000.0,316720000000.0,14516000000.0,17456000000.0,17481000000.0,299239000000.0,316720000000.0,2940000000.0,105180000000.0,-1936000000.0,5324000000.0,3482000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,FY,,2010-12-31,2012-02-24 16:34:45+00:00,,,-1001000000.0,2062000000.0,,0.0,10453000000.0,9857000000.0,39598000000.0,1051000000.0,,,6589000000.0,4489000000.0,,1150000000.0,,23492000000.0,,9187000000.0,,77343000000.0,,,12077000000.0,159742000000.0,159742000000.0,400000000.0,318346000000.0,19755000000.0,20311000000.0,20311000000.0,298035000000.0,318346000000.0,556000000.0,113230000000.0,-1774000000.0,5176000000.0,3273000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,Q3,,2010-09-30,2010-11-02 16:59:26+00:00,,,194000000.0,1707000000.0,,,10460000000.0,9386000000.0,39890000000.0,1051000000.0,,,6987000000.0,4684000000.0,,1143000000.0,0.0,23540000000.0,,8266000000.0,,78359000000.0,,,11488000000.0,154219000000.0,154219000000.0,0.0,313926000000.0,20353000000.0,20909000000.0,20909000000.0,293017000000.0,313926000000.0,556000000.0,114826000000.0,-1789000000.0,5296000000.0,3370000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,Q2,,2010-06-30,2010-08-04 16:36:17+00:00,,,-1379000000.0,2998000000.0,21479000000.0,,10475000000.0,9689000000.0,18529000000.0,1051000000.0,,,7052000000.0,4673000000.0,,1150000000.0,0.0,25624000000.0,,11470000000.0,,76555000000.0,,,11049000000.0,154883000000.0,154883000000.0,0.0,314150000000.0,18335000000.0,18891000000.0,18891000000.0,295259000000.0,314150000000.0,556000000.0,110711000000.0,-1810000000.0,5291000000.0,3371000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,Q1,,2010-03-31,2010-04-29 16:42:10+00:00,,,-2377000000.0,2079000000.0,21560000000.0,,10480000000.0,10270000000.0,17990000000.0,1204000000.0,,,7431000000.0,5162000000.0,,1032000000.0,0.0,24204000000.0,,9280000000.0,,77415000000.0,,,11006000000.0,160198000000.0,160198000000.0,275000000.0,317282000000.0,17284000000.0,17840000000.0,17840000000.0,299442000000.0,317282000000.0,556000000.0,109731000000.0,-1825000000.0,5293000000.0,3402000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2011.0,FY,,2011-12-31,2013-03-01 16:26:44+00:00,,,1251000000.0,2581000000.0,,0.0,10396000000.0,6556000000.0,41016000000.0,1006000000.0,,,6530000000.0,5728000000.0,,1029000000.0,,22770000000.0,,8412000000.0,,76073000000.0,,,11001000000.0,143870000000.0,143870000000.0,0.0,302609000000.0,20930000000.0,21486000000.0,21486000000.0,281123000000.0,302609000000.0,556000000.0,115623000000.0,-1718000000.0,5222000000.0,3446000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2011.0,Q3,,2011-09-30,2011-11-02 16:44:47+00:00,,,1065000000.0,2589000000.0,,0.0,10400000000.0,8729000000.0,41034000000.0,1036000000.0,,,6566000000.0,5590000000.0,,1029000000.0,,24298000000.0,,8883000000.0,,76602000000.0,,,12447000000.0,143923000000.0,143923000000.0,400000000.0,305598000000.0,22225000000.0,22781000000.0,22781000000.0,282817000000.0,305598000000.0,556000000.0,114879000000.0,-1687000000.0,5409000000.0,3525000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2011.0,Q2,,2011-06-30,2011-08-03 16:53:19+00:00,,,-77000000.0,1898000000.0,,,10398000000.0,9584000000.0,40184000000.0,1036000000.0,,,6582000000.0,5304000000.0,,1020000000.0,,25260000000.0,,9518000000.0,,76310000000.0,,,12503000000.0,157485000000.0,157485000000.0,400000000.0,317469000000.0,21119000000.0,21675000000.0,21675000000.0,295794000000.0,317469000000.0,556000000.0,112464000000.0,-1705000000.0,5315000000.0,3418000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2011.0,Q1,,2011-03-31,2011-05-02 16:44:22+00:00,,,-764000000.0,2317000000.0,,,10396000000.0,9843000000.0,39420000000.0,1051000000.0,,,6592000000.0,4736000000.0,,1132000000.0,,23780000000.0,,9582000000.0,,76188000000.0,,,12533000000.0,164043000000.0,164043000000.0,400000000.0,322538000000.0,20443000000.0,20999000000.0,20999000000.0,301539000000.0,322538000000.0,556000000.0,112240000000.0,-1722000000.0,5314000000.0,3396000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2012.0,FY,,2012-12-31,2014-02-28 16:48:19+00:00,,,2843000000.0,2421000000.0,,0.0,10043000000.0,5725000000.0,40992000000.0,654000000.0,,,6967000000.0,6711000000.0,,977000000.0,,20055000000.0,,10172000000.0,,70901000000.0,,,10745000000.0,141569000000.0,141569000000.0,320000000.0,298513000000.0,21891000000.0,22447000000.0,22447000000.0,276066000000.0,298513000000.0,556000000.0,116859000000.0,-1740000000.0,5145000000.0,3542000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2012.0,Q3,,2012-09-30,2013-03-01 16:22:09+00:00,,,3295000000.0,2705000000.0,,,10037000000.0,5947000000.0,40992000000.0,664000000.0,,,6996000000.0,6863000000.0,,979000000.0,,20424000000.0,,10668000000.0,,73024000000.0,,,10847000000.0,148369000000.0,148369000000.0,320000000.0,308721000000.0,22426000000.0,22982000000.0,22982000000.0,285739000000.0,308721000000.0,556000000.0,119124000000.0,-1753000000.0,5370000000.0,3646000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2012.0,Q2,,2012-06-30,2012-08-01 16:47:31+00:00,,,2256000000.0,2338000000.0,,0.0,10042000000.0,6336000000.0,40980000000.0,1006000000.0,,,7379000000.0,6875000000.0,,1001000000.0,,21381000000.0,,10529000000.0,,73188000000.0,,,10887000000.0,144662000000.0,144662000000.0,,303977000000.0,21405000000.0,21961000000.0,21961000000.0,282016000000.0,303977000000.0,556000000.0,116841000000.0,-1780000000.0,5278000000.0,3537000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2012.0,Q1,,2012-03-31,2012-05-02 16:46:22+00:00,,,1328000000.0,2059000000.0,,0.0,10036000000.0,6577000000.0,40532000000.0,1006000000.0,,,6530000000.0,6275000000.0,,1017000000.0,,21571000000.0,,9728000000.0,,74757000000.0,,,11042000000.0,152402000000.0,152402000000.0,,310548000000.0,20718000000.0,21274000000.0,21274000000.0,289274000000.0,310548000000.0,556000000.0,116076000000.0,-1688000000.0,5325000000.0,3565000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2013.0,Q3,,2013-09-30,2013-10-28 17:07:02+00:00,,,-17000000.0,1422000000.0,,,10419000000.0,2249000000.0,41545000000.0,498000000.0,,1723000000.0,6389000000.0,5575000000.0,,895000000.0,,39882000000.0,,7608000000.0,,62433000000.0,,,10439000000.0,139876000000.0,139876000000.0,,283947000000.0,18928000000.0,18928000000.0,18928000000.0,265019000000.0,283947000000.0,0.0,89877000000.0,-1913000000.0,5445000000.0,3673000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2013.0,Q2,,2013-06-30,2013-07-29 16:25:03+00:00,,,74000000.0,1740000000.0,,,10549000000.0,2472000000.0,41548000000.0,498000000.0,,1662000000.0,6735000000.0,5411000000.0,,911000000.0,,40568000000.0,,8644000000.0,,63948000000.0,,,10213000000.0,147986000000.0,147986000000.0,,294833000000.0,19013000000.0,19013000000.0,19013000000.0,275820000000.0,294833000000.0,0.0,91666000000.0,-1823000000.0,5297000000.0,3581000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2013.0,Q1,,2013-03-31,2013-04-29 16:36:39+00:00,,,1649000000.0,1985000000.0,,,9998000000.0,2431000000.0,41681000000.0,498000000.0,,,6459000000.0,5229000000.0,,921000000.0,,37486000000.0,,8371000000.0,,69132000000.0,,,10449000000.0,145151000000.0,145151000000.0,,297021000000.0,20364000000.0,20920000000.0,20920000000.0,276101000000.0,297021000000.0,556000000.0,99736000000.0,-1732000000.0,5307000000.0,3584000000.0
