company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,amortizationofdeferredpolicyacquisitioncosts,basicdilutedeps,basiceps,cashdividendspershare,currentandfuturebenefits,dilutedeps,impairmentexpense,incometaxexpense,longtermdebtinterestexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netrealizedcapitalgains,nonoperatingincome,otheradjustmentstonetincometocommon,othergains,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,otherspecialcharges,policyacquisitioncosts,preferreddividends,premiumsearned,propertyliabilityinsuranceclaims,salariesandemployeebenefitsexpense,totalinterestexpense,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 16:14:57+00:00,,2989000000.0,9.32,9.32,2.03,14064000000.0,9.24,0.0,1056000000.0,263000000.0,,2949000000.0,2949000000.0,,2949000000.0,,-263000000.0,4365000000.0,,,,,701000000.0,5932000000.0,,3894000000.0,,15619000000.0,,,263000000.0,21648000000.0,25916000000.0,4005000000.0,25653000000.0,316400000.0,316300000.0,319100000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2008.0,FY,2008-01-01,2008-12-31,2011-03-11 16:22:31+00:00,,4271000000.0,-8.99,-8.99,1.91,3748000000.0,-8.99,745000000.0,-1842000000.0,343000000.0,,-2749000000.0,-2749000000.0,,-2757000000.0,,-343000000.0,-11923000000.0,,,,,,5639000000.0,,4703000000.0,,15503000000.0,,,343000000.0,13467000000.0,9219000000.0,-4591000000.0,8876000000.0,306700000.0,306700000.0,306700000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2008.0,Q3,2008-07-01,2008-09-30,2009-11-03 16:36:18+00:00,,1927000000.0,-8.74,-8.74,0.53,579000000.0,-8.74,0.0,-1552000000.0,84000000.0,,-2631000000.0,-2631000000.0,,-2631000000.0,,-84000000.0,-5761000000.0,,,,,171000000.0,1465000000.0,,1029000000.0,0.0,3903000000.0,,,84000000.0,3706000000.0,-393000000.0,-4183000000.0,-477000000.0,301000000.0,301100000.0,301100000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2009.0,FY,2009-01-01,2009-12-31,2011-03-11 16:22:31+00:00,,4267000000.0,-2.93,-2.93,0.2,17019000000.0,-2.93,32000000.0,-841000000.0,476000000.0,,-887000000.0,-887000000.0,,-1014000000.0,,-476000000.0,5209000000.0,,127000000.0,,,,5068000000.0,,4635000000.0,,14424000000.0,,,476000000.0,25953000000.0,24701000000.0,-1728000000.0,24225000000.0,346300000.0,346300000.0,346300000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2009.0,Q4,2009-10-01,2009-12-31,,,647000000.0,1.69,1.69,0.05,3783000000.0,1.69,,171000000.0,119000000.0,,557000000.0,557000000.0,,495000000.0,,-119000000.0,1598000000.0,,62000000.0,,,-441000000.0,1338000000.0,,1604000000.0,,3504000000.0,,,119000000.0,5593000000.0,6440000000.0,728000000.0,6321000000.0,346300000.0,346300000.0,346300000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2009.0,Q3,2009-07-01,2009-09-30,2010-11-02 16:59:26+00:00,,687000000.0,-0.79,-0.79,0.05,3708000000.0,-0.79,,-237000000.0,118000000.0,,-220000000.0,-220000000.0,,-282000000.0,,-118000000.0,468000000.0,,62000000.0,,,,1263000000.0,,1174000000.0,,3499000000.0,,,118000000.0,5569000000.0,5230000000.0,-457000000.0,5112000000.0,357000000.0,357000000.0,357000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2009.0,Q3YTD,2009-01-01,2009-09-30,,,3620000000.0,-4.62,-4.62,0.15,13236000000.0,-4.62,32000000.0,-1012000000.0,357000000.0,,-1444000000.0,-1444000000.0,,-1509000000.0,,-357000000.0,3611000000.0,,65000000.0,,,441000000.0,3730000000.0,,3031000000.0,,10920000000.0,,,357000000.0,20360000000.0,18261000000.0,-2456000000.0,17904000000.0,357000000.0,357000000.0,357000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2009.0,Q2YTD,2009-01-01,2009-06-30,,,2933000000.0,-3.83,-3.83,0.1,9528000000.0,-3.83,32000000.0,-775000000.0,239000000.0,,-1224000000.0,-1224000000.0,,-1227000000.0,,-239000000.0,3143000000.0,,3000000.0,,,441000000.0,2467000000.0,,1857000000.0,,7421000000.0,,,239000000.0,14791000000.0,13031000000.0,-1999000000.0,12792000000.0,300000000.0,300000000.0,300000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2009.0,Q2,2009-04-01,2009-06-30,2010-08-04 16:36:17+00:00,,674000000.0,-0.06,-0.06,0.05,5615000000.0,-0.06,0.0,33000000.0,119000000.0,,-15000000.0,-15000000.0,,-18000000.0,,-119000000.0,2863000000.0,,3000000.0,,,252000000.0,1182000000.0,,959000000.0,,3592000000.0,,,119000000.0,7500000000.0,7637000000.0,18000000.0,7518000000.0,300000000.0,300000000.0,300000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2009.0,Q1,2009-01-01,2009-03-31,2010-04-29 16:42:10+00:00,,2259000000.0,-3.77,-3.77,0.05,3913000000.0,-3.77,32000000.0,-808000000.0,120000000.0,,-1209000000.0,-1209000000.0,,-1209000000.0,,-120000000.0,280000000.0,,,,,189000000.0,1285000000.0,,898000000.0,,3829000000.0,,,120000000.0,7291000000.0,5394000000.0,-2017000000.0,5274000000.0,320700000.0,320800000.0,320800000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,FY,2010-01-01,2010-12-31,2012-02-24 16:34:45+00:00,,2527000000.0,2.7,2.7,0.2,12251000000.0,2.49,,612000000.0,508000000.0,,1680000000.0,1744000000.0,-64000000.0,1165000000.0,,-508000000.0,2979000000.0,,515000000.0,,,4407000000.0,5015000000.0,,,,14055000000.0,,,508000000.0,19185000000.0,22049000000.0,2356000000.0,21541000000.0,431500000.0,431500000.0,467900000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,Q4,2010-10-01,2010-12-31,,-431000000.0,945000000.0,1.49,1.49,0.05,3394000000.0,1.43,,175000000.0,128000000.0,,619000000.0,585000000.0,34000000.0,608000000.0,,-128000000.0,1126000000.0,,505000000.0,,,3361000000.0,1290000000.0,,-2232000000.0,-494000000.0,3509000000.0,,,128000000.0,5037000000.0,5925000000.0,760000000.0,5797000000.0,431500000.0,431500000.0,467900000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,Q3YTD,2010-01-01,2010-09-30,,431000000.0,1582000000.0,1.21,1.21,0.15,8857000000.0,1.06,,437000000.0,380000000.0,,1061000000.0,1159000000.0,-98000000.0,557000000.0,,-380000000.0,1853000000.0,,10000000.0,,,1046000000.0,3725000000.0,,2232000000.0,494000000.0,10546000000.0,,,380000000.0,14148000000.0,16124000000.0,1596000000.0,15744000000.0,444100000.0,444100000.0,489600000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,Q3TTM,2009-10-01,2010-09-30,,431000000.0,2229000000.0,2.9,2.9,0.2,12640000000.0,2.75,,608000000.0,499000000.0,,1618000000.0,1716000000.0,-98000000.0,1052000000.0,,-499000000.0,3451000000.0,,72000000.0,,,605000000.0,5063000000.0,,3836000000.0,494000000.0,14050000000.0,,,499000000.0,19741000000.0,22564000000.0,2324000000.0,22065000000.0,444100000.0,444100000.0,489600000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,Q3,2010-07-01,2010-09-30,2011-11-02 16:44:47+00:00,431000000.0,,1.48,1.48,0.05,4080000000.0,1.34,,252000000.0,128000000.0,,666000000.0,665000000.0,1000000.0,656000000.0,,-128000000.0,1859000000.0,,10000000.0,,,1046000000.0,1230000000.0,,,,3513000000.0,,,128000000.0,5557000000.0,6602000000.0,917000000.0,6474000000.0,444100000.0,444100000.0,489600000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,Q2YTD,2010-01-01,2010-06-30,,,1582000000.0,-0.27,-0.27,0.1,4777000000.0,-0.28,,185000000.0,252000000.0,,395000000.0,494000000.0,-99000000.0,-99000000.0,,-252000000.0,-6000000.0,,,,,,2495000000.0,,2232000000.0,494000000.0,7033000000.0,,,252000000.0,8591000000.0,9522000000.0,679000000.0,9270000000.0,443900000.0,443900000.0,443900000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,Q2TTM,2009-07-01,2010-06-30,,,2916000000.0,0.63,0.63,0.2,12268000000.0,0.62,,119000000.0,489000000.0,,732000000.0,831000000.0,-99000000.0,114000000.0,,-489000000.0,2060000000.0,,124000000.0,,,-441000000.0,5096000000.0,,5010000000.0,494000000.0,14036000000.0,,,489000000.0,19753000000.0,21192000000.0,950000000.0,20703000000.0,443900000.0,443900000.0,443900000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,Q2,2010-04-01,2010-06-30,2011-08-03 16:53:19+00:00,,935000000.0,0.15,0.15,0.05,943000000.0,0.14,,-31000000.0,132000000.0,,76000000.0,175000000.0,-99000000.0,65000000.0,,-132000000.0,-1492000000.0,,,,,,1251000000.0,,1111000000.0,11000000.0,3506000000.0,,,132000000.0,2989000000.0,3265000000.0,144000000.0,3133000000.0,443900000.0,443900000.0,443900000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,Q1TTM,2009-04-01,2010-03-31,,,2655000000.0,0.42,0.42,0.2,16940000000.0,0.42,,183000000.0,476000000.0,,641000000.0,641000000.0,,31000000.0,,-476000000.0,6415000000.0,,127000000.0,,,-189000000.0,5027000000.0,,4858000000.0,483000000.0,14122000000.0,,,476000000.0,24264000000.0,25564000000.0,824000000.0,25088000000.0,393700000.0,393700000.0,393700000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,Q1,2010-01-01,2010-03-31,2011-05-02 16:44:22+00:00,,647000000.0,-0.42,-0.42,0.05,3834000000.0,-0.42,,216000000.0,120000000.0,,319000000.0,319000000.0,,-164000000.0,,-120000000.0,1486000000.0,,,,,,1244000000.0,,1121000000.0,483000000.0,3527000000.0,,,120000000.0,5602000000.0,6257000000.0,535000000.0,6137000000.0,393700000.0,393700000.0,393700000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2011.0,FY,2011-01-01,2011-12-31,2013-03-01 16:26:44+00:00,,2444000000.0,1.39,1.51,0.4,13266000000.0,1.4,30000000.0,-325000000.0,508000000.0,,712000000.0,626000000.0,86000000.0,670000000.0,,-508000000.0,2768000000.0,0.0,,,,5310000000.0,5003000000.0,,,42000000.0,14088000000.0,,,508000000.0,21050000000.0,21859000000.0,301000000.0,21351000000.0,482000000.0,445000000.0,478600000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2011.0,Q4,2011-10-01,2011-12-31,,-2047000000.0,2444000000.0,0.11,0.25,0.1,3789000000.0,0.25,30000000.0,-36000000.0,124000000.0,,118000000.0,117000000.0,1000000.0,107000000.0,,-124000000.0,937000000.0,,-10000000.0,,,1217000000.0,1195000000.0,,,21000000.0,3506000000.0,,,124000000.0,5433000000.0,5638000000.0,81000000.0,5514000000.0,482000000.0,445000000.0,478600000.0
