company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 16:14:57+00:00,,2989000000.0,451000000.0,257000000.0,794000000.0,,273000000.0,-2551000000.0,0.0,1121000000.0,0.0,499000000.0,-6176000000.0,5991000000.0,499000000.0,-6176000000.0,5991000000.0,587000000.0,32494000000.0,2949000000.0,2949000000.0,1810000000.0,-30987000000.0,-915000000.0,,-636000000.0,-43375000000.0,,-300000000.0,-1193000000.0,,38114000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2008.0,FY,2008-01-01,2008-12-31,2011-03-11 16:22:31+00:00,-94000000.0,4271000000.0,253000000.0,286000000.0,361000000.0,,161000000.0,3518000000.0,,3071000000.0,1239000000.0,4274000000.0,-8827000000.0,4192000000.0,4274000000.0,-8827000000.0,4192000000.0,-200000000.0,21015000000.0,-2749000000.0,-2749000000.0,-1209000000.0,-18399000000.0,-387000000.0,,-660000000.0,-36354000000.0,,-992000000.0,-1000000000.0,,28008000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2008.0,Q4,2008-10-01,2008-12-31,,-94000000.0,1070000000.0,21000000.0,100000000.0,98000000.0,,132000000.0,4320000000.0,,1168000000.0,1239000000.0,3240000000.0,-4778000000.0,1254000000.0,3240000000.0,-4778000000.0,1254000000.0,-152000000.0,5263000000.0,-806000000.0,-806000000.0,-3428000000.0,-3741000000.0,137000000.0,,-159000000.0,-13960000000.0,,-530000000.0,,,9139000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-03 16:36:18+00:00,,3201000000.0,232000000.0,186000000.0,263000000.0,,29000000.0,-802000000.0,0.0,1903000000.0,0.0,1034000000.0,-4049000000.0,2938000000.0,1034000000.0,-4049000000.0,2938000000.0,-48000000.0,15752000000.0,-1943000000.0,-1943000000.0,2219000000.0,-14658000000.0,-524000000.0,,-501000000.0,-22394000000.0,,-462000000.0,-1000000000.0,,18869000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2009.0,Q4,2009-10-01,2009-12-31,,-7000000.0,647000000.0,149000000.0,172000000.0,110000000.0,-7000000.0,-33000000.0,261000000.0,,,,-1169000000.0,698000000.0,229000000.0,-1169000000.0,698000000.0,229000000.0,-275000000.0,2979000000.0,557000000.0,557000000.0,-1346000000.0,-4029000000.0,-25000000.0,,-62000000.0,-11552000000.0,,-57000000.0,,,12289000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 16:34:45+00:00,-7000000.0,4267000000.0,-243000000.0,475000000.0,470000000.0,,-43000000.0,-1978000000.0,887000000.0,,3400000000.0,523000000.0,-3123000000.0,2974000000.0,523000000.0,-3123000000.0,2974000000.0,331000000.0,14052000000.0,-887000000.0,-887000000.0,1102000000.0,-17121000000.0,151000000.0,,-222000000.0,-58383000000.0,,-473000000.0,,,55116000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2009.0,Q3TTM,2008-10-01,2009-09-30,,-94000000.0,4690000000.0,-371000000.0,403000000.0,458000000.0,7000000.0,122000000.0,2081000000.0,887000000.0,1168000000.0,4639000000.0,4932000000.0,-8599000000.0,3999000000.0,4932000000.0,-8599000000.0,3999000000.0,454000000.0,16336000000.0,-2250000000.0,-2250000000.0,-980000000.0,-16833000000.0,313000000.0,,-319000000.0,-60791000000.0,,-946000000.0,,,51966000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2009.0,Q3,2009-07-01,2009-09-30,,,687000000.0,76000000.0,60000000.0,101000000.0,,10000000.0,-3957000000.0,873000000.0,,,-646000000.0,-264000000.0,759000000.0,-646000000.0,-264000000.0,759000000.0,-141000000.0,3750000000.0,-220000000.0,-220000000.0,4148000000.0,-5226000000.0,69000000.0,,-37000000.0,-8890000000.0,,-6000000.0,,,8557000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-02 16:59:26+00:00,,3620000000.0,-392000000.0,303000000.0,360000000.0,7000000.0,-10000000.0,-2239000000.0,887000000.0,,3400000000.0,1692000000.0,-3821000000.0,2745000000.0,1692000000.0,-3821000000.0,2745000000.0,606000000.0,11073000000.0,-1444000000.0,-1444000000.0,2448000000.0,-13092000000.0,176000000.0,,-160000000.0,-46831000000.0,,-416000000.0,,,42827000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2009.0,Q2,2009-04-01,2009-06-30,,,674000000.0,130000000.0,173000000.0,122000000.0,7000000.0,65000000.0,299000000.0,14000000.0,,3400000000.0,2212000000.0,-2546000000.0,976000000.0,2212000000.0,-2546000000.0,976000000.0,707000000.0,4451000000.0,-15000000.0,-15000000.0,-104000000.0,-5280000000.0,24000000.0,,-16000000.0,-13420000000.0,,-357000000.0,,,10843000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-04 16:36:17+00:00,,2933000000.0,-468000000.0,243000000.0,259000000.0,7000000.0,-20000000.0,1718000000.0,14000000.0,0.0,3400000000.0,2338000000.0,-3557000000.0,1986000000.0,2338000000.0,-3557000000.0,1986000000.0,747000000.0,7323000000.0,-1224000000.0,-1224000000.0,-1700000000.0,-7866000000.0,107000000.0,,-123000000.0,-37941000000.0,,-410000000.0,,0.0,34270000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2009.0,Q1,2009-01-01,2009-03-31,2010-04-29 16:42:10+00:00,,2259000000.0,-598000000.0,70000000.0,137000000.0,,-85000000.0,1419000000.0,,,,126000000.0,-1011000000.0,1010000000.0,126000000.0,-1011000000.0,1010000000.0,40000000.0,2872000000.0,-1209000000.0,-1209000000.0,-1596000000.0,-2586000000.0,83000000.0,,-107000000.0,-24521000000.0,,-53000000.0,,,23427000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,Q4,2010-10-01,2010-12-31,,,517000000.0,59000000.0,161000000.0,147000000.0,111000000.0,-1000000.0,-815000000.0,-1600000000.0,-1090000000.0,-556000000.0,-560000000.0,-148000000.0,1064000000.0,-560000000.0,-148000000.0,1064000000.0,355000000.0,3106000000.0,619000000.0,619000000.0,596000000.0,-3785000000.0,-123000000.0,,-33000000.0,-11791000000.0,,-2000000.0,,3400000000.0,11655000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,Q3TTM,2009-10-01,2010-09-30,,-7000000.0,2674000000.0,398000000.0,496000000.0,559000000.0,123000000.0,-32000000.0,225000000.0,1600000000.0,1090000000.0,556000000.0,-3564000000.0,412000000.0,2474000000.0,-3564000000.0,412000000.0,2474000000.0,-710000000.0,12381000000.0,1618000000.0,1618000000.0,-2602000000.0,-14440000000.0,55000000.0,,-199000000.0,-51596000000.0,,-1152000000.0,,-3400000000.0,51837000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,Q3,2010-07-01,2010-09-30,,,438000000.0,1000000.0,91000000.0,134000000.0,,-22000000.0,-2194000000.0,,,,-428000000.0,-1886000000.0,1045000000.0,-428000000.0,-1886000000.0,1045000000.0,-1291000000.0,3035000000.0,666000000.0,666000000.0,2001000000.0,-3362000000.0,-26000000.0,,-33000000.0,-16033000000.0,,-68000000.0,,,14173000000.0
