company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Simon Property Group Inc,SPG,,1063761,2008.0,Q4,2008-10-01,2008-12-31,,269975000.0,,-109131000.0,1654000.0,347897000.0,-144101000.0,-148994000.0,420523000.0,-144101000.0,-148994000.0,420523000.0,127428000.0,196423000.0,196423000.0,63256000.0,-7950000.0,127709000.0,-267355000.0,-277241000.0,,-216699000.0,-1648000.0,,538000.0,
Simon Property Group Inc,SPG,,1063761,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 06:03:14+00:00,956827000.0,,-28066000.0,11106000.0,4456975000.0,-342050000.0,-1022275000.0,1635887000.0,-342050000.0,-1022275000.0,1635887000.0,271562000.0,599535000.0,599535000.0,107591000.0,-24246000.0,336517000.0,-1075895000.0,-1367789000.0,,-3692136000.0,-16009000.0,-1845000.0,8997000.0,
Simon Property Group Inc,SPG,,1063761,2008.0,Q3,2008-07-01,2008-09-30,,236337000.0,,28807000.0,4095000.0,1086713000.0,-66889000.0,-243314000.0,452440000.0,-66889000.0,-243314000.0,452440000.0,142237000.0,159737000.0,159737000.0,27559000.0,-4457000.0,129689000.0,-269711000.0,-381462000.0,,-883211000.0,-318000.0,,8459000.0,
Simon Property Group Inc,SPG,,1063761,2009.0,Q4,2009-10-01,2009-12-31,,244165000.0,,-153866000.0,2852000.0,98826000.0,-118924000.0,-48287000.0,379236000.0,-118924000.0,-48287000.0,379236000.0,212025000.0,115933000.0,115933000.0,173004000.0,-9041000.0,42723000.0,-49170000.0,-153786000.0,,-162391000.0,,,62776000.0,
Simon Property Group Inc,SPG,,1063761,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 06:13:04+00:00,1009490000.0,,-11488000.0,1642228000.0,3220706000.0,1882645000.0,-418991000.0,1720520000.0,1882645000.0,-418991000.0,1720520000.0,3184174000.0,387262000.0,387262000.0,335256000.0,-27911000.0,90250000.0,-186050000.0,-616463000.0,,-2678639000.0,,-87689000.0,107222000.0,
Simon Property Group Inc,SPG,,1063761,2009.0,Q3TTM,2008-10-01,2009-09-30,,1035300000.0,,33247000.0,1641030000.0,3469777000.0,1857468000.0,-519698000.0,1761807000.0,1857468000.0,-519698000.0,1761807000.0,3099577000.0,467752000.0,467752000.0,225508000.0,-26820000.0,175236000.0,-404235000.0,-739918000.0,,-2732947000.0,-1648000.0,-87689000.0,44984000.0,
Simon Property Group Inc,SPG,,1063761,2009.0,Q3,2009-07-01,2009-09-30,,253493000.0,,82084000.0,-203000.0,918864000.0,650367000.0,13238000.0,453657000.0,650367000.0,13238000.0,453657000.0,1117262000.0,139189000.0,139189000.0,-21109000.0,-6445000.0,44379000.0,-49301000.0,-75587000.0,,-212548000.0,,,44446000.0,
Simon Property Group Inc,SPG,,1063761,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-06 07:00:17+00:00,511832000.0,,60294000.0,1639579000.0,2203016000.0,1351202000.0,-383942000.0,887627000.0,1351202000.0,-383942000.0,887627000.0,1854887000.0,132140000.0,132140000.0,183361000.0,-12425000.0,3148000.0,-87579000.0,-387090000.0,,-2303700000.0,0.0,-87689000.0,0.0,
Simon Property Group Inc,SPG,,1063761,2009.0,Q2TTM,2008-07-01,2009-06-30,,1018144000.0,,-20030000.0,1645328000.0,3637626000.0,1140212000.0,-776250000.0,1760590000.0,1140212000.0,-776250000.0,1760590000.0,2124552000.0,488300000.0,488300000.0,274176000.0,-24832000.0,260546000.0,-624645000.0,-1045793000.0,,-3403610000.0,-1966000.0,-87689000.0,8997000.0,
Simon Property Group Inc,SPG,,1063761,2009.0,Q2,2009-04-01,2009-06-30,,254227000.0,,12138000.0,1113922000.0,775315000.0,1496025000.0,-218731000.0,452809000.0,1496025000.0,-218731000.0,452809000.0,1730103000.0,-14108000.0,-14108000.0,200552000.0,-8031000.0,-19432000.0,-50945000.0,-199299000.0,,-246547000.0,,-87689000.0,,
Simon Property Group Inc,SPG,,1063761,2010.0,Q4,2010-10-01,2010-12-31,,284634000.0,,-72014000.0,723000.0,116678000.0,-308047000.0,-376547000.0,469738000.0,-308047000.0,-376547000.0,469738000.0,-214856000.0,267076000.0,267076000.0,-9958000.0,-6938000.0,90515000.0,-283943000.0,-504636000.0,,-134567000.0,,,37574000.0,
Simon Property Group Inc,SPG,,1063761,2010.0,FY,2010-01-01,2010-12-31,2013-02-28 06:24:20+00:00,1016027000.0,27015000.0,-60794000.0,4166000.0,3858815000.0,-3669515000.0,-1246695000.0,1755210000.0,-3669515000.0,-1246695000.0,1755210000.0,-3161000000.0,753514000.0,753514000.0,46463000.0,-23557000.0,236819000.0,-919443000.0,-1875703000.0,,-6578502000.0,,-10994000.0,365174000.0,
Simon Property Group Inc,SPG,,1063761,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-03 13:17:48+00:00,731393000.0,27015000.0,11220000.0,3443000.0,3742137000.0,-3361468000.0,-870148000.0,1285472000.0,-3361468000.0,-870148000.0,1285472000.0,-2946144000.0,486438000.0,486438000.0,56421000.0,-16619000.0,146304000.0,-635500000.0,-1371067000.0,,-6443935000.0,0.0,-10994000.0,327600000.0,
Simon Property Group Inc,SPG,,1063761,2010.0,Q3TTM,2009-10-01,2010-09-30,,975558000.0,27015000.0,-142646000.0,6295000.0,3840963000.0,-3480392000.0,-918435000.0,1664708000.0,-3480392000.0,-918435000.0,1664708000.0,-2734119000.0,602371000.0,602371000.0,229425000.0,-25660000.0,189027000.0,-684670000.0,-1524853000.0,,-6606326000.0,,-10994000.0,390376000.0,
