company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,grossppe,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Bio Rad Laboratories Inc,BIO,549300ZC1GPV35XYDK53,12208,2010.0,FY,,2010-12-31,2012-02-29 14:55:58+00:00,113440000.0,387996000.0,23944000.0,478516000.0,198020000.0,906551000.0,0.0,156986000.0,20642000.0,48021000.0,50935000.0,131381000.0,363981000.0,1624266000.0,203881000.0,731100000.0,,398100000.0,333617000.0,3823000.0,,12976000.0,59738000.0,,93104000.0,,172963000.0,64780000.0,109620000.0,6422000.0,1181687000.0,233181000.0,118636000.0,3062764000.0,1536693000.0,1975346000.0,666627000.0,1536696000.0,1540519000.0,1522245000.0,3062764000.0,753801000.0,855618000.0,0.0,
Bio Rad Laboratories Inc,BIO,549300ZC1GPV35XYDK53,12208,2011.0,FY,,2011-12-31,2013-03-18 16:27:34+00:00,129124000.0,398674000.0,25219000.0,532411000.0,198690000.0,574231000.0,0.0,185334000.0,24322000.0,53777000.0,52285000.0,112564000.0,468933000.0,881912000.0,259497000.0,731698000.0,,433510000.0,349501000.0,445000.0,,11189000.0,85522000.0,,114787000.0,,209528000.0,76086000.0,99079000.0,,1359910000.0,814000.0,238884000.0,3096803000.0,1743934000.0,1798155000.0,459115000.0,1743937000.0,1744382000.0,1352421000.0,3096803000.0,949147000.0,893306000.0,0.0,
Bio Rad Laboratories Inc,BIO,549300ZC1GPV35XYDK53,12208,2011.0,Q3,,2011-09-30,2011-11-03 13:35:18+00:00,113476000.0,375031000.0,21609000.0,523201000.0,212635000.0,671028000.0,,179843000.0,,,46368000.0,120167000.0,371227000.0,862143000.0,180228000.0,731597000.0,,445581000.0,338942000.0,497000.0,,,,,112900000.0,,201695000.0,129226000.0,146889000.0,0.0,1300671000.0,806000.0,239174000.0,2969795000.0,1693149000.0,1877703000.0,415326000.0,1693149000.0,1693646000.0,1276149000.0,2969795000.0,753150000.0,860823000.0,,
Bio Rad Laboratories Inc,BIO,549300ZC1GPV35XYDK53,12208,2011.0,Q2,,2011-06-30,2011-08-03 17:46:59+00:00,120514000.0,394913000.0,26387000.0,526694000.0,296565000.0,670301000.0,,174495000.0,,,49373000.0,122254000.0,393125000.0,875133000.0,201425000.0,731331000.0,,449337000.0,348439000.0,81000.0,,,,,122953000.0,,211600000.0,144155000.0,159158000.0,0.0,1254774000.0,1363000.0,215947000.0,3044245000.0,1725834000.0,1889656000.0,442844000.0,1725834000.0,1725915000.0,1318330000.0,3044245000.0,806150000.0,875486000.0,,
Bio Rad Laboratories Inc,BIO,549300ZC1GPV35XYDK53,12208,2011.0,Q1,,2011-03-31,2011-05-06 14:45:36+00:00,111373000.0,388554000.0,19038000.0,-504277000.0,229660000.0,627908000.0,,167906000.0,,,59658000.0,116733000.0,369107000.0,841902000.0,198658000.0,731214000.0,,429975000.0,337625000.0,1196000.0,,,,180812000.0,110520000.0,,206073000.0,136480000.0,,6533000.0,1214726000.0,10269000.0,163528000.0,2908773000.0,1612292000.0,1797310000.0,427591000.0,1612292000.0,1613488000.0,1295285000.0,2908773000.0,773838000.0,867694000.0,,
Bio Rad Laboratories Inc,BIO,549300ZC1GPV35XYDK53,12208,2012.0,FY,,2012-12-31,2014-03-17 18:31:45+00:00,130867000.0,398739000.0,29718000.0,595096000.0,274532000.0,463388000.0,0.0,212244000.0,26288000.0,0.0,34779000.0,135955000.0,495418000.0,1012034000.0,260939000.0,732414000.0,293613000.0,455120000.0,416938000.0,535000.0,,0.0,115054000.0,69260000.0,113043000.0,,39913000.0,108095000.0,92490000.0,,1528327000.0,1750000.0,457685000.0,3443503000.0,2015103000.0,1936682000.0,472400000.0,2015005000.0,2015540000.0,1427963000.0,3443503000.0,1089883000.0,955563000.0,0.0,0.0
Bio Rad Laboratories Inc,BIO,549300ZC1GPV35XYDK53,12208,2012.0,Q3,,2012-09-30,2012-11-08 16:08:57+00:00,113282000.0,375800000.0,22702000.0,576457000.0,248783000.0,426457000.0,,204555000.0,,,30396000.0,129690000.0,489355000.0,974406000.0,268866000.0,732233000.0,,458428000.0,397949000.0,600000.0,,,,,137290000.0,,301405000.0,201635000.0,157592000.0,0.0,1481642000.0,306000.0,427164000.0,3303016000.0,1934980000.0,1845441000.0,433666000.0,1934882000.0,1935482000.0,1367534000.0,3303016000.0,1059626000.0,933868000.0,,0.0
Bio Rad Laboratories Inc,BIO,549300ZC1GPV35XYDK53,12208,2012.0,Q2,,2012-06-30,2012-08-09 12:37:45+00:00,119448000.0,373817000.0,21445000.0,557067000.0,214236000.0,456487000.0,,198492000.0,,,32609000.0,113435000.0,466157000.0,937723000.0,241341000.0,732054000.0,,449457000.0,380656000.0,604000.0,,,,,129464000.0,,269669000.0,167165000.0,152541000.0,0.0,1439258000.0,783000.0,378770000.0,3168895000.0,1851986000.0,1811072000.0,417184000.0,1851888000.0,1852492000.0,1316403000.0,3168895000.0,977167000.0,899219000.0,,0.0
Bio Rad Laboratories Inc,BIO,549300ZC1GPV35XYDK53,12208,2012.0,Q1,,2012-03-31,2012-05-10 14:41:07+00:00,109571000.0,387619000.0,22933000.0,556290000.0,256390000.0,533812000.0,,192344000.0,,,50032000.0,119749000.0,480060000.0,925489000.0,258312000.0,731899000.0,,463369000.0,369199000.0,397000.0,,,,,140986000.0,,262855000.0,171849000.0,159410000.0,0.0,1390915000.0,809000.0,273238000.0,3187874000.0,1839649000.0,1817448000.0,444080000.0,1839649000.0,1840046000.0,1347828000.0,3187874000.0,1001227000.0,903748000.0,,
Bio Rad Laboratories Inc,BIO,549300ZC1GPV35XYDK53,12208,2013.0,FY,,2013-12-31,2015-03-02 15:01:26+00:00,148510000.0,422660000.0,,645427000.0,340717000.0,331551000.0,0.0,239986000.0,26390000.0,,33555000.0,130658000.0,517770000.0,1059828000.0,266188000.0,435615000.0,377870000.0,516245000.0,414401000.0,,,,162110000.0,79017000.0,146573000.0,,55082000.0,116871000.0,130637000.0,,1606117000.0,1786000.0,277369000.0,3388790000.0,2186820000.0,1757479000.0,487472000.0,2186722000.0,2186722000.0,1202068000.0,3388790000.0,1216910000.0,714596000.0,0.0,
