company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,otheroperatingexpenses,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
General Motors Co,GM,54930070NSV60J38I987,1467858,2010.0,FY,2010-01-01,2010-12-31,2013-02-15 11:28:33+00:00,3.11,3.11,,2.89,0.0,672000000.0,6503000000.0,6503000000.0,,6172000000.0,331000000.0,118920000000.0,135592000000.0,1438000000.0,1759000000.0,118000000.0,11446000000.0,118920000000.0,16672000000.0,1108000000.0,-22000000.0,11564000000.0,5108000000.0,629000000.0,5737000000.0,135592000000.0,1984600000.0,3000000000.0,1624000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2010.0,Q3,2010-07-01,2010-09-30,2011-11-09 08:54:48+00:00,1.31,1.31,,1.2,,-25000000.0,2223000000.0,2223000000.0,,2162000000.0,61000000.0,29587000000.0,34060000000.0,351000000.0,,30000000.0,2710000000.0,29587000000.0,4473000000.0,263000000.0,377000000.0,2740000000.0,1733000000.0,114000000.0,1847000000.0,34060000000.0,1650400000.0,1500000000.0,1630000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2010.0,Q2,2010-04-01,2010-06-30,2011-08-05 10:56:26+00:00,0.89,0.89,,0.85,,361000000.0,1612000000.0,1612000000.0,,1536000000.0,76000000.0,28609000000.0,33174000000.0,411000000.0,,39000000.0,2623000000.0,28609000000.0,4565000000.0,250000000.0,-91000000.0,2662000000.0,1903000000.0,-341000000.0,1562000000.0,33174000000.0,1725800000.0,1500000000.0,1567000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2011.0,FY,2011-01-01,2011-12-31,2014-02-06 12:49:42+00:00,4.94,4.94,,4.58,1286000000.0,-110000000.0,9287000000.0,9287000000.0,,9190000000.0,97000000.0,131171000000.0,150276000000.0,,851000000.0,,12163000000.0,131171000000.0,19105000000.0,504000000.0,3192000000.0,13449000000.0,5656000000.0,3539000000.0,9177000000.0,150276000000.0,1860300000.0,1536000000.0,1668000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2011.0,Q3YTD,2011-01-01,2011-09-30,,4.87,4.87,,4.34,395000000.0,183000000.0,8540000000.0,8540000000.0,,8465000000.0,75000000.0,97775000000.0,112286000000.0,2903000000.0,756000000.0,50000000.0,8860000000.0,97775000000.0,14511000000.0,450000000.0,308000000.0,9305000000.0,5206000000.0,614000000.0,5820000000.0,112286000000.0,1915500000.0,1562000000.0,1682000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2011.0,Q3,2011-07-01,2011-09-30,2012-10-31 13:45:12+00:00,1.1,1.1,,1.03,0.0,107000000.0,2092000000.0,2092000000.0,,2107000000.0,-15000000.0,31946000000.0,36719000000.0,377000000.0,152000000.0,25000000.0,2942000000.0,31946000000.0,4773000000.0,136000000.0,,2967000000.0,1806000000.0,16000000.0,1822000000.0,36719000000.0,1915500000.0,1562000000.0,1682000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2011.0,Q2,2011-04-01,2011-06-30,2012-08-03 09:09:05+00:00,1.68,1.68,,1.54,0.0,-61000000.0,3037000000.0,3037000000.0,,2992000000.0,45000000.0,33979000000.0,39373000000.0,382000000.0,,19000000.0,2924000000.0,33979000000.0,5394000000.0,165000000.0,308000000.0,2943000000.0,2451000000.0,143000000.0,2594000000.0,39373000000.0,1781000000.0,3010000000.0,1654000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2011.0,Q2YTD,2011-01-01,2011-06-30,,3.77,3.77,,3.31,395000000.0,76000000.0,6448000000.0,6448000000.0,,6358000000.0,90000000.0,65829000000.0,75567000000.0,2526000000.0,604000000.0,25000000.0,5918000000.0,65829000000.0,9738000000.0,314000000.0,308000000.0,6338000000.0,3400000000.0,598000000.0,3998000000.0,75567000000.0,1781000000.0,3010000000.0,1654000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2011.0,Q1,2011-01-01,2011-03-31,2012-05-03 12:19:35+00:00,2.09,2.09,,1.77,395000000.0,137000000.0,3411000000.0,3411000000.0,,3366000000.0,45000000.0,31850000000.0,36194000000.0,2144000000.0,604000000.0,6000000.0,2994000000.0,31850000000.0,4344000000.0,149000000.0,,3395000000.0,949000000.0,455000000.0,1404000000.0,36194000000.0,1610500000.0,3008000000.0,1817000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2012.0,Q4,2012-10-01,2012-12-31,,0.57,0.57,,0.53,26450000000.0,-35645000000.0,1031000000.0,1031000000.0,,1194000000.0,-163000000.0,42293000000.0,39307000000.0,-1141000000.0,1675000000.0,-15000000.0,5362000000.0,42293000000.0,-2986000000.0,365000000.0,,31797000000.0,-34783000000.0,1310000000.0,-33473000000.0,39307000000.0,1996100000.0,1566000000.0,1675000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2012.0,FY,2012-01-01,2012-12-31,2015-02-04 11:47:54+00:00,3.1,3.1,,2.92,27145000000.0,-34831000000.0,6136000000.0,6136000000.0,,6188000000.0,-52000000.0,141443000000.0,152256000000.0,,2407000000.0,,14031000000.0,141443000000.0,10813000000.0,739000000.0,,41176000000.0,-30363000000.0,1668000000.0,-28695000000.0,152256000000.0,1996100000.0,1566000000.0,1675000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2012.0,Q3YTD,2012-01-01,2012-09-30,,2.53,2.53,,2.39,695000000.0,814000000.0,5105000000.0,5105000000.0,,4994000000.0,111000000.0,99150000000.0,112949000000.0,1141000000.0,732000000.0,15000000.0,8669000000.0,99150000000.0,13799000000.0,374000000.0,,9379000000.0,4420000000.0,358000000.0,4778000000.0,112949000000.0,1950000000.0,1570000000.0,1663000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2012.0,Q3TTM,2011-10-01,2012-09-30,,2.6,2.6,,2.63,1586000000.0,521000000.0,5852000000.0,5852000000.0,,5719000000.0,133000000.0,132546000000.0,150939000000.0,-1762000000.0,827000000.0,-35000000.0,11972000000.0,132546000000.0,18393000000.0,428000000.0,2884000000.0,13523000000.0,4870000000.0,3283000000.0,8135000000.0,150939000000.0,1950000000.0,1570000000.0,1663000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2012.0,Q3,2012-07-01,2012-09-30,2013-10-30 14:12:53+00:00,0.94,0.94,,0.89,78000000.0,357000000.0,1854000000.0,1854000000.0,,1833000000.0,21000000.0,33046000000.0,37576000000.0,418000000.0,318000000.0,,2849000000.0,33046000000.0,4530000000.0,128000000.0,,2927000000.0,1603000000.0,190000000.0,1793000000.0,37576000000.0,1950000000.0,1570000000.0,1663000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2012.0,Q2YTD,2012-01-01,2012-06-30,,1.59,1.59,,1.5,617000000.0,457000000.0,3251000000.0,3251000000.0,,3161000000.0,90000000.0,66104000000.0,75373000000.0,723000000.0,414000000.0,15000000.0,5820000000.0,66104000000.0,9269000000.0,246000000.0,,6452000000.0,2817000000.0,168000000.0,2985000000.0,75373000000.0,1943200000.0,1569000000.0,1671000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2012.0,Q2TTM,2011-07-01,2012-06-30,,2.76,2.76,,2.77,1508000000.0,271000000.0,6090000000.0,6090000000.0,,5993000000.0,97000000.0,131446000000.0,150082000000.0,-1803000000.0,661000000.0,-10000000.0,12065000000.0,131446000000.0,18636000000.0,436000000.0,2884000000.0,13563000000.0,5073000000.0,3109000000.0,8164000000.0,150082000000.0,1943200000.0,1569000000.0,1671000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2012.0,Q2,2012-04-01,2012-06-30,2013-07-25 13:54:59+00:00,0.95,0.95,,0.9,0.0,241000000.0,1901000000.0,1901000000.0,,1846000000.0,55000000.0,32946000000.0,37614000000.0,300000000.0,139000000.0,,2847000000.0,32946000000.0,4668000000.0,118000000.0,,2847000000.0,1821000000.0,21000000.0,1842000000.0,37614000000.0,1943200000.0,1569000000.0,1671000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2012.0,Q1TTM,2011-04-01,2012-03-31,,3.49,3.49,,3.41,1508000000.0,-31000000.0,7226000000.0,7226000000.0,,7139000000.0,87000000.0,132479000000.0,151841000000.0,-1721000000.0,522000000.0,9000000.0,12142000000.0,132479000000.0,19362000000.0,483000000.0,3192000000.0,13659000000.0,5703000000.0,3231000000.0,8916000000.0,151841000000.0,2054700000.0,3144000000.0,1692000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2012.0,Q1,2012-01-01,2012-03-31,2013-05-09 12:17:57+00:00,0.64,0.64,,0.6,617000000.0,216000000.0,1350000000.0,1350000000.0,,1315000000.0,35000000.0,33158000000.0,37759000000.0,423000000.0,275000000.0,15000000.0,2973000000.0,33158000000.0,4601000000.0,128000000.0,,3605000000.0,996000000.0,147000000.0,1143000000.0,37759000000.0,2054700000.0,3144000000.0,1692000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2013.0,FY,2013-01-01,2013-12-31,2016-02-03 13:20:41+00:00,2.71,2.71,,2.38,541000000.0,2127000000.0,5331000000.0,5331000000.0,,5346000000.0,-15000000.0,137373000000.0,155427000000.0,,1063000000.0,,12382000000.0,137373000000.0,18054000000.0,546000000.0,1810000000.0,12923000000.0,5131000000.0,2327000000.0,7458000000.0,155427000000.0,1972700000.0,1393000000.0,1676000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2013.0,Q4,2013-10-01,2013-12-31,,0.71,0.71,,0.6,481000000.0,134000000.0,1053000000.0,1053000000.0,,1040000000.0,13000000.0,36210000000.0,40485000000.0,,723000000.0,,3629000000.0,36210000000.0,4275000000.0,91000000.0,390000000.0,4110000000.0,165000000.0,1022000000.0,1187000000.0,40485000000.0,1972700000.0,1393000000.0,1676000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2013.0,Q3YTD,2013-01-01,2013-09-30,,2.0,2.0,,1.78,60000000.0,1993000000.0,4278000000.0,4278000000.0,,4306000000.0,-28000000.0,101163000000.0,114942000000.0,,340000000.0,,8753000000.0,101163000000.0,13779000000.0,455000000.0,1420000000.0,8813000000.0,4966000000.0,1305000000.0,6271000000.0,114942000000.0,3434000000.0,1386000000.0,1681000000.0
