company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
General Motors Co,GM,54930070NSV60J38I987,1467858,2010.0,FY,2010-01-01,2010-12-31,2013-02-15 11:28:33+00:00,-3042000000.0,135000000.0,6930000000.0,317000000.0,-57000000.0,-738000000.0,4857000000.0,1886000000.0,,-9770000000.0,1233000000.0,6780000000.0,,,,-9770000000.0,1233000000.0,6780000000.0,-1814000000.0,6503000000.0,6503000000.0,-6050000000.0,-6000000.0,1191000000.0,-1572000000.0,-13235000000.0,-4213000000.0,-13473000000.0,-1462000000.0,,20215000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2010.0,Q3,2010-07-01,2010-09-30,,46000000.0,,,,,,,218000000.0,,-158000000.0,-2264000000.0,,,,,-158000000.0,-2264000000.0,10943000000.0,8521000000.0,,,,,76000000.0,-203000000.0,-4328000000.0,-1261000000.0,-173000000.0,,,3203000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-09 08:54:48+00:00,-108000000.0,,,,,,,652000000.0,,-7949000000.0,4146000000.0,,,,,-7949000000.0,4146000000.0,16638000000.0,12835000000.0,,,,-6000000.0,213000000.0,-608000000.0,-9771000000.0,-3112000000.0,-7987000000.0,,,16924000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-05 10:56:26+00:00,-154000000.0,,,,,,,434000000.0,,-7791000000.0,6410000000.0,,,,,-7791000000.0,6410000000.0,5695000000.0,4314000000.0,,,,-6000000.0,137000000.0,-405000000.0,-5443000000.0,-1851000000.0,-7814000000.0,,,13721000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2011.0,Q4,2011-10-01,2011-12-31,,-28000000.0,,,11000000.0,-37000000.0,,,1947000000.0,,298000000.0,-6236000000.0,1442000000.0,,,,298000000.0,-6236000000.0,1442000000.0,-4533000000.0,0.0,,,100000000.0,934000000.0,-267000000.0,-11553000000.0,-2437000000.0,-1482000000.0,,,6837000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2011.0,FY,2011-01-01,2011-12-31,2014-02-06 12:49:42+00:00,-53000000.0,160000000.0,7427000000.0,4821000000.0,-253000000.0,-3774000000.0,,9165000000.0,,-358000000.0,-12740000000.0,8166000000.0,,,,-358000000.0,-12740000000.0,8166000000.0,-5185000000.0,9287000000.0,9287000000.0,-4934000000.0,,3825000000.0,-916000000.0,-32846000000.0,-7086000000.0,-8607000000.0,0.0,,18599000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2011.0,Q3,2011-07-01,2011-09-30,,-17000000.0,,,32000000.0,-537000000.0,,,1857000000.0,,-576000000.0,-1317000000.0,2037000000.0,,,,-576000000.0,-1317000000.0,2037000000.0,-393000000.0,,,,,1006000000.0,-214000000.0,-5287000000.0,-1741000000.0,-2219000000.0,,,4690000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-10-31 13:45:12+00:00,-25000000.0,,,4810000000.0,-216000000.0,,,7218000000.0,,-656000000.0,-6504000000.0,6724000000.0,,,,-656000000.0,-6504000000.0,6724000000.0,-652000000.0,,,,-100000000.0,2891000000.0,-649000000.0,-21293000000.0,-4649000000.0,-7125000000.0,,,11762000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2011.0,Q2,2011-04-01,2011-06-30,,-7000000.0,,,-27000000.0,138000000.0,,,3101000000.0,,-287000000.0,-5226000000.0,5064000000.0,,,,-287000000.0,-5226000000.0,5064000000.0,-311000000.0,,,,,920000000.0,-214000000.0,-7238000000.0,-1266000000.0,-3174000000.0,,,2392000000.0
General Motors Co,GM,54930070NSV60J38I987,1467858,2011.0,Q2YTD,2011-01-01,2011-06-30,2012-08-03 09:09:05+00:00,-8000000.0,,,4778000000.0,321000000.0,,0.0,5361000000.0,,-80000000.0,-5187000000.0,4687000000.0,,,,-80000000.0,-5187000000.0,4687000000.0,-259000000.0,,,,-100000000.0,1885000000.0,-435000000.0,-16006000000.0,-2908000000.0,-4906000000.0,,,7072000000.0
