company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Columbia Pipeline Group Inc ,CPGX,549300SRP1TQM9JJBG80,1629995,2014.0,FY,2014-01-01,2014-12-31,2017-02-17 12:09:38+00:00,,,,118800000.0,,0.0,169700000.0,268100000.0,268700000.0,-600000.0,268100000.0,,628400000.0,1283700000.0,8800000.0,190300000.0,64300000.0,-34500000.0,628400000.0,719600000.0,62000000.0,46600000.0,274600000.0,445000000.0,-6600000.0,438400000.0,1348000000.0,,,
Columbia Pipeline Group Inc ,CPGX,549300SRP1TQM9JJBG80,1629995,2014.0,Q3,2014-07-01,2014-09-30,2015-11-03 10:45:23+00:00,0.17,0.17,0.0,29300000.0,0.17,,30000000.0,53600000.0,53700000.0,-100000.0,53600000.0,,162600000.0,303900000.0,3600000.0,46600000.0,14100000.0,-3000000.0,162600000.0,155400000.0,14400000.0,12000000.0,72900000.0,82500000.0,1200000.0,83700000.0,318000000.0,315300000.0,317600000.0,317600000.0
Columbia Pipeline Group Inc ,CPGX,549300SRP1TQM9JJBG80,1629995,2015.0,FY,2015-01-01,2015-12-31,2017-02-17 12:09:38+00:00,,,0.25,139900000.0,,2400000.0,153000000.0,307100000.0,307500000.0,-400000.0,267200000.0,39900000.0,652100000.0,1299500000.0,29300000.0,128200000.0,35400000.0,-55300000.0,652100000.0,682800000.0,96900000.0,60500000.0,215200000.0,467600000.0,-7100000.0,460500000.0,1334900000.0,,,
Columbia Pipeline Group Inc ,CPGX,549300SRP1TQM9JJBG80,1629995,2015.0,Q4,2015-10-01,2015-12-31,,-0.44,-0.44,0.25,38500000.0,-0.44,1800000.0,34200000.0,75500000.0,75400000.0,,63400000.0,12000000.0,196100000.0,351100000.0,12700000.0,19800000.0,6800000.0,-4500000.0,196100000.0,161800000.0,25300000.0,16000000.0,55600000.0,106200000.0,3400000.0,109600000.0,357900000.0,,,
Columbia Pipeline Group Inc ,CPGX,549300SRP1TQM9JJBG80,1629995,2015.0,Q3,2015-07-01,2015-09-30,2016-11-01 16:30:30+00:00,,,,35000000.0,,600000.0,38300000.0,74800000.0,74900000.0,-100000.0,63000000.0,11800000.0,186500000.0,315700000.0,6700000.0,17300000.0,5200000.0,-39000000.0,186500000.0,134400000.0,29400000.0,15400000.0,13900000.0,120500000.0,-7300000.0,113200000.0,320900000.0,,,
Columbia Pipeline Group Inc ,CPGX,549300SRP1TQM9JJBG80,1629995,2015.0,Q3YTD,2015-01-01,2015-09-30,,0.44,0.44,,101400000.0,0.44,600000.0,118800000.0,231600000.0,232100000.0,-400000.0,203800000.0,27900000.0,456000000.0,948400000.0,16600000.0,108400000.0,28600000.0,-50800000.0,456000000.0,521000000.0,71600000.0,44500000.0,159600000.0,361400000.0,-10500000.0,350900000.0,977000000.0,,,
Columbia Pipeline Group Inc ,CPGX,549300SRP1TQM9JJBG80,1629995,2015.0,Q2,2015-04-01,2015-06-30,2016-08-02 06:33:02+00:00,0.16,0.16,0.0,33900000.0,0.16,,28600000.0,59800000.0,60100000.0,-300000.0,50800000.0,9000000.0,151100000.0,305400000.0,5300000.0,44000000.0,10700000.0,-6500000.0,151100000.0,165000000.0,23900000.0,13700000.0,71400000.0,93600000.0,-4900000.0,88700000.0,316100000.0,317500000.0,317600000.0,317600000.0
Columbia Pipeline Group Inc ,CPGX,549300SRP1TQM9JJBG80,1629995,2015.0,Q2YTD,2015-01-01,2015-06-30,,0.44,0.44,,66400000.0,0.44,,80500000.0,156800000.0,157200000.0,-300000.0,140800000.0,16100000.0,269500000.0,632700000.0,9900000.0,91100000.0,23400000.0,-11800000.0,269500000.0,386600000.0,42200000.0,29100000.0,145700000.0,240900000.0,-3200000.0,237700000.0,656100000.0,317500000.0,317600000.0,317600000.0
Columbia Pipeline Group Inc ,CPGX,549300SRP1TQM9JJBG80,1629995,2015.0,Q1,2015-01-01,2015-03-31,2016-05-03 06:38:08+00:00,0.28,0.28,0.0,32500000.0,0.28,,51900000.0,97000000.0,97100000.0,0.0,90000000.0,7100000.0,118400000.0,327300000.0,4600000.0,47100000.0,12700000.0,-5300000.0,118400000.0,221600000.0,18300000.0,15400000.0,74300000.0,147300000.0,1700000.0,149000000.0,340000000.0,321400000.0,317600000.0,317600000.0
Columbia Pipeline Group Inc ,CPGX,549300SRP1TQM9JJBG80,1629995,2016.0,Q4,2016-10-01,2016-12-31,,-0.28,-0.28,-0.14,47600000.0,-0.28,7000000.0,34600000.0,68100000.0,68100000.0,,58200000.0,9900000.0,191300000.0,365700000.0,4600000.0,20600000.0,10800000.0,-1300000.0,191300000.0,185200000.0,29300000.0,16100000.0,73900000.0,111300000.0,-8600000.0,102700000.0,376500000.0,,,
