company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Safeway Inc ,SWY,,86144,2007.0,FY,2006-12-31,2007-12-29,2010-03-02 16:48:34+00:00,2.02,2.02,1.99,0.0,515200000.0,888400000.0,888400000.0,,888400000.0,,30133100000.0,42286000000.0,20400000.0,10380800000.0,30133100000.0,12152900000.0,388900000.0,10380800000.0,1772100000.0,-368500000.0,1403600000.0,42286000000.0,439800000.0,440300000.0,445700000.0
Safeway Inc ,SWY,,86144,2008.0,Q4,2008-09-07,2009-01-03,,0.79,0.79,0.78,,165800000.0,337900000.0,337900000.0,,337900000.0,,9840200000.0,13815900000.0,3300000.0,3362800000.0,9840200000.0,3975700000.0,112500000.0,3362800000.0,612900000.0,-109200000.0,503700000.0,13815900000.0,432900000.0,433800000.0,436300000.0
Safeway Inc ,SWY,,86144,2008.0,FY,2007-12-30,2009-01-03,2011-02-28 13:28:09+00:00,2.23,2.23,2.21,0.0,539300000.0,965300000.0,965300000.0,,965300000.0,,31589200000.0,44104000000.0,10600000.0,10662100000.0,31589200000.0,12514800000.0,358700000.0,10662100000.0,1852700000.0,-348100000.0,1504600000.0,44104000000.0,432900000.0,433800000.0,436300000.0
Safeway Inc ,SWY,,86144,2008.0,Q3YTD,2007-12-30,2008-09-06,,1.44,1.44,1.43,,373500000.0,627400000.0,627400000.0,,627400000.0,,21749000000.0,30288100000.0,7300000.0,7299300000.0,21749000000.0,8539100000.0,246200000.0,7299300000.0,1239800000.0,-238900000.0,1000900000.0,30288100000.0,434100000.0,432300000.0,435000000.0
Safeway Inc ,SWY,,86144,2008.0,Q3,2008-06-15,2008-09-06,2009-10-19 11:48:41+00:00,0.46,0.46,0.46,,112300000.0,199700000.0,199700000.0,,199700000.0,,7373700000.0,10169300000.0,5700000.0,2409300000.0,7373700000.0,2795600000.0,80000000.0,2409300000.0,386300000.0,-74300000.0,312000000.0,10169300000.0,434100000.0,432300000.0,435000000.0
Safeway Inc ,SWY,,86144,2008.0,Q2YTD,2007-12-30,2008-06-14,,0.98,0.98,0.97,,261200000.0,427700000.0,427700000.0,,427700000.0,,14375300000.0,20118800000.0,1600000.0,4890000000.0,14375300000.0,5743500000.0,166200000.0,4890000000.0,853500000.0,-164600000.0,688900000.0,20118800000.0,433900000.0,437000000.0,440300000.0
Safeway Inc ,SWY,,86144,2008.0,Q2,2008-03-23,2008-06-14,2009-07-27 12:57:33+00:00,0.54,0.54,0.53,,137600000.0,234300000.0,234300000.0,,234300000.0,,7254800000.0,10120000000.0,2000000.0,2413600000.0,7254800000.0,2865200000.0,81700000.0,2413600000.0,451600000.0,-79700000.0,371900000.0,10120000000.0,433900000.0,437000000.0,440300000.0
Safeway Inc ,SWY,,86144,2008.0,Q1,2007-12-30,2008-03-22,2009-05-06 13:47:47+00:00,0.44,0.44,0.44,,123600000.0,193400000.0,193400000.0,,193400000.0,,7120500000.0,9998800000.0,-400000.0,2476400000.0,7120500000.0,2878300000.0,84500000.0,2476400000.0,401900000.0,-84900000.0,317000000.0,9998800000.0,439500000.0,439400000.0,442900000.0
Safeway Inc ,SWY,,86144,2009.0,Q4,2009-09-13,2010-01-02,,-3.88,-3.88,-3.88,1974200000.0,-33700000.0,-1609100000.0,-1609100000.0,,-1609100000.0,,9058900000.0,12693900000.0,1100000.0,3206700000.0,9058900000.0,3635000000.0,98000000.0,5180900000.0,-1545900000.0,-96900000.0,-1642800000.0,12693900000.0,412600000.0,412900000.0,412900000.0
Safeway Inc ,SWY,,86144,2009.0,FY,2009-01-04,2010-01-02,2012-02-27 14:02:48+00:00,-2.66,-2.66,-2.66,1974200000.0,144200000.0,-1097500000.0,-1097500000.0,,-1097500000.0,0.0,29157200000.0,40850700000.0,7100000.0,10348000000.0,29157200000.0,11693500000.0,331700000.0,12322200000.0,-628700000.0,-324600000.0,-953300000.0,40850700000.0,412600000.0,412900000.0,412900000.0
