company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,investmentsecuritiesinterestincome,longtermdebtinterestexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,nonoperatingincome,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,othergains,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,otherspecialcharges,preferreddividends,restructuringcharge,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Boston Properties Inc,BXP,549300OF70FSEUQBT254,1037540,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:57:24+00:00,10.98,10.98,,286030000.0,10.8,,,,302980000.0,1553381000.0,1286588000.0,266793000.0,1310106000.0,243275000.0,-302980000.0,483605000.0,17011000.0,,,,929785000.0,1482289000.0,69882000.0,,0.0,,,302980000.0,,839517000.0,1499300000.0,356803000.0,1196320000.0,119300000.0,118839000.0,120780000.0
Boston Properties Inc,BXP,549300OF70FSEUQBT254,1037540,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:39:20+00:00,0.88,0.88,,304147000.0,0.87,,,18958000.0,295322000.0,130723000.0,97383000.0,,107267000.0,23456000.0,-276364000.0,515540000.0,-203643000.0,,33340000.0,,,1469442000.0,72365000.0,,0.0,,0.0,295322000.0,18958000.0,892052000.0,1265799000.0,97383000.0,989435000.0,121900000.0,119980000.0,121299000.0
Boston Properties Inc,BXP,549300OF70FSEUQBT254,1037540,2008.0,Q3,2008-07-01,2008-09-30,2009-11-05 15:54:08+00:00,0.36,0.36,,75321000.0,0.35,,,1152000.0,74662000.0,52353000.0,50600000.0,,43079000.0,9274000.0,-73510000.0,134033000.0,1704000.0,,1753000.0,,,356836000.0,25076000.0,,0.0,,,74662000.0,1152000.0,234430000.0,358540000.0,50600000.0,285030000.0,119700000.0,119832000.0,121369000.0
Boston Properties Inc,BXP,549300OF70FSEUQBT254,1037540,2008.0,Q2,2008-04-01,2008-06-30,2009-08-06 16:39:25+00:00,0.63,0.63,,74389000.0,0.62,,,4275000.0,69302000.0,90125000.0,83922000.0,,75483000.0,14642000.0,-65027000.0,125552000.0,1695000.0,,6203000.0,,,364405000.0,17210000.0,,0.0,,,69302000.0,4275000.0,217151000.0,366100000.0,83922000.0,301073000.0,119800000.0,119753000.0,121315000.0
Boston Properties Inc,BXP,549300OF70FSEUQBT254,1037540,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 17:15:09+00:00,1.76,1.76,,321681000.0,1.76,,,,,274499000.0,262739000.0,,231014000.0,43485000.0,,525765000.0,,,11760000.0,,-304792000.0,1518190000.0,75447000.0,,27766000.0,,,,,950659000.0,1518190000.0,567531000.0,1518190000.0,131300000.0,131050000.0,131512000.0
Boston Properties Inc,BXP,549300OF70FSEUQBT254,1037540,2009.0,Q4,2009-10-01,2009-12-31,,-0.7,0.38,,79125000.0,0.39,,,-2275000.0,-234653000.0,62746000.0,60668000.0,,53469000.0,9277000.0,232378000.0,131905000.0,-12510000.0,,2078000.0,,-304792000.0,376128000.0,19506000.0,,,,,-234653000.0,-2275000.0,230536000.0,363618000.0,365460000.0,595996000.0,131300000.0,131050000.0,131512000.0
Boston Properties Inc,BXP,549300OF70FSEUQBT254,1037540,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 17:07:32+00:00,0.47,0.47,,78181000.0,0.47,,,1513000.0,77090000.0,77650000.0,75256000.0,,65795000.0,11855000.0,-75577000.0,134438000.0,7651000.0,,2394000.0,,,375790000.0,19989000.0,,0.0,,0.0,77090000.0,1513000.0,232608000.0,383441000.0,75256000.0,307864000.0,140000000.0,138641000.0,139225000.0
Boston Properties Inc,BXP,549300OF70FSEUQBT254,1037540,2009.0,Q3YTD,2009-01-01,2009-09-30,,2.46,1.38,,242556000.0,1.37,,,2275000.0,234653000.0,211753000.0,202071000.0,,177545000.0,34208000.0,-232378000.0,393860000.0,12510000.0,,9682000.0,,,1142062000.0,55941000.0,,27766000.0,,,234653000.0,2275000.0,720123000.0,1154572000.0,202071000.0,922194000.0,140000000.0,138641000.0,139225000.0
Boston Properties Inc,BXP,549300OF70FSEUQBT254,1037540,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 12:16:46+00:00,1.62,0.54,,87005000.0,0.53,,,442000.0,78633000.0,80073000.0,75580000.0,,67152000.0,12921000.0,-78191000.0,130089000.0,349000.0,,4493000.0,,,389048000.0,18532000.0,,0.0,,,78633000.0,442000.0,235626000.0,389397000.0,75580000.0,311206000.0,41500000.0,125267000.0,125620000.0
Boston Properties Inc,BXP,549300OF70FSEUQBT254,1037540,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.99,0.91,,164375000.0,0.9,,,762000.0,157563000.0,134103000.0,126815000.0,,111750000.0,22353000.0,-156801000.0,259422000.0,4859000.0,,7288000.0,,,766272000.0,35952000.0,,27766000.0,,,157563000.0,762000.0,487515000.0,771131000.0,126815000.0,614330000.0,41500000.0,125267000.0,125620000.0
