company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Boston Properties Inc,BXP,549300OF70FSEUQBT254,1037540,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:57:24+00:00,,,333812000.0,288978000.0,3232000.0,-15325000.0,23479000.0,2197732000.0,,-425176000.0,574655000.0,631654000.0,-425176000.0,574655000.0,631654000.0,781133000.0,,1553381000.0,1553381000.0,-1195380000.0,-50603000.0,,-1139166000.0,-1326565000.0,,-1456618000.0,,,1897988000.0,
Boston Properties Inc,BXP,549300OF70FSEUQBT254,1037540,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:39:20+00:00,,,335926000.0,304147000.0,0.0,-52048000.0,37410000.0,2667562000.0,,-510643000.0,-1320079000.0,565311000.0,-510643000.0,-1320079000.0,565311000.0,-1265411000.0,,130723000.0,130723000.0,182489000.0,-64885000.0,161321000.0,-1256676000.0,-1751901000.0,,-1894054000.0,,,270501000.0,
Boston Properties Inc,BXP,549300OF70FSEUQBT254,1037540,2008.0,Q4,2008-10-01,2008-12-31,,,,73445000.0,79766000.0,,31850000.0,37410000.0,600638000.0,,90523000.0,-104238000.0,199628000.0,90523000.0,-104238000.0,199628000.0,185913000.0,,-112621000.0,-112621000.0,200633000.0,-32791000.0,161321000.0,-103770000.0,-123019000.0,,-411695000.0,731000.0,,-142540000.0,
Boston Properties Inc,BXP,549300OF70FSEUQBT254,1037540,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-05 15:54:08+00:00,,,262481000.0,224381000.0,,-83898000.0,,2066924000.0,,-601166000.0,-1215841000.0,365683000.0,-601166000.0,-1215841000.0,365683000.0,-1451324000.0,,243344000.0,243344000.0,-18144000.0,-32094000.0,,-1152906000.0,-1628882000.0,,-1482359000.0,-731000.0,,413041000.0,
Boston Properties Inc,BXP,549300OF70FSEUQBT254,1037540,2008.0,Q3,2008-07-01,2008-09-30,,,,97928000.0,75321000.0,,-25261000.0,,1331462000.0,,412620000.0,-583831000.0,114698000.0,412620000.0,-583831000.0,114698000.0,-56513000.0,,52353000.0,52353000.0,12285000.0,-54251000.0,,-108820000.0,-609636000.0,,-756266000.0,495000.0,,25805000.0,
Boston Properties Inc,BXP,549300OF70FSEUQBT254,1037540,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-06 16:39:25+00:00,,,164553000.0,149060000.0,,-58637000.0,,735462000.0,,-1013786000.0,-632010000.0,250985000.0,-1013786000.0,-632010000.0,250985000.0,-1394811000.0,,190991000.0,190991000.0,-30429000.0,22157000.0,,-1044086000.0,-1019246000.0,,-726093000.0,-1226000.0,,387236000.0,
Boston Properties Inc,BXP,549300OF70FSEUQBT254,1037540,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 17:15:09+00:00,,,355875000.0,321681000.0,,-25424000.0,850624000.0,807446000.0,,1036648000.0,-446601000.0,617376000.0,1036648000.0,-446601000.0,617376000.0,1207423000.0,,274499000.0,274499000.0,46620000.0,-9849000.0,,-361335000.0,-14679000.0,-439180000.0,-250238000.0,,,7258000.0,
Boston Properties Inc,BXP,549300OF70FSEUQBT254,1037540,2009.0,Q4,2009-10-01,2009-12-31,,,,70579000.0,79125000.0,,28667000.0,3797000.0,705291000.0,,615683000.0,-118316000.0,169460000.0,615683000.0,-118316000.0,169460000.0,666827000.0,,62746000.0,62746000.0,-1078000.0,-6032000.0,,-81403000.0,319346000.0,-439180000.0,-5970000.0,,,1518000.0,
Boston Properties Inc,BXP,549300OF70FSEUQBT254,1037540,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-05 17:07:32+00:00,0.0,,285296000.0,242556000.0,,-54091000.0,846827000.0,102155000.0,,420965000.0,-328285000.0,447916000.0,420965000.0,-328285000.0,447916000.0,540596000.0,,211753000.0,211753000.0,47698000.0,-3817000.0,0.0,-279932000.0,-334025000.0,,-244268000.0,,,5740000.0,
Boston Properties Inc,BXP,549300OF70FSEUQBT254,1037540,2009.0,Q3TTM,2008-10-01,2009-09-30,,,,358741000.0,322322000.0,,-22241000.0,884237000.0,702793000.0,,511488000.0,-432523000.0,647544000.0,511488000.0,-432523000.0,647544000.0,726509000.0,,99132000.0,99132000.0,248331000.0,-36608000.0,161321000.0,-383702000.0,-457044000.0,,-655963000.0,731000.0,,-136800000.0,
